year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2002	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE Paris	269	3	25	21	0	19	10	0	20	10	5	0	40	10
2002	TSI	CONCOURS CENTRALE-SUPELEC	Supelec campus Gif	¥	¥	¥	¥	¥	¥	¥	¥	¥	7	1	0	0	1
2002	TSI	CONCOURS CENTRALE-SUPELEC	Supelec campus Metz	¥	¥	¥	¥	¥	¥	¥	¥	¥	7	0	0	0	1
2002	TSI	CONCOURS CENTRALE-SUPELEC	Supelec campus Renn.	¥	¥	¥	¥	¥	¥	¥	¥	¥	0	0	0	0	0
2002	TSI	CONCOURS CENTRALE-SUPELEC	Supélec TSI	93	5	28	14	0	7	7	0	0	¥	¥	¥	¥	2
2002	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE Lyon	300	4	24	26	0	15	18	0	22	15	3	0	33	3
2002	TSI	CONCOURS CENTRALE-SUPELEC	SupOptique	199	4	26	26	8	15	15	13	13	15	1	0	0	2
2002	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE Lille	298	3	29	31	3	19	28	4	18	28	4	0	0	5
2002	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE Nantes	342	6	25	45	7	13	35	6	14	31	6	0	0	7
2002	TSI	CONCOURS CENTRALE-SUPELEC	IIE-CNAM	244	4	27	27	4	19	21	5	19	21	0	0	0	5
2002	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE Lille handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2002	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE Nantes handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2002	TSI	CONC. COMM. MINES-PONTS	Ponts et Chaussees	¥	¥	¥	¥	¥	¥	¥	¥	¥	23	2	0	0	2
2002	TSI	CONC. COMM. MINES-PONTS	SUPAERO Toulouse	¥	¥	¥	¥	¥	¥	¥	¥	¥	0	0	0	0	0
2002	TSI	CONC. COMM. MINES-PONTS	Techniques Avancees	¥	¥	¥	¥	¥	¥	¥	¥	¥	0	0	0	0	0
2002	TSI	CONC. COMM. MINES-PONTS	ENST cursus Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	20	3	0	0	2
2002	TSI	CONC. COMM. MINES-PONTS	ENST Sophia Antipolis	¥	¥	¥	¥	¥	¥	¥	¥	¥	29	1	0	100	1
2002	TSI	CONC. COMM. MINES-PONTS	MINES Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	10	2	50	0	2
2002	TSI	CONC. COMM. MINES-PONTS	MINES Saint-Etienne	¥	¥	¥	¥	¥	¥	¥	¥	¥	45	3	0	0	3
2002	TSI	CONC. COMM. MINES-PONTS	MINES Nancy	¥	¥	¥	¥	¥	¥	¥	¥	¥	40	2	0	100	2
2002	TSI	CONC. COMM. MINES-PONTS	Telecom Bretagne	¥	¥	¥	¥	¥	¥	¥	¥	¥	48	2	0	0	2
2002	TSI	CONC. COMM. MINES-PONTS	Ecole Polytechnique	¥	¥	¥	¥	¥	¥	¥	¥	¥	2	2	0	0	2
2002	TSI	CONC. COMM. MINES-PONTS	Commun Mines Ponts TSI	282	3	25	52	4	19	48	4	19	¥	¥	¥	¥	16
2002	TSI	CONCOURS COMMUN ENSAM	ENSAM	¥	¥	¥	¥	¥	¥	¥	¥	¥	90	32	0	25	30
2002	TSI	CONCOURS COMMUN ENSAM	ENSEA Cergy	¥	¥	¥	¥	¥	¥	¥	¥	¥	120	10	0	60	10
2002	TSI	CONCOURS COMMUN ENSAM	ENSAIS G MECA	¥	¥	¥	¥	¥	¥	¥	¥	¥	98	1	0	0	1
2002	TSI	CONCOURS COMMUN ENSAM	ENSAIS PLASTURGI	¥	¥	¥	¥	¥	¥	¥	¥	¥	107	1	0	0	1
2002	TSI	CONCOURS COMMUN ENSAM	ENSAIS MECATRO	¥	¥	¥	¥	¥	¥	¥	¥	¥	76	1	0	0	1
2002	TSI	CONCOURS COMMUN ENSAM	ENSAIS G.ELEC.	¥	¥	¥	¥	¥	¥	¥	¥	¥	64	2	0	50	1
2002	TSI	CONCOURS COMMUN ENSAM	ESIEE Amiens	¥	¥	¥	¥	¥	¥	¥	¥	¥	120	0	0	0	6
2002	TSI	CONCOURS COMMUN ENSAM	ESIEE Noisy Le Grand	¥	¥	¥	¥	¥	¥	¥	¥	¥	120	1	0	100	5
2002	TSI	CONCOURS COMMUN ENSAM	ENSAM TSI	571	5	24	161	2	30	120	2	30	¥	¥	¥	¥	55
2002	TSI	AUTRES CONCOURS	EIC Cherbourg	339	7	27	268	7	29	87	8	38	87	14	7	36	15
2002	TSI	AUTRES CONCOURS	IFMA Clermont-Fd	144	8	28	65	3	29	22	5	32	8	7	14	29	7
2002	TSI	AUTRES CONCOURS	ISMANS	156	2	33	134	2	33	99	1	38	99	9	0	11	30
2002	TSI	AUTRES CONCOURS	Telecom INT	177	5	27	87	2	26	46	4	26	30	5	0	60	5
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSMM Besancon	¥	¥	¥	¥	¥	¥	¥	¥	¥	245	22	9	23	18
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSEIRB Electronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	71	3	0	100	2
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSEIRB Informatique	¥	¥	¥	¥	¥	¥	¥	¥	¥	82	2	0	50	2
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSEIRB Telecom	¥	¥	¥	¥	¥	¥	¥	¥	¥	134	2	0	0	2
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSIETA Brest civil	¥	¥	¥	¥	¥	¥	¥	¥	¥	61	2	0	0	2
2002	TSI	CONC. COMM. POLYTECHNIQUE	ISMRA Caen	¥	¥	¥	¥	¥	¥	¥	¥	¥	163	4	25	25	3
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSEE Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	97	2	0	0	1
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSHMG	¥	¥	¥	¥	¥	¥	¥	¥	¥	52	1	0	0	2
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSIE Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	45	3	0	33	3
2002	TSI	CONC. COMM. POLYTECHNIQUE	EFPG Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	235	2	0	0	3
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSP Marseille	¥	¥	¥	¥	¥	¥	¥	¥	¥	107	3	0	0	4
2002	TSI	CONC. COMM. POLYTECHNIQUE	ESM2 Marseille	¥	¥	¥	¥	¥	¥	¥	¥	¥	229	3	0	0	5
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSEM Nancy	¥	¥	¥	¥	¥	¥	¥	¥	¥	187	3	0	33	8
2002	TSI	CONC. COMM. POLYTECHNIQUE	CESTI Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	200	5	20	0	3
2002	TSI	CONC. COMM. POLYTECHNIQUE	CESTI Toulon	¥	¥	¥	¥	¥	¥	¥	¥	¥	142	2	0	0	1
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSMA Poitiers	¥	¥	¥	¥	¥	¥	¥	¥	¥	58	2	0	50	2
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSP Strasbourg	¥	¥	¥	¥	¥	¥	¥	¥	¥	132	3	0	67	4
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSEEIH Genie Elec.	¥	¥	¥	¥	¥	¥	¥	¥	¥	23	1	0	0	1
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSEEIH electronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	51	1	0	0	1
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSICA Toulouse	¥	¥	¥	¥	¥	¥	¥	¥	¥	11	1	0	0	1
2002	TSI	CONC. COMM. POLYTECHNIQUE	ENSIAME Meca Energ.	¥	¥	¥	¥	¥	¥	¥	¥	¥	254	8	0	25	7
