year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2003	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS CACHAN FIL Science	945	14	34	277	8	38	210	10	36	75	10	10	30	10
2003	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS CACHAN FIL Science etranger	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2003	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS CACHAN FIL. SI	945	14	34	277	8	38	210	10	36	163	30	17	43	30
2003	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS CACHAN FIL. SI etranger	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2003	PSI	BANQUE ENS CACHAN/EC. POLYTECH	Ecole Polytechnique	647	14	32	65	6	34	42	7	31	36	32	3	25	32
2003	PSI	BANQUE ENS CACHAN/EC. POLYTECH	Ecole Polytechnique etranger	41	27	29	1	0	100	0	0	0	0	0	0	0	0
2003	PSI	CONC. COMM. MINES-PONTS	Ponts et Chaussees	¥	¥	¥	¥	¥	¥	¥	¥	¥	132	27	26	33	26
2003	PSI	CONC. COMM. MINES-PONTS	SUPAERO	¥	¥	¥	¥	¥	¥	¥	¥	¥	181	40	15	15	39
2003	PSI	CONC. COMM. MINES-PONTS	Techniques Avancees	¥	¥	¥	¥	¥	¥	¥	¥	¥	296	26	23	15	25
2003	PSI	CONC. COMM. MINES-PONTS	ENST cursus Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	290	19	21	21	18
2003	PSI	CONC. COMM. MINES-PONTS	ENST Sophia Antipolis	¥	¥	¥	¥	¥	¥	¥	¥	¥	350	11	18	18	12
2003	PSI	CONC. COMM. MINES-PONTS	MINES Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	65	26	31	12	26
2003	PSI	CONC. COMM. MINES-PONTS	MINES Saint-Etienne	¥	¥	¥	¥	¥	¥	¥	¥	¥	630	32	22	19	34
2003	PSI	CONC. COMM. MINES-PONTS	MINES Nancy	¥	¥	¥	¥	¥	¥	¥	¥	¥	535	48	23	19	45
2003	PSI	CONC. COMM. MINES-PONTS	Telecom Bretagne	¥	¥	¥	¥	¥	¥	¥	¥	¥	813	32	16	22	38
2003	PSI	CONC. COMM. MINES-PONTS	Commun Mines Ponts PSI	2612	18	24	843	16	21	817	16	21	¥	¥	¥	¥	263
2003	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE Paris	1564	16	26	232	11	25	191	13	26	152	86	9	30	85
2003	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE Paris handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	1
2003	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE Paris etranger	75	15	29	14	0	43	8	0	50	7	3	0	100	3
2003	PSI	BANQUE CENTRALE-SUPELEC	Supelec campus Gif handicapés	¥	¥	¥	¥	¥	¥	1	100	0	0	0	0	0	0
2003	PSI	BANQUE CENTRALE-SUPELEC	Supelec campus Gif	1361	15	26	564	12	27	468	13	28	281	56	16	30	54
2003	PSI	BANQUE CENTRALE-SUPELEC	Supelec campus Gif etranger	58	19	24	17	6	47	6	17	33	1	1	0	100	1
2003	PSI	BANQUE CENTRALE-SUPELEC	Supelec campus Metz	1361	15	26	564	12	27	468	13	28	388	18	17	22	15
2003	PSI	BANQUE CENTRALE-SUPELEC	Supelec campus Metz etranger	58	19	24	17	6	47	6	17	33	0	0	0	0	0
2003	PSI	BANQUE CENTRALE-SUPELEC	Supelec campus Metz handicapes	¥	¥	¥	¥	¥	¥	¥	¥	¥	1	1	100	0	0
2003	PSI	BANQUE CENTRALE-SUPELEC	Supelec campus Rennes handicapés	¥	¥	¥	¥	¥	¥	¥	¥	¥	0	0	0	0	0
2003	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC PSI handicapes	¥	¥	¥	¥	¥	¥	1	100	0	¥	¥	¥	¥	0
2003	PSI	BANQUE CENTRALE-SUPELEC	Supelec campus Rennes etranger	58	19	24	17	6	47	6	17	33	6	1	100	0	0
2003	PSI	BANQUE CENTRALE-SUPELEC	Supelec campus Rennes	1361	15	26	564	12	27	468	13	28	334	17	12	18	15
2003	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE Lyon	1997	16	25	467	15	23	398	16	25	368	75	15	17	75
2003	PSI	BANQUE CENTRALE-SUPELEC	SupOptique	963	17	30	417	18	29	362	18	29	362	18	0	50	22
2003	PSI	BANQUE CENTRALE-SUPELEC	SupOptique etranger	31	13	19	19	16	16	14	14	14	14	0	0	0	3
2003	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE Lille handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	1
2003	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE Lille	1896	17	26	536	16	26	509	17	27	508	55	24	27	58
2003	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE Nantes	2088	17	26	661	16	25	625	16	25	610	74	14	26	65
2003	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE Nantes handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2003	PSI	BANQUE CENTRALE-SUPELEC	ENSEA Cergy handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	1
2003	PSI	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	949	16	27	603	16	28	452	15	28	452	31	10	13	40
2003	PSI	BANQUE CENTRALE-SUPELEC	IIE-CNAM	427	18	32	306	16	35	210	15	36	210	12	0	17	20
2003	PSI	CONCOURS COMMUN TPE	ENTPE Civil	1937	18	31	786	16	37	388	21	43	290	7	14	14	6
2003	PSI	CONCOURS COMMUN TPE	ENTPE Fonctionnaire	¥	¥	¥	¥	¥	¥	388	21	43	253	33	15	48	33
2003	PSI	CONCOURS COMMUN TPE	ENTPE Etr	¥	¥	¥	¥	¥	¥	6	17	33	2	0	0	0	1
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSMM Besancon	¥	¥	¥	¥	¥	¥	¥	¥	¥	2097	43	9	26	46
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSEIRB Electronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	1891	19	5	37	18
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSEIRB Informatique	¥	¥	¥	¥	¥	¥	¥	¥	¥	1696	9	11	33	8
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSEIRB Telecom	¥	¥	¥	¥	¥	¥	¥	¥	¥	1790	11	9	27	15
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSIETA Brest civil	¥	¥	¥	¥	¥	¥	¥	¥	¥	1405	30	13	17	30
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSICAEN Electronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	2346	11	0	36	22
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSICAEN : informatique	¥	¥	¥	¥	¥	¥	¥	¥	¥	2341	10	10	10	12
2003	PSI	CONC. COMM. POLYTECHNIQUE	ISIMA Clermont-Fd	¥	¥	¥	¥	¥	¥	¥	¥	¥	2232	7	14	14	8
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSEE Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	2195	13	31	38	20
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSER Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	1709	29	3	28	30
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSHMG Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	1082	30	13	17	29
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSIEG	¥	¥	¥	¥	¥	¥	¥	¥	¥	1988	37	3	19	38
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSP Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	916	27	15	19	22
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSIMA Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	589	22	18	23	21
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSERG-ENSIMAG:Telec	¥	¥	¥	¥	¥	¥	¥	¥	¥	1487	27	19	37	30
2003	PSI	CONC. COMM. POLYTECHNIQUE	EFPG Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	2373	4	25	25	10
2003	PSI	CONC. COMM. POLYTECHNIQUE	CPE Lyon (Chimie)	¥	¥	¥	¥	¥	¥	¥	¥	¥	2373	1	100	0	5
2003	PSI	CONC. COMM. POLYTECHNIQUE	CPE Lyon (Elec.)	¥	¥	¥	¥	¥	¥	¥	¥	¥	2373	8	0	25	10
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSP Marseille	¥	¥	¥	¥	¥	¥	¥	¥	¥	1866	13	23	8	14
2003	PSI	CONC. COMM. POLYTECHNIQUE	ESM2 Marseille	¥	¥	¥	¥	¥	¥	¥	¥	¥	1861	16	31	19	16
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSC Montpellier	¥	¥	¥	¥	¥	¥	¥	¥	¥	1944	1	100	0	2
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSEM Nancy	¥	¥	¥	¥	¥	¥	¥	¥	¥	2211	41	10	29	37
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSIC Nancy	¥	¥	¥	¥	¥	¥	¥	¥	¥	1953	0	0	0	10
2003	PSI	CONC. COMM. POLYTECHNIQUE	SUPMECA Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	1674	35	11	23	38
2003	PSI	CONC. COMM. POLYTECHNIQUE	SUPMECA Toulon	¥	¥	¥	¥	¥	¥	¥	¥	¥	1811	15	7	33	15
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSGTI Pau	¥	¥	¥	¥	¥	¥	¥	¥	¥	2365	4	0	25	5
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSMA Poitiers	¥	¥	¥	¥	¥	¥	¥	¥	¥	1092	41	17	27	42
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSP Strasbourg	¥	¥	¥	¥	¥	¥	¥	¥	¥	2317	30	17	30	30
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENAC Toulouse civil	¥	¥	¥	¥	¥	¥	¥	¥	¥	698	20	10	20	21
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENAC Fonc Tlse	¥	¥	¥	¥	¥	¥	¥	¥	¥	51	3	33	0	3
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Genie Elec.	¥	¥	¥	¥	¥	¥	¥	¥	¥	1345	17	6	53	18
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSEEIHT electronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	1324	14	21	7	16
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Informatique	¥	¥	¥	¥	¥	¥	¥	¥	¥	1382	22	27	18	21
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSEEIHT hydraulique	¥	¥	¥	¥	¥	¥	¥	¥	¥	807	16	25	38	18
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Telecom.reseau	¥	¥	¥	¥	¥	¥	¥	¥	¥	1173	17	12	47	15
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSIACET G. Pro. Inf	¥	¥	¥	¥	¥	¥	¥	¥	¥	1989	5	20	40	4
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSIACET G. Industri	¥	¥	¥	¥	¥	¥	¥	¥	¥	1719	11	36	36	10
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSICA Toulouse	¥	¥	¥	¥	¥	¥	¥	¥	¥	355	26	23	27	27
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSIAME Meca Energ.	¥	¥	¥	¥	¥	¥	¥	¥	¥	2323	23	35	43	21
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSIAME Mecatronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	2347	7	29	71	5
2003	PSI	CONC. COMM. POLYTECHNIQUE	ENSIAME Info Autom.	¥	¥	¥	¥	¥	¥	¥	¥	¥	2373	2	0	50	19
2003	PSI	CONC. COMM. POLYTECHNIQUE	Commun Polytechnique PSI	3830	18	23	2791	17	27	2372	17	28	¥	¥	¥	¥	781
2003	PSI	BANQUE D'EPREUVES C.C.P	Ecole Navale Brest	515	14	30	202	12	46	81	12	58	70	28	11	68	28
2003	PSI	BANQUE D'EPREUVES C.C.P	Ecole Navale Brest	¥	¥	¥	¥	¥	¥	2	0	0	2	2	0	0	2
2003	PSI	BANQUE D'EPREUVES C.C.P	ENSIETA Brest Mili.	736	14	29	332	13	40	184	14	49	131	20	10	60	20
2003	PSI	BANQUE D'EPREUVES C.C.P	ENSCI Limoges	185	21	27	173	21	27	43	30	28	43	8	25	38	15
2003	PSI	BANQUE D'EPREUVES C.C.P	ENSIT Mulhouse	145	30	27	135	31	26	26	50	38	26	3	33	33	10
2003	PSI	BANQUE D'EPREUVES C.C.P	ENGEES Fonctionnaires	¥	¥	¥	¥	¥	¥	¥	¥	¥	39	3	33	0	3
2003	PSI	BANQUE D'EPREUVES C.C.P	ENGEES Civils	¥	¥	¥	¥	¥	¥	¥	¥	¥	80	10	40	30	10
2003	PSI	BANQUE D'EPREUVES C.C.P	ENGEES Strasbourg PSI	498	27	32	272	25	42	103	28	45	¥	¥	¥	¥	13
2003	PSI	BANQUE D'EPREUVES C.C.P	ENSGSI Nancy	427	23	27	273	20	28	133	22	28	78	13	31	31	13
2003	PSI	CONCOURS TELECOM INT	Telecom INT	1131	16	28	516	15	29	192	21	32	192	29	17	24	38
2003	PSI	CONCOURS TELECOM INT	ESIEE-Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	934	9	11	22	15
2003	PSI	CONCOURS TELECOM INT	ISMEA Marseille	¥	¥	¥	¥	¥	¥	¥	¥	¥	733	6	0	17	10
2003	PSI	CONCOURS TELECOM INT	ESIEE/ISMEA PSI	¥	¥	¥	¥	¥	¥	934	16	30	¥	¥	¥	¥	25
2003	PSI	CONCOURS EIVP	EIVP Fonc. Paris	¥	¥	¥	¥	¥	¥	416	19	43	269	4	50	100	4
2003	PSI	CONCOURS EIVP	EIVP Civil Paris	¥	¥	¥	¥	¥	¥	422	19	43	388	6	50	50	6
2003	PSI	CONCOURS DES ENSTIM	ENSTIM Albi	¥	¥	¥	¥	¥	¥	¥	¥	¥	150	3	0	33	5
2003	PSI	CONCOURS DES ENSTIM	ENSTIM Ales	¥	¥	¥	¥	¥	¥	¥	¥	¥	129	7	14	29	7
2003	PSI	CONCOURS DES ENSTIM	ENSTIM Douai	¥	¥	¥	¥	¥	¥	¥	¥	¥	110	8	50	25	7
2003	PSI	CONCOURS DES ENSTIM	ENSTIM Nantes	¥	¥	¥	¥	¥	¥	¥	¥	¥	80	5	40	0	5
2003	PSI	CONCOURS DES ENSTIM	ENSTIM PSI	516	23	33	343	20	36	150	23	43	¥	¥	¥	¥	24
2003	PSI	CONCOURS EEI	ESIM Marseille	347	21	25	265	22	28	206	22	30	163	44	25	18	45
2003	PSI	CONCOURS ENSAM-ENSAIS	ENSAM	2417	16	26	800	16	39	579	15	42	508	222	15	50	220
2003	PSI	CONCOURS ENSAM-ENSAIS	ENSAIS G.CIVIL	¥	¥	¥	¥	¥	¥	¥	¥	¥	923	46	22	41	44
2003	PSI	CONCOURS ENSAM-ENSAIS	ENSAIS Topo	¥	¥	¥	¥	¥	¥	¥	¥	¥	1136	17	35	24	14
2003	PSI	CONCOURS ENSAM-ENSAIS	ENSAIS G.ELEC.	¥	¥	¥	¥	¥	¥	¥	¥	¥	991	9	0	22	10
2003	PSI	CONCOURS ENSAM-ENSAIS	ENSAIS G MECA	¥	¥	¥	¥	¥	¥	¥	¥	¥	922	10	0	50	12
2003	PSI	CONCOURS ENSAM-ENSAIS	ENSAIS PLASTURGIE	¥	¥	¥	¥	¥	¥	¥	¥	¥	1122	8	25	12	9
2003	PSI	CONCOURS ENSAM-ENSAIS	ENSAIS MECATRO	¥	¥	¥	¥	¥	¥	¥	¥	¥	777	7	43	43	6
2003	PSI	CONCOURS ENSAM-ENSAIS	ENSAIS G.CLIM ET ENE	¥	¥	¥	¥	¥	¥	¥	¥	¥	1068	11	18	18	11
2003	PSI	CONCOURS ENSAM-ENSAIS	Concours ENSAIS PSI	1477	18	31	1288	18	33	1164	17	35	¥	¥	¥	¥	106
2003	PSI	CONCOURS ESTP	ESTP-TP	¥	¥	¥	¥	¥	¥	¥	¥	¥	705	49	12	39	53
2003	PSI	CONCOURS ESTP	ESTP-BAT	¥	¥	¥	¥	¥	¥	¥	¥	¥	881	49	29	18	53
2003	PSI	CONCOURS ESTP	ESTP MECA-ELEC	¥	¥	¥	¥	¥	¥	¥	¥	¥	1009	21	24	14	26
2003	PSI	CONCOURS ESTP	ESTP-GEOMETRES	¥	¥	¥	¥	¥	¥	¥	¥	¥	1019	12	8	25	16
2003	PSI	CONCOURS ESTP	Concours ESTP PSI	1330	18	31	1214	18	31	1074	17	34	¥	¥	¥	¥	148
2003	PSI	CONCOURS ECRIN	ECOLE LOUIS DE BROG.	320	19	28	283	19	28	158	19	33	158	6	17	33	13
2003	PSI	CONCOURS ECRIN	EFREI Paris	404	15	24	330	16	25	150	19	32	150	5	20	20	15
2003	PSI	CONCOURS ECRIN	EISTI Cergy	366	18	25	311	17	27	126	18	32	126	11	0	27	20
2003	PSI	CONCOURS ECRIN	ESEO Angers	290	17	29	236	17	30	123	12	36	123	1	0	0	5
2003	PSI	CONCOURS ECRIN	ESIEA PARIS	¥	¥	¥	¥	¥	¥	¥	¥	¥	175	3	33	33	15
2003	PSI	CONCOURS ECRIN	ESIEA Laval	¥	¥	¥	¥	¥	¥	¥	¥	¥	175	0	0	0	5
2003	PSI	CONCOURS ECRIN	ESIEA Paris-Laval PSI	359	16	26	323	16	27	175	16	31	¥	¥	¥	¥	20
2003	PSI	CONCOURS ECRIN	ESME-Sudria Paris	415	16	29	357	16	31	250	17	35	250	6	17	33	25
2003	PSI	CONCOURS ECRIN	ESTIT V.D ASCQ	224	23	29	198	23	31	108	24	36	108	1	0	100	5
2003	PSI	CONCOURS ECRIN	ISEB Brest	285	16	31	234	16	32	99	12	39	99	0	0	0	10
2003	PSI	CONCOURS ECRIN	ISEM Toulon	320	18	30	264	18	31	106	13	39	106	3	0	0	8
2003	PSI	CONCOURS ECRIN	ISEN Lille	292	16	30	237	16	33	103	12	44	103	4	0	25	5
2003	PSI	CONCOURS ECRIN	ITECH Lyon	258	24	30	211	26	31	90	26	38	90	0	0	0	5
2003	PSI	CONCOURS ARCHIMEDE	EIC Cherbourg	207	20	28	163	20	30	33	30	36	33	5	40	80	15
2003	PSI	CONCOURS ARCHIMEDE	EIVL Blois	224	25	27	176	23	23	124	25	23	124	6	0	17	25
2003	PSI	CONCOURS ARCHIMEDE	ENSI Bourges MRI	426	28	28	293	30	28	117	39	35	117	21	67	24	27
2003	PSI	CONCOURS ARCHIMEDE	ENSI Bourges STI	324	22	33	227	19	31	82	28	35	82	6	17	17	18
2003	PSI	CONCOURS ARCHIMEDE	ENSIL Limoges E.T.I	193	25	33	164	24	32	46	26	39	46	6	33	17	8
2003	PSI	CONCOURS ARCHIMEDE	ENSIL Limoges Mecatr	185	22	35	149	23	33	49	27	29	49	5	0	0	8
2003	PSI	CONCOURS ARCHIMEDE	ENSIL Limoges TSME	155	34	38	114	35	35	28	50	46	28	1	0	100	4
2003	PSI	CONCOURS ARCHIMEDE	ENSIM Le Mans	236	22	27	211	22	27	58	31	26	58	6	17	0	15
2003	PSI	CONCOURS ARCHIMEDE	ENSSAT Lannion EII	277	16	25	204	16	24	50	30	24	50	2	50	50	6
2003	PSI	CONCOURS ARCHIMEDE	ENSSAT Lannion LSI	277	16	25	204	16	24	39	21	21	33	2	0	50	4
2003	PSI	CONCOURS ARCHIMEDE	ENSSAT Lannion OPT	277	16	25	204	16	24	32	28	25	32	3	0	33	5
2003	PSI	CONCOURS ARCHIMEDE	ENSTIB Epinal	84	24	30	74	26	28	23	35	35	21	4	25	50	4
2003	PSI	CONCOURS ARCHIMEDE	ESIA Annecy	396	16	25	300	16	28	126	21	31	126	16	12	19	18
2003	PSI	CONCOURS ARCHIMEDE	ESIAL Nancy	246	16	26	220	15	24	84	11	26	64	20	0	25	20
2003	PSI	CONCOURS ARCHIMEDE	ESIGEC Chambery GE	317	36	32	185	37	36	124	38	40	100	6	67	17	4
2003	PSI	CONCOURS ARCHIMEDE	ESIGEC Chambery IB	285	28	33	184	27	37	120	30	44	87	4	50	50	4
2003	PSI	CONCOURS ARCHIMEDE	ESIGEC Chambery MC	204	32	36	130	32	41	87	34	45	87	0	0	0	3
2003	PSI	CONCOURS ARCHIMEDE	ESINSA Nice	297	16	32	256	16	32	108	19	32	108	10	20	30	10
