year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2003	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Paris	613	7	25	60	2	12	40	2	12	25	10	10	0	10
2003	PT	BANQUE CENTRALE-SUPELEC	Supelec campus Gif	¥	¥	¥	¥	¥	¥	¥	¥	¥	53	14	7	14	15
2003	PT	BANQUE CENTRALE-SUPELEC	Supelec campus Metz	¥	¥	¥	¥	¥	¥	¥	¥	¥	76	7	0	14	6
2003	PT	BANQUE CENTRALE-SUPELEC	Supelec campus Renn.	¥	¥	¥	¥	¥	¥	¥	¥	¥	59	3	0	0	3
2003	PT	BANQUE CENTRALE-SUPELEC	Supélec PT	425	8	26	129	2	16	90	1	10	¥	¥	¥	¥	24
2003	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Lyon	840	7	26	155	2	14	102	2	11	72	20	0	0	20
2003	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Lille	717	7	29	123	1	14	119	1	14	86	14	0	21	12
2003	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Nantes	755	7	27	151	3	13	103	2	10	98	11	0	9	12
2003	PT	BANQUE CENTRALE-SUPELEC	SupOptique	307	6	29	28	0	21	24	0	17	24	0	0	0	2
2003	PT	CONC. COMM. MINES-PONTS	Ponts et Chaussees	¥	¥	¥	¥	¥	¥	¥	¥	¥	28	2	0	0	2
2003	PT	CONC. COMM. MINES-PONTS	SUPAERO	¥	¥	¥	¥	¥	¥	¥	¥	¥	36	5	0	40	5
2003	PT	CONC. COMM. MINES-PONTS	Techniques Avancees	¥	¥	¥	¥	¥	¥	¥	¥	¥	44	3	0	0	2
2003	PT	CONC. COMM. MINES-PONTS	ENST cursus Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	85	3	33	0	3
2003	PT	CONC. COMM. MINES-PONTS	ENST Sophia Antipolis	¥	¥	¥	¥	¥	¥	¥	¥	¥	0	0	0	0	2
2003	PT	CONC. COMM. MINES-PONTS	MINES Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	24	3	0	0	3
