year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2004	MP		Rang du dernier appelé
2004	MP		Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi
2004	MP	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique Info. français	771	11	33	170	9	30	149	10	28	132	100	10	28	100
2004	MP	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique S.I. etranger	330	17	33	32	3	31	16	6	25	16	16	6	25	16
2004	MP	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique S.I. français	697	20	38	141	16	37	100	18	33	88	78	21	31	78
2004	MP	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique Info. etranger	81	21	41	¥	¥	¥	9	11	56	9	8	12	50	9
2004	MP	CONCOURS ECOLE POLYTECHNIQUE	Rang du dernier appelé
2004	MP	CONCOURS ECOLE POLYTECHNIQUE	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi
2004	MP	BANQUE ENS	ENS Ulm MPI	1169	21	40	123	9	41	71	14	35	64	40	12	35	40
2004	MP	BANQUE ENS	ENS Ulm Info	186	17	47	32	3	44	19	0	37	12	8	0	12	8
2004	MP	BANQUE ENS	ENS Ulm Info etranger	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2004	MP	BANQUE ENS	ENS Ulm MPI etranger	¥	¥	¥	¥	¥	¥	2	0	50	21	1	0	100	0
2004	MP	BANQUE ENS	ENS Cachan MP	¥	¥	¥	¥	¥	¥	¥	¥	¥	138	18	22	72	18
2004	MP	BANQUE ENS	ENS Cachan-Ker Lan MP	¥	¥	¥	¥	¥	¥	¥	¥	¥	163	10	10	40	9
2004	MP	BANQUE ENS	ENS Cachan MP	1235	23	39	219	15	47	192	16	48	¥	¥	¥	¥	27
2004	MP	BANQUE ENS	ENS Cachan Info	¥	¥	¥	¥	¥	¥	¥	¥	¥	47	10	0	50	10
2004	MP	BANQUE ENS	ENS Cachan-Ker Lan Info	¥	¥	¥	¥	¥	¥	¥	¥	¥	60	9	0	67	9
2004	MP	BANQUE ENS	ENS Cachan Info	209	4	42	89	1	39	68	1	38	¥	¥	¥	¥	19
2004	MP	BANQUE ENS	ENS Cachan Info etranger	¥	¥	¥	¥	¥	¥	¥	¥	¥	0	0	0	0	0
