year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2004	PT		Rang du dernier appelé
2004	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Paris	606	10	19	59	5	7	40	5	5	30	10	10	0	10
2004	PT	BANQUE CENTRALE-SUPELEC	Supelec campus Gif	¥	¥	¥	¥	¥	¥	¥	¥	¥	54	10	0	0	10
2004	PT	BANQUE CENTRALE-SUPELEC	Supelec campus Metz	¥	¥	¥	¥	¥	¥	¥	¥	¥	79	6	17	17	7
2004	PT	BANQUE CENTRALE-SUPELEC	Supelec campus Renn.	¥	¥	¥	¥	¥	¥	¥	¥	¥	69	8	0	0	7
2004	PT	BANQUE CENTRALE-SUPELEC	Supélec PT	423	9	19	129	9	12	86	9	10	¥	¥	¥	¥	24
2004	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Lyon	912	10	20	153	6	10	109	6	8	81	20	5	20	20
2004	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Lille	752	9	22	110	6	15	105	7	14	92	13	8	8	12
2004	PT	BANQUE CENTRALE-SUPELEC	CENTRALE Nantes	790	9	21	127	9	10	119	9	10	114	11	18	9	12
2004	PT	BANQUE CENTRALE-SUPELEC	SupOptique	275	9	22	41	10	12	33	6	15	14	2	0	0	2
2004	PT	BANQUE CENTRALE-SUPELEC	EGIM	551	10	25	110	8	16	102	9	17	91	6	17	0	6
2004	PT	BANQUE CENTRALE-SUPELEC	Rang du dernier appelé
2004	PT	CONC. COMM. MINES-PONTS	Ponts et Chaussees	¥	¥	¥	¥	¥	¥	¥	¥	¥	18	2	0	0	2
2004	PT	CONC. COMM. MINES-PONTS	SUPAERO	¥	¥	¥	¥	¥	¥	¥	¥	¥	34	5	0	40	5
2004	PT	CONC. COMM. MINES-PONTS	Techniques Avancees	¥	¥	¥	¥	¥	¥	¥	¥	¥	56	2	0	50	3
2004	PT	CONC. COMM. MINES-PONTS	ENST cursus Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	46	2	0	0	2
2004	PT	CONC. COMM. MINES-PONTS	ENST Sophia Antipolis	¥	¥	¥	¥	¥	¥	¥	¥	¥	63	1	0	0	1
2004	PT	CONC. COMM. MINES-PONTS	MINES Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	12	2	0	0	3
2004	PT	CONC. COMM. MINES-PONTS	MINES Saint-Etienne	¥	¥	¥	¥	¥	¥	¥	¥	¥	101	3	33	0	3
2004	PT	CONC. COMM. MINES-PONTS	MINES Nancy	¥	¥	¥	¥	¥	¥	¥	¥	¥	93	3	33	0	3
2004	PT	CONC. COMM. MINES-PONTS	Telecom Bretagne	¥	¥	¥	¥	¥	¥	¥	¥	¥	114	1	0	0	4
2004	PT	CONC. COMM. MINES-PONTS	C.C Mines Ponts PT	642	9	18	150	7	12	132	6	10	¥	¥	¥	¥	26
2004	PT	CONC. COMM. MINES-PONTS	Rang du dernier appelé
2004	PT	CONCOURS COMMUN ENSAM	ENSAM	¥	¥	¥	¥	¥	¥	¥	¥	¥	796	591	6	29	600
2004	PT	CONCOURS COMMUN ENSAM	ENSEA Cergy	¥	¥	¥	¥	¥	¥	¥	¥	¥	1108	27	11	30	32
2004	PT	CONCOURS COMMUN ENSAM	ESIEE-Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	1060	4	0	25	6
2004	PT	CONCOURS COMMUN ENSAM	ESIEE Amiens	¥	¥	¥	¥	¥	¥	¥	¥	¥	1028	0	0	0	6
2004	PT	CONCOURS COMMUN ENSAM	C.C. ENSAM PT	1997	9	20	1226	7	23	1133	8	23	¥	¥	¥	¥	644
2004	PT	CONCOURS COMMUN ENSAM	Rang du dernier appelé
2004	PT	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique	12	8	17	1	0	0	0	0	0	0	0	0	0	0
2004	PT	CONCOURS ECOLE POLYTECHNIQUE	Ecole Polytechnique	275	7	14	24	0	8	13	0	0	13	12	0	0	12
2004	PT	CONCOURS ECOLE POLYTECHNIQUE	Rang du dernier appelé
2004	PT	CONCOURS DE L'ENS DE CACHAN	ENS Cachan	1584	10	21	293	5	23	225	5	22	216	43	12	23	40
2004	PT	CONCOURS DE L'ENS DE CACHAN	ENS Cachan	¥	¥	¥	¥	¥	¥	3	33	0	0	0	0	0	0
2004	PT	CONCOURS DE L'ENS DE CACHAN	Rang du dernier appelé
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSMM Besancon	¥	¥	¥	¥	¥	¥	¥	¥	¥	1001	48	10	23	42
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSEIRB Electronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	535	3	0	0	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSEIRB Informatique	¥	¥	¥	¥	¥	¥	¥	¥	¥	305	1	0	0	1
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSEIRB Telecom	¥	¥	¥	¥	¥	¥	¥	¥	¥	376	1	0	100	1
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSIETA Brest civil	¥	¥	¥	¥	¥	¥	¥	¥	¥	648	11	9	9	9
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSICAEN Electronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	1014	8	12	25	10
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSICAEN Mat. et Chimie	¥	¥	¥	¥	¥	¥	¥	¥	¥	1030	2	50	50	3
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSEE Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	602	4	0	0	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSER Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	246	2	0	0	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSHMG Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	509	21	0	14	23
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSIEG	¥	¥	¥	¥	¥	¥	¥	¥	¥	627	6	0	17	10
2004	PT	CONC. COMM. POLYTECHNIQUE	EFPG Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	854	5	20	20	4
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSCI Limoges	¥	¥	¥	¥	¥	¥	¥	¥	¥	1046	2	0	100	4
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSP Grenoble	¥	¥	¥	¥	¥	¥	¥	¥	¥	241	2	50	0	2
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSIT Mulhouse	¥	¥	¥	¥	¥	¥	¥	¥	¥	1046	0	0	0	5
2004	PT	CONC. COMM. POLYTECHNIQUE	ENSEM Nancy	¥	¥	¥	¥	¥	¥	¥	¥	¥	696	5	20	0	6
2004	PT	CONC. COMM. POLYTECHNIQUE	SUPMECA Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	695	18	11	33	17
