year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2006	pc	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE	1202	25.0	37.0	274	19.0	43.0	189	19.0	43.0	169	155	21.0	44.0	155
2006	pc	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE Etranger	115	25.0		10	40.0		7	42.0		7	7	42.0		7
2006	pc	CONCOURS ECOLE POLYTECHNIQUE	ESPCI Paris	1231	30.0	36.0	427	25.0	40.0	378	25.0	42.0	378	64	37.0	33.0	57
2006	pc	CONCOURS ECOLE POLYTECHNIQUE	ESPCI Paris Etranger	101	20.0		20	50.0		14	57.0		7	1	0.0		9
2006	pc	BANQUE ENS	ENS Ulm	1000	32.0	40.0	87	18.0	55.0	46	10.0	53.0	38	21	4.0	39.0	21
2006	pc	BANQUE ENS	ENS Cachan PC	1086	33.0	40.0	207	27.0	58.0	136	29.0	54.0	108	21	33.0	81.0	21
2006	pc	BANQUE ENS	ENS Lyon	1070	33.0	39.0	233	30.0	55.0	140	30.0	54.0	106	34	32.0	48.0	34
2006	pc	CONCOURS COMMUN MINES-PONTS	MINES Paris										76	18	50.0	17.0	18
2006	pc	CONCOURS COMMUN MINES-PONTS	MINES Nancy										615	37	45.0	57.0	35
2006	pc	CONCOURS COMMUN MINES-PONTS	MINES St Etienne										714	40	30.0	28.0	39
2006	pc	CONCOURS COMMUN MINES-PONTS	Ponts et Chaussées										178	24	29.0	21.0	24
2006	pc	CONCOURS COMMUN MINES-PONTS	SUPAERO Toulouse										305	24	20.0	34.0	23
2006	pc	CONCOURS COMMUN MINES-PONTS	Techniques avancées										372	24	50.0	34.0	26
2006	pc	CONCOURS COMMUN MINES-PONTS	ENST Cursus Paris										321	14	21.0	43.0	14
2006	pc	CONCOURS COMMUN MINES-PONTS	ENST Bretagne										943	32	25.0	35.0	25
2006	pc	CONCOURS COMMUN MINES-PONTS	ENST Sophia Antipolis										377	5	20.0	80.0	6
2006	pc	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines Ponts	2863	29.0	32.0	985	28.0	42.0	947	28.0	42.0		218			210
2006	pc	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS	2130	30.0	33.0	489	26.0	42.0	338	23.0	44.0	255	88	23.0	55.0	85
2006	pc	BANQUE CENTRALE-SUPELEC	SUPELEC-Campus Gif										391	66	19.0	54.0	56
2006	pc	BANQUE CENTRALE-SUPELEC	SUPELEC-Campus Metz										548	17	17.0	24.0	17
2006	pc	BANQUE CENTRALE-SUPELEC	SUPELEC-Campus Rennes										502	16	6.0	50.0	17
2006	pc	BANQUE CENTRALE-SUPELEC	Supélec	1880	26.0	36.0	738	25.0	43.0	620	25.0	45.0		99			90
2006	pc	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	2482	30.0	33.0	639	29.0	44.0	502	29.0	47.0	469	58	39.0	50.0	60
2006	pc	BANQUE CENTRALE-SUPELEC	ECOLE SUPERIEURE D'OPTIQUE	1264	31.0	41.0	588	30.0	48.0	503	30.0	50.0	458	32	28.0	47.0	24
2006	pc	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	2334	31.0	35.0	713	30.0	48.0	628	31.0	49.0	546	47	31.0	56.0	45
2006	pc	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	2603	30.0	34.0	768	28.0	45.0	703	28.0	46.0	644	40	20.0	48.0	50
2006	pc	BANQUE CENTRALE-SUPELEC	EGIM Marseille	2097	33.0	36.0	628	30.0	44.0	590	30.0	45.0	577	58	29.0	52.0	57
2006	pc	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	809	26.0	38.0	527	26.0	40.0	370	26.0	42.0	350	34	17.0	48.0	20
2006	pc	BANQUE CENTRALE-SUPELEC	I.I.E. CNAM	599	26.0	38.0	310	26.0	36.0	78	26.0	38.0	78	9	11.0	45.0	10
2006	pc	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSMM Besançon										2659	19	15.0	43.0	22
2006	pc	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSEIR Bordeaux Electronique										2367	16	18.0	44.0	13
2006	pc	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSEIR Bordeaux Informatique										2038	5	20.0	60.0	7
