year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2007	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ECOLE POLYTECHNIQUE	862	15.0	28.0	88	13.0	35.0	53	13.0	27.0	50	49	14.0	27.0	49
2007	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan FIL. SCIEN. ou SI										107	10	0.0	50.0	10
2007	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan FIL.SI										282	28	14.0	47.0	28
2007	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan-Ker Lan										306	5	0.0	40.0	5
2007	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan	1234	16.0	32.0	347	12.0	36.0	301	13.0	33.0		43			43
2007	PSI	CONCOURS COMMUN MINES-PONTS	MINES Paris										67	27	18.0	15.0	26
2007	PSI	CONCOURS COMMUN MINES-PONTS	MINES Nancy										555	34	26.0	36.0	37
2007	PSI	CONCOURS COMMUN MINES-PONTS	MINES St Etienne										614	40	25.0	25.0	40
2007	PSI	CONCOURS COMMUN MINES-PONTS	Ponts et Chaussées										159	35	20.0	15.0	32
2007	PSI	CONCOURS COMMUN MINES-PONTS	SUPAERO Toulouse										292	42	9.0	17.0	42
2007	PSI	CONCOURS COMMUN MINES-PONTS	Techniques avancées										338	29	6.0	18.0	26
2007	PSI	CONCOURS COMMUN MINES-PONTS	ENST Cursus Paris										236	13	7.0	31.0	12
2007	PSI	CONCOURS COMMUN MINES-PONTS	ENST Cursus Sophia Antipolis										329	5	40.0	20.0	5
2007	PSI	CONCOURS COMMUN MINES-PONTS	ENST Bretagne										714	23	26.0	27.0	25
2007	PSI	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines Ponts	2959	18.0	27.0	849	15.0	26.0	830	16.0	26.0		248			245
2007	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS	1874	18.0	27.0	308	14.0	19.0	231	15.0	17.0	153	86	17.0	14.0	85
2007	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC-Campus Gif										303	60	18.0	25.0	60
2007	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC-Campus Metz										405	20	5.0	30.0	17
2007	PSI	BANQUE CENTRALE-SUPELEC	SUPELEC-Campus Rennes										357	17	5.0	42.0	17
2007	PSI	BANQUE CENTRALE-SUPELEC	Supélec	1977	17.0	28.0	605	15.0	22.0	486	15.0	22.0		97			94
2007	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	2360	18.0	27.0	482	15.0	23.0	452	15.0	22.0	426	80	22.0	23.0	80
2007	PSI	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1093	21.0	37.0	501	21.0	33.0	420	22.0	32.0	403	22	31.0	14.0	29
2007	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	2325	18.0	29.0	529	17.0	24.0	503	17.0	24.0	500	57	19.0	23.0	60
2007	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	2534	18.0	30.0	715	16.0	28.0	657	16.0	28.0	599	78	16.0	21.0	70
2007	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	1979	18.0	33.0	586	15.0	35.0	535	15.0	35.0	535	29	13.0	25.0	53
2007	PSI	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	1154	18.0	33.0	733	18.0	31.0	535	19.0	29.0	508	49	20.0	27.0	40
2007	PSI	BANQUE CENTRALE-SUPELEC	ENSIIE (I.I.E. CNAM )	772	19.0	33.0	528	18.0	31.0	184	19.0	33.0	177	34	14.0	21.0	20
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSMM Besançon										2382	63	3.0	34.0	50
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Bourges MRI										2450	32	28.0	16.0	27
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Bourges STI										2597	5	20.0	40.0	16
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIR Bordeaux Electronique										2360	17	17.0	36.0	18
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIR Bordeaux Informatique										2314	8	0.0	38.0	10
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIR Bordeaux Télecom.										2234	19	5.0	32.0	17
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSIETA Brest Civil										1678	36	50.0	31.0	34
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Electronique										2597	11	9.0	46.0	20
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Informatique										2597	9	11.0	23.0	15
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	ISIMA Clermont-Ferrand										2563	8	0.0	63.0	8
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble-EFPG										2597	12	25.0	67.0	10
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble-ENSEEG										2338	11	36.0	10.0	17
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble-ENSERG										1869	33	18.0	25.0	29
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble-ENSHMG										1281	30	20.0	37.0	29
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble-ENSIEG										2198	33	12.0	34.0	34
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble-ENSIMAG										798	20	5.0	35.0	16
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble-ENSPG										1079	30	23.0	17.0	29
2007	PSI	CONCOURS COMMUNS POLYTECHNIQUES	INP Grenoble-TELECOM										1780	23	17.0	44.0	20
