year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2007	TSI	Concours Polytechnique	ECOLE POLYTECHNIQUE				46	4.0	35.0	4	0.0	0.0	2	2	0.0	0.0	2
2007	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE PARIS	281	8.0	24.0	20	0.0	20.0	10	0.0	0.0	10	5	0.0	0.0	10
2007	TSI	CONCOURS CENTRALE-SUPELEC	SUPELEC-Campus Gif										8	1	0.0	0.0	0
2007	TSI	CONCOURS CENTRALE-SUPELEC	SUPELEC-Campus Metz										10	0	0.0	0.0	1
2007	TSI	CONCOURS CENTRALE-SUPELEC	SUPELEC-Campus Rennes										0	0	0.0	0.0	1
2007	TSI	CONCOURS CENTRALE-SUPELEC	Supélec	267	6.0	22.0	20	5.0	25.0	10	0.0	0.0		1			2
2007	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE LYON	310	8.0	23.0	29	3.0	21.0	19	0.0	16.0	14	3	0.0	34.0	3
2007	TSI	CONCOURS CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	205	9.0	24.0	53	9.0	25.0	31	6.0	23.0	23	3	33.0	0.0	3
2007	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE LILLE	317	7.0	25.0	35	2.0	18.0	31	3.0	20.0	23	5	0.0	40.0	5
2007	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE NANTES	346	6.0	25.0	49	8.0	25.0	39	10.0	24.0	38	9	0.0	12.0	10
2007	TSI	CONCOURS CENTRALE-SUPELEC	CENTRALE MARSEILLE	310	7.0	25.0	51	3.0	28.0	40	5.0	25.0	40	1	0.0	100.0	5
2007	TSI	CONCOURS CENTRALE-SUPELEC	ENSIIE (I.I.E. CNAM )	219	8.0	22.0	35	5.0	20.0	30	6.0	20.0	30	0	0.0	0.0	5
2007	TSI	BANQUE DE NOTES CENTRALE	Télécom INT	236	6.0	26.0	110	8.0	32.0	39	7.0	39.0	21	6	16.0	17.0	6
2007	TSI	BANQUE DE NOTES CENTRALE	IFMA Clermont-Ferrand	161	4.0	22.0	38	7.0	40.0	9	0.0	45.0	9	4	0.0	50.0	7
2007	TSI	BANQUE DE NOTES CENTRALE	ISMANS Le Mans	245	5.0	24.0	215	6.0	25.0	61	8.0	38.0	61	5	0.0	20.0	15
2007	TSI	BANQUE DE NOTES CENTRALE	EIC Cherbourg	268	7.0	20.0	196	8.0	21.0	49	8.0	17.0	49	10	10.0	10.0	15
2007	TSI	CONCOURS COMMUN MINES-PONTS	MINES Paris										3	1	0.0	0.0	2
2007	TSI	CONCOURS COMMUN MINES-PONTS	MINES Nancy										23	1	0.0	100.0	1
2007	TSI	CONCOURS COMMUN MINES-PONTS	MINES St Etienne										26	3	0.0	34.0	3
2007	TSI	CONCOURS COMMUN MINES-PONTS	Ponts et Chaussées										3	0	0.0	0.0	1
2007	TSI	CONCOURS COMMUN MINES-PONTS	Techniques avancées										8	1	0.0	0.0	1
2007	TSI	CONCOURS COMMUN MINES-PONTS	ENST Cursus Paris										10	1	0.0	0.0	1
2007	TSI	CONCOURS COMMUN MINES-PONTS	ENST Cursus Sophia Antipolis										20	1	0.0	0.0	1
2007	TSI	CONCOURS COMMUN MINES-PONTS	ENST Bretagne										42	3	0.0	34.0	2
2007	TSI	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines Ponts	236	7.0	28.0	46	4.0	35.0	43	4.0	33.0		11			12
2007	TSI	CONCOURS COMMUN ENSAM	ENSAM										81	30	10.0	57.0	35
