year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2012	pt	CENTRALE-SUPELEC	Rg dudernier appelé
2012	pt	CENTRALE-SUPELEC	CENTRALE PARIS	840	11.0	27.0	57	10.0	6.0	41	12.0	5.0	25	10	0.0	0.0	10
2012	pt	CENTRALE-SUPELEC	SUPELEC-Campus Gif										59	9	0.0	12.0	10
2012	pt	CENTRALE-SUPELEC	SUPELEC-Campus Metz										87	0	0.0	0.0	7
2012	pt	CENTRALE-SUPELEC	SUPELEC-Campus Rennes										87	4	0.0	25.0	7
2012	pt	CENTRALE-SUPELEC	Supélec	902	11.0	29.0	132	9.0	11.0	87	9.0	10.0		13			24
2012	pt	CENTRALE-SUPELEC	CENTRALE LYON	1173	11.0	27.0	149	6.0	12.0	113	7.0	10.0	100	24	8.0	25.0	24
2012	pt	CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	476	10.0	37.0	112	7.0	28.0	93	6.0	27.0	93	0	0.0	0.0	3
2012	pt	CENTRALE-SUPELEC	CENTRALE LILLE	1015	11.0	29.0	122	8.0	17.0	115	8.0	18.0	115	8	0.0	25.0	12
2012	pt	CENTRALE-SUPELEC	CENTRALE NANTES	1155	12.0	28.0	173	7.0	14.0	164	7.0	15.0	159	20	10.0	10.0	20
2012	pt	CENTRALE-SUPELEC	CENTRALE MARSEILLE	718	12.0	31.0	118	5.0	24.0	100	5.0	23.0	100	6	16.0	17.0	8
2012	pt	CONCOURS COMMUN MINES-PONTS	Rg dudernier appelé
2012	pt	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										14	3	33.0	0.0	3
2012	pt	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										125	1	0.0	100.0	4
2012	pt	CONCOURS COMMUN MINES-PONTS	MINES de SAINT-ETIENNE										139	1	0.0	100.0	2
2012	pt	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										18	2	0.0	0.0	2
2012	pt	CONCOURS COMMUN MINES-PONTS	SUPAERO (ISAE) Toulouse										30	6	0.0	17.0	5
