year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2013	tsi	Concours Polytechnique	ECOLE POLYTECHNIQUE				79	2.0	26.0	3	0.0	0.0	2	2	0.0	0.0	2
2013	tsi	CONCOURS CENTRALE-SUPELEC	CENTRALE PARIS	409	3.0	22.0	44	0.0	16.0	25	0.0	12.0	13	10	0.0	10.0	10
2013	tsi	CONCOURS CENTRALE-SUPELEC	SUPELEC	411	3.0	22.0	66	3.0	19.0	47	2.0	20.0	29	4	0.0	25.0	8
2013	tsi	CONCOURS CENTRALE-SUPELEC	CENTRALE LYON	431	4.0	22.0	48	2.0	17.0	36	0.0	23.0	23	5	0.0	0.0	5
2013	tsi	CONCOURS CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	299	6.0	23.0	63	6.0	34.0	40	2.0	35.0	27	1	0.0	0.0	2
2013	tsi	CONCOURS CENTRALE-SUPELEC	CENTRALE LILLE	430	4.0	22.0	60	3.0	19.0	49	4.0	23.0	43	5	40.0	40.0	5
2013	tsi	CONCOURS CENTRALE-SUPELEC	CENTRALE NANTES	500	4.0	23.0	69	4.0	18.0	55	3.0	20.0	55	7	0.0	29.0	15
2013	tsi	CONCOURS CENTRALE-SUPELEC	CENTRALE MARSEILLE	448	6.0	25.0	106	4.0	26.0	72	4.0	25.0	67	9	22.0	23.0	5
2013	tsi	CONCOURS CENTRALE-SUPELEC	ENSIIE Evry	343	4.0	21.0	49	4.0	21.0	43	4.0	21.0	35	0	0.0	0.0	5
2013	tsi	BANQUE DE NOTES CENTRALE	IFMA Clermont-Ferrand	268	6.0	25.0	76	5.0	44.0	7	0.0	29.0	7	2	0.0	0.0	7
2013	tsi	BANQUE DE NOTES CENTRALE	ISMANS Le Mans				227	8.0	23.0	58	3.0	28.0	58	6	0.0	34.0	15
2013	tsi	BANQUE DE NOTES CENTRALE	ESIX Normandie-Génie et Sûreté des Systèmes Industriels	380	5.0	22.0	340	6.0	23.0	55	12.0	20.0	55	19	10.0	11.0	25
2013	tsi	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										0	0	0.0	0.0	2
2013	tsi	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										0	0	0.0	0.0	3
2013	tsi	CONCOURS COMMUN MINES-PONTS	MINES de SAINT-ETIENNE										35	1	0.0	0.0	2
2013	tsi	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										5	0	0.0	0.0	1
2013	tsi	CONCOURS COMMUN MINES-PONTS	SUPAERO (ISAE) Toulouse										20	5	0.0	20.0	4
2013	tsi	CONCOURS COMMUN MINES-PONTS	ENSTA ParisTech										19	0	0.0	0.0	2
2013	tsi	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Paris										38	4	0.0	0.0	4
2013	tsi	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Sophia										43	1	0.0	100.0	2
