year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2014	psi	BANQUE ENS CACHAN/EC. POLYTECH	ENS Rennes	1012	20.0	27.0	340	16.0	28.0	298	17.0	28.0	285	8	0.0	63.0	8
2014	psi	BANQUE ENS CACHAN/EC. POLYTECH	ECOLE POLYTECHNIQUE	821	18.0	23.0	104	12.0	20.0	64	12.0	13.0	54	53	11.0	16.0	53
2014	psi	BANQUE ENS CACHAN/EC. POLYTECH	ENS Cachan	1272	20.0	25.0	346	15.0	26.0	308	16.0	26.0	303	39	15.0	39.0	39
2014	psi	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										77	28	10.0	11.0	28
2014	psi	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										757	45	24.0	9.0	40
2014	psi	CONCOURS COMMUN MINES-PONTS	MINES de SAINT-ETIENNE										781	42	30.0	15.0	42
2014	psi	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										176	35	28.0	9.0	35
2014	psi	CONCOURS COMMUN MINES-PONTS	SUPAERO (ISAE) Toulouse										242	43	13.0	7.0	42
2014	psi	CONCOURS COMMUN MINES-PONTS	ENSTA ParisTech										376	42	33.0	12.0	38
2014	psi	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Paris										387	22	18.0	19.0	20
2014	psi	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Sophia										428	9	33.0	12.0	7
2014	psi	CONCOURS COMMUN MINES-PONTS	TELECOM BRETAGNE cursus Brest-Rennes-Toulouse										997	21	14.0	24.0	28
2014	psi	CONCOURS COMMUN MINES-PONTS	TELECOM BRETAGNE cursus Sophia										926	3	33.0	0.0	3
2014	psi	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines Ponts PSI	3641	22.0	23.0	1036	19.0	22.0	998	20.0	22.0		290			283
2014	psi	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS	2266	22.0	23.0	356	16.0	17.0	339	16.0	17.0	174	92	23.0	15.0	93
2014	psi	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS-étr.	147	25.0	24.0	35	17.0	23.0	34	17.0	24.0	22	13	23.0	47.0	8
2014	psi	BANQUE CENTRALE-SUPELEC	SUPELEC	2363	21.0	24.0	696	19.0	21.0	671	20.0	22.0	547	120	18.0	21.0	115
2014	psi	BANQUE CENTRALE-SUPELEC	SUPELEC-étr.	107	28.0	27.0				29	20.0	25.0	23	2	0.0	0.0	1
2014	psi	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	2729	22.0	24.0	584	19.0	21.0	562	19.0	21.0	408	82	12.0	30.0	82
2014	psi	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1574	23.0	28.0	784	22.0	24.0	680	23.0	25.0	676	26	30.0	16.0	30
2014	psi	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-étr.	51	29.0	28.0				16	18.0	25.0	16	0	0.0	0.0	2
2014	psi	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	2833	22.0	26.0	776	20.0	23.0	744	21.0	23.0	650	55	18.0	22.0	60
2014	psi	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	2951	22.0	26.0	746	21.0	23.0	718	22.0	23.0	627	70	25.0	20.0	75
2014	psi	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	2337	22.0	27.0	996	22.0	23.0	859	22.0	23.0	771	53	26.0	21.0	60
2014	psi	BANQUE CENTRALE-SUPELEC	ECOLE NAVALE Brest	743	16.0	33.0	215	14.0	39.0	82	12.0	46.0	68	22	4.0	41.0	22
2014	psi	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	1506	22.0	27.0	1150	22.0	26.0	457	26.0	25.0	452	60	20.0	25.0	45
2014	psi	BANQUE CENTRALE-SUPELEC	ENSIIE Evry										275	24	16.0	17.0	20
2014	psi	BANQUE CENTRALE-SUPELEC	ENSIIE Strasbourg										314	10	10.0	30.0	10
2014	psi	BANQUE CENTRALE-SUPELEC	ENSIIE	1178	21.0	29.0	890	21.0	29.0	316	25.0	29.0		34			30
2014	psi	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS-CI										2	2	0.0	0.0	5
2014	psi	BANQUE CENTRALE-SUPELEC	SUPELEC-CI										0	1	0.0	0.0	0
2014	psi	BANQUE CENTRALE-SUPELEC	SUPELEC-CI										3	1	0.0	0.0	1
2014	psi	BANQUE CENTRALE-SUPELEC	SUPELEC-CI										0	1	0.0	0.0	0
2014	psi	BANQUE CENTRALE-SUPELEC	CENTRALE LYON-CI										5	1	100.0	0.0	1
2014	psi	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE-CI										0	0	0.0	0.0	1
2014	psi	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES-CI										0	0	0.0	0.0	5
2014	psi	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-CI										8	0	0.0	0.0	1
2014	psi	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE-CI										0	0	0.0	0.0	1
2014	psi	BANQUE CENTRALE-SUPELEC	Cycle International Centrale-Supelec	29	37.0	38.0	14	50.0	15.0	13	46.0	8.0		6			15
2014	psi	CONCOURS COMMUNS POLYTECHNIQUES	ENSMM Besançon										2867	54	20.0	23.0	52
2014	psi	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIRB-MATMECA Bordeaux Electronique										2326	23	13.0	31.0	16
2014	psi	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIRB-MATMECA Bordeaux Informatique										2291	12	16.0	25.0	10
