year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2018	mp	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE Info.	857	12.6	22.5	231	13.4	20.3	147	14.3	18.4	103	18.4	17.5	78	75	103
2018	mp	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE P&SI	772	20.5	29.0	192	17.7	20.8	102	22.5	14.7	81	21.0	16.0	49	49	81
2018	mp	BANQUE ENS	ENS Ulm MPI	1694	18.8	27.9	143	6.3	25.9	95	9.5	22.1	38	10.5	21.1	34	37	38
2018	mp	BANQUE ENS	ENS Ulm Info.	362	13.5	24.9	45	11.1	24.4	25	16.0	24.0	13	15.4	30.8	12	11	13
2018	mp	BANQUE ENS	ENS Paris-Saclay MP	1834	19.2	27.3	271	10.3	26.2	190	12.1	24.7	18	11.1	50.0	144	139	18
2018	mp	BANQUE ENS	ENS Paris-Saclay Info.	372	12.9	22.3	105	11.4	23.8	75	12.0	26.7	14	7.1	35.7	58	52	14
2018	mp	BANQUE ENS	ENS de Lyon MPI	1831	19.7	27.9	249	9.2	28.1	159	12.6	26.4	20	5.0	35.0	92	83	20
2018	mp	BANQUE ENS	ENS de Lyon Info.	393	12.7	22.1	123	8.9	21.1	71	11.3	19.7	22	22.7	18.2	45	44	22
2018	mp	BANQUE ENS	ENS Rennes MP	1704	19.9	28.0	309	14.6	29.1	257	16.0	28.8	12	16.7	50.0	210	207	12
2018	mp	BANQUE ENS	ENS Rennes Info.	359	13.9	22.0	101	11.9	18.8	87	12.6	19.5	8	0.0	50.0	62	57	9
2018	mp	BANQUE CENTRALE-SUPELEC	CentraleSupélec-Campus Gif	3431	20.7	24.9	898	17.7	20.5	850	17.6	20.8	248	16.1	21.0	379	362	250
2018	mp	BANQUE CENTRALE-SUPELEC	CentraleSupélec-Campus Gif-étr.	202	23.3	27.7	74	13.5	25.7	74	13.5	25.7	24	20.8	45.8	46	44	20
2018	mp	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	3691	21.5	25.0	1107	17.4	21.9	1061	17.8	22.0	115	20.0	28.7	689	682	127
2018	mp	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1646	24.5	27.9	671	22.8	24.3	636	22.2	24.4	25	24.0	4.0	477	490	40
2018	mp	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-étr.	66	39.4	40.9	39	38.5	46.2	36	38.9	47.2	3	66.7	100.0	24	22	2
2018	mp	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	3278	22.8	26.1	970	19.5	25.5	933	19.2	25.9	90	23.3	22.2	747	709	90
2018	mp	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	3529	22.7	25.2	853	18.2	24.4	829	18.5	24.6	111	17.1	22.5	676	652	135
2018	mp	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	3198	22.9	25.8	1202	20.2	23.5	1106	20.2	23.2	72	18.1	30.6	852	817	80
2018	mp	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA	481	20.4	34.1	61	13.1	27.9	58	13.8	29.3	0	0.0	0.0	0	0	8
2018	mp	BANQUE CENTRALE-SUPELEC	ECOLE NAVALE Brest	517	18.0	30.8	194	13.4	43.3	78	15.4	46.2	31	6.5	51.6	31	32	31
