year	filiere	banque	ehcole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2018	pt	CENTRALE-SUPELEC	CENTRALE CASABLANCA										0	0.0	0.0	0	0	4
2018	pt	CENTRALE-SUPELEC	CentraleSupélec-Campus Gif										20	10.0	5.0	30	28	20
2018	pt	CENTRALE-SUPELEC	CentraleSupélec-cursus apprenti-Campus Rennes										7	14.3	0.0	97	87	5
2018	pt	CENTRALE-SUPELEC	CENTRALE LYON										24	4.2	8.3	74	76	24
2018	pt	CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)										13	7.7	7.7	257	268	5
2018	pt	CENTRALE-SUPELEC	CENTRALE LILLE										11	0.0	18.2	136	140	12
2018	pt	CENTRALE-SUPELEC	CENTRALE NANTES										10	20.0	0.0	93	89	20
2018	pt	CENTRALE-SUPELEC	CENTRALE MARSEILLE										3	0.0	0.0	148	143	5
2018	pt	CENTRALE-SUPELEC	¥Concours CentraleSupélec	1472	12.1	20.0	439	9.3	10.9	427	9.6	10.3	88					95
2018	pt	CONCOURS COMMUN MINES-PONTS	ENSTA ParisTech										12	16.7	8.3	65	62	8
2018	pt	CONCOURS COMMUN MINES-PONTS	IMT Atlantique cursus Sophia Antipolis										1	0.0	0.0	164	164	1
2018	pt	CONCOURS COMMUN MINES-PONTS	IMT Atlantique cursus Brest-Nantes-Rennes-Toulouse										5	20.0	0.0	117	120	3
2018	pt	CONCOURS COMMUN MINES-PONTS	ISAE-SUPAERO Toulouse										6	0.0	0.0	36	33	6
2018	pt	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										4	0.0	25.0	107	103	4
2018	pt	CONCOURS COMMUN MINES-PONTS	MINES de SAINT-ETIENNE										6	0.0	33.3	120	108	2
2018	pt	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										5	40.0	0.0	17	15	5
2018	pt	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										2	0.0	0.0	28	28	2
2018	pt	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Paris										1	0.0	0.0	30	30	1
2018	pt	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Sophia										1	0.0	0.0	43	43	1
2018	pt	CONCOURS COMMUN MINES-PONTS	¥Concours Commun Mines-Ponts PT	1154	11.6	19.1	198	5.6	14.1	196	5.6	14.3	43					33
2018	pt	CONCOURS COMMUN ENSAM	Arts et Métiers-ingénieurs militaires	521	11.1	22.5	123	9.8	26.8	35	11.4	28.6	7	14.3	14.3	23	22	7
2018	pt	CONCOURS COMMUN ENSAM	Arts et Métiers										538	13.2	32.3	504	498	530
2018	pt	CONCOURS COMMUN ENSAM	Arts et Métiers-voie de l'apprentissage										6	16.7	33.3	680	569	12
2018	pt	CONCOURS COMMUN ENSAM	ENSEA Cergy										9	11.1	0.0	1093	1068	20
2018	pt	CONCOURS COMMUN ENSAM	¥Concours ARTS ET MÉTIERS	2308	13.0	19.9	1285	10.3	25.3	1212	10.6	25.4	553					562
2018	pt	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE	379	9.0	14.5	21	0.0	9.5	10	0.0	10.0	10	0.0	10.0	6	6	10
