year	filiere	banque	ehcole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2019	mp	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE Info.	861	11.1	24.3	212	9.0	17.9	162	10.5	15.4	102	15.7	14.7	80	77	102
2019	mp	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE P&SI	767	22.4	25.3	173	18.5	16.8	120	20.8	14.2	81	23.5	16.0	46	46	81
2019	mp	BANQUE ENS	ENS Ulm MPI	1720	17.8	28.5	141	7.8	19.1	96	8.3	14.6	38	7.9	10.5	37	36	38
2019	mp	BANQUE ENS	ENS Ulm Info.	341	8.8	24.6	44	9.1	25.0	25	12.0	20.0	13	7.7	7.7	13	13	13
2019	mp	BANQUE ENS	ENS Paris-Saclay MP	1802	18.3	28.1	265	7.9	22.3	195	7.7	23.1	18	11.1	44.4	138	136	18
2019	mp	BANQUE ENS	ENS Paris-Saclay Info.	366	8.7	22.4	106	7.5	18.9	75	6.7	22.7	15	6.7	13.3	41	38	15
2019	mp	BANQUE ENS	ENS de Lyon MPI	1823	17.9	28.1	251	7.6	23.5	155	8.4	21.9	20	5.0	50.0	95	95	20
2019	mp	BANQUE ENS	ENS de Lyon Info.	380	8.9	22.4	112	7.1	17.0	73	6.8	17.8	22	9.1	22.7	35	34	22
2019	mp	BANQUE ENS	ENS Rennes MP	1713	18.7	28.3	317	12.6	26.2	259	13.1	29.3	12	25.0	41.7	199	186	12
2019	mp	BANQUE ENS	ENS Rennes Info.	361	8.3	23.5	104	8.7	18.3	79	6.3	16.5	9	0.0	11.1	58	54	9
2019	mp	BANQUE CENTRALE-SUPELEC	CentraleSupélec-statut étudiant	3435	20.8	22.3	922	15.9	16.2	870	16.4	16.4	259	14.7	13.9	378	362	263
2019	mp	BANQUE CENTRALE-SUPELEC	CentraleSupélec-statut étudiant étr.	223	20.2	29.1	76	11.8	27.6	74	10.8	27.0	23	13.0	56.5	44	42	20
2019	mp	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	3709	22.4	22.0	1132	17.8	18.7	1086	18.2	18.9	116	18.1	24.1	745	722	127
2019	mp	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1623	25.1	25.9	564	23.8	20.9	537	23.6	20.1	13	0.0	46.2	415	421	38
2019	mp	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-étr.	78	24.4	26.9	24	20.8	25.0	22	22.7	22.7	0	0.0	0.0	0	0	2
2019	mp	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	3461	23.6	23.5	985	21.7	21.7	945	21.8	21.9	84	23.8	20.2	831	784	90
2019	mp	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	3606	23.4	22.8	876	18.4	20.1	848	18.8	20.3	110	20.0	21.8	717	677	130
2019	mp	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	3264	23.9	22.9	1217	22.3	20.8	1120	22.1	20.5	81	33.3	28.4	924	882	80
2019	mp	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA	538	21.0	28.1	121	11.6	26.4	108	11.1	26.9	0	0.0	0.0	0	0	8
2019	mp	BANQUE CENTRALE-SUPELEC	CentraleSupélec-Campus étudiant-CI										24	16.7	29.2	30	26	22
2019	mp	BANQUE CENTRALE-SUPELEC	CENTRALE LYON-CI										8	12.5	37.5	52	51	8
2019	mp	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE-CI										5	40.0	20.0	67	67	3
2019	mp	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES-CI										2	50.0	0.0	59	59	5
2019	mp	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-CI										8	12.5	25.0	136	128	3
2019	mp	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE-CI										1	100.0	0.0	76	76	2
2019	mp	BANQUE CENTRALE-SUPELEC	¥Concours Cycle International Centrale-Supelec MP	857	28.7	15.1	240	21.7	18.8	224	22.3	19.2	48					43
2019	mp	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA-CI	857	28.7	15.1	240	21.7	18.8	224	22.3	19.2	6	50.0	33.3	176	174	30
2019	mp	BANQUE CENTRALE-SUPELEC	Arts et Métiers										2	50.0	50.0	86	86	39
2019	mp	BANQUE CENTRALE-SUPELEC	Arts et Métiers-ingénieurs militaires										0	0.0	0.0	0	0	0
2019	mp	BANQUE CENTRALE-SUPELEC	Arts et Métiers-voie de l'apprentissage										0	0.0	0.0	0	0	1
2019	mp	BANQUE CENTRALE-SUPELEC	¥Concours ARTS ET MÉTIERS ParisTech MP	2386	25.4	24.7	378	20.6	29.6	137	23.4	38.0	2					40
2019	mp	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	2386	25.4	24.7	1672	25.1	26.0	999	25.6	24.9	50	24.0	38.0	898	847	60
2019	mp	BANQUE CENTRALE-SUPELEC	Université de Technologie de Troyes (UTT)	612	25.7	19.9	220	27.7	12.3	169	26.0	11.2	1	0.0	0.0	142	142	20
2019	mp	BANQUE CENTRALE-SUPELEC	EPF campus TROYES										6	50.0	16.7	302	296	5
2019	mp	BANQUE CENTRALE-SUPELEC	EPF campus MONTPELLIER										6	50.0	33.3	278	231	5
2019	mp	BANQUE CENTRALE-SUPELEC	EPF campus SCEAUX										6	33.3	0.0	240	238	5
2019	mp	BANQUE CENTRALE-SUPELEC	¥Concours EPF Sceaux-Troyes-Montpellier MP	488	35.7	16.8	414	37.2	16.7	328	38.7	14.6	18					15
2019	mp	BANQUE CENTRALE-SUPELEC	ESTP Paris-Travaux Publics (TP)-campus de Cachan										48	25.0	16.7	406	386	64
2019	mp	BANQUE CENTRALE-SUPELEC	ESTP Paris-Bâtiment (B)-campus de Cachan										49	46.9	14.3	389	379	62
2019	mp	BANQUE CENTRALE-SUPELEC	ESTP Paris-Génie Mécanique et Electrique(GME)										12	50.0	8.3	371	375	24
2019	mp	BANQUE CENTRALE-SUPELEC	ESTP Paris-Topographie (T)										2	0.0	0.0	449	449	10
2019	mp	BANQUE CENTRALE-SUPELEC	ESTP Paris-Bâtiment (B)-campus de Troyes										1	100.0	0.0	431	431	12
2019	mp	BANQUE CENTRALE-SUPELEC	ESTP Paris-Travaux Publics (TP)-campus de Dijon										3	100.0	0.0	415	411	5
2019	mp	BANQUE CENTRALE-SUPELEC	¥Concours ESTP MP	1001	28.4	23.2	801	29.7	20.8	498	34.3	17.7	115					177
2019	mp	BANQUE CENTRALE-SUPELEC	ECOLE NAVALE Brest	487	18.9	32.0	203	16.7	39.4	81	17.3	50.6	30	10.0	53.3	31	30	30
2019	mp	CONCOURS COMMUN MINES-PONTS	Chimie ParisTech										1	0.0	0.0	1334	1334	2
