year	filiere	banque	ehcole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2019	psi	BANQUE ENS CACHAN/EC. POLYTECH	ENS Ulm PSI	820	18.5	23.3	46	8.7	26.1	28	7.1	21.4	5	20.0	20.0	18	18	5
2019	psi	BANQUE ENS CACHAN/EC. POLYTECH	ECOLE POLYTECHNIQUE	919	16.4	19.6	91	14.3	12.1	63	15.9	11.1	57	14.0	10.5	31	31	57
2019	psi	BANQUE ENS CACHAN/EC. POLYTECH	ENS Paris-Saclay	1207	18.6	21.0	395	16.2	17.0	307	14.0	17.3	38	5.3	26.3	197	194	38
2019	psi	BANQUE ENS CACHAN/EC. POLYTECH	ENS Rennes	1103	17.8	22.0	369	15.4	16.5	332	14.8	16.6	2	0.0	0.0	270	270	3
2019	psi	BANQUE CENTRALE-SUPELEC	CentraleSupélec-Statut étudiant	2494	21.5	19.0	551	16.9	10.9	544	17.1	10.5	176	18.2	10.2	209	198	175
2019	psi	BANQUE CENTRALE-SUPELEC	CentraleSupélec-Statut étudiant-étr.	86	24.4	18.6	25	16.0	4.0	24	16.7	4.2	11	0.0	0.0	12	12	9
2019	psi	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	2855	22.4	19.3	665	19.1	11.0	661	19.2	10.7	79	27.8	11.4	433	421	82
2019	psi	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1393	26.1	22.5	513	22.8	15.4	502	22.7	14.9	17	23.5	11.8	361	385	28
2019	psi	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-étr.	32	34.4	18.8	9	22.2	22.2	8	25.0	12.5	0	0.0	0.0	0	0	2
2019	psi	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	2891	22.4	20.6	864	18.4	13.4	848	18.5	12.7	60	16.7	20.0	535	519	60
2019	psi	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	3055	22.7	20.0	602	19.3	12.1	597	19.4	11.7	63	28.6	14.3	440	423	75
2019	psi	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	2770	22.7	21.3	947	18.7	14.5	917	19.0	14.0	65	24.6	10.8	704	678	60
2019	psi	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA	437	22.0	27.7	65	7.7	16.9	63	7.9	15.9	0	0.0	0.0	0	0	3
2019	psi	BANQUE CENTRALE-SUPELEC	CentraleSupélec-Campus étudiant-CI										6	33.3	0.0	4	4	6
2019	psi	BANQUE CENTRALE-SUPELEC	CENTRALE LYON-CI										1	0.0	0.0	7	7	1
2019	psi	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE-CI										1	100.0	0.0	10	10	1
2019	psi	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES-CI										2	50.0	0.0	9	9	5
