year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2020	pc	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE	1298	26.5	27.6				159	19.5	20.8	130	18.5	18.5	70	70	130
2020	pc	CONCOURS ECOLE POLYTECHNIQUE	ESPCI Paris	1374	29.7	27.0				376	24.5	23.4	49	28.6	24.5	254	256	55
2020	pc	CONCOURS ECOLE POLYTECHNIQUE	ESPCI Paris Etranger	68	29.4	23.5				19	21.1	21.1	2	0.0	50.0	12	12	2
2020	pc	BANQUE ENS	ENS Ulm	1237	26.5	29.3				73	16.4	24.7	18	22.2	27.8	38	38	18
2020	pc	BANQUE ENS	ENS Paris-Saclay PC	1447	27.6	28.3				319	21.3	29.8	18	16.7	44.4	185	184	18
2020	pc	BANQUE ENS	ENS de Lyon	1295	27.3	29.5				202	23.3	35.1	28	21.4	42.9	147	131	28
2020	pc	BANQUE CENTRALE-SUPELEC	CentraleSupélec-statut étudiant	2496	30.1	23.8				1852	29.3	24.0	170	24.1	25.9	254	246	167
2020	pc	BANQUE CENTRALE-SUPELEC	CentraleSupélec-statut étudiant-étr.	106	27.4	25.5				56	23.2	32.1	10	30.0	40.0	16	16	10
2020	pc	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	2760	31.7	23.2				1982	30.1	23.2	63	39.7	33.3	483	484	62
2020	pc	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1601	32.2	26.9				1133	31.8	26.8	46	32.6	39.1	561	534	45
2020	pc	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-étr.	57	26.3	29.8				29	17.2	34.5	1	0.0	100.0	23	23	2
2020	pc	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	2656	32.8	24.5				1768	31.7	25.0	58	27.6	37.9	588	589	50
2020	pc	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	2681	32.3	23.6				1847	31.5	23.9	51	29.4	31.4	530	507	55
2020	pc	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	2991	35.2	22.8				1878	32.7	22.5	91	39.6	28.6	942	933	80
2020	pc	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA	433	29.3	30.3				162	23.5	37.0	0	0.0	0.0	0	0	2
2020	pc	BANQUE CENTRALE-SUPELEC	CentraleSupélec-statut étudiant-CI										5	40.0	20.0	3	3	5
2020	pc	BANQUE CENTRALE-SUPELEC	CENTRALE LYON-CI										1	0.0	0.0	6	6	1
