year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2021	bcpst	A BIO	CentraleSupélec-Campus Metz										11	81.8	27.3	310	300	10
2021	bcpst	A BIO	AgroParisTech Grignon										260	63.1	13.1	477	470	260
2021	bcpst	A BIO	Montpellier Sup Agro (cursus agronome)										100	75.0	24.0	994	970	99
2021	bcpst	A BIO	Montpellier Sup Agro (cursus SAADS)										7	100.0	0.0	885	721	7
2021	bcpst	A BIO	Agrocampus Ouest (cursus ingénieur agronome)										105	68.6	42.9	1087	1061	105
2021	bcpst	A BIO	ENSAT Toulouse										91	75.8	35.2	1344	1273	92
2021	bcpst	A BIO	ENSAIA Nancy										84	65.5	34.5	1706	1674	90
2021	bcpst	A BIO	Agrocampus Ouest (cursus ingénieur en horticulture et en paysage)										37	75.7	24.3	1619	1590	38
2021	bcpst	A BIO	Agrosup Dijon (Cursus Agroalimentaire)										33	78.8	12.1	1965	1837	35
2021	bcpst	A BIO	Bordeaux Sciences Agro										86	64.0	34.9	1451	1411	87
2021	bcpst	A BIO	VetAgro Sup Clermont-Ferrand										48	68.8	33.3	1931	1858	54
2021	bcpst	A BIO	ONIRIS Nantes Atlantique (cursus agroalimentaire)										39	71.8	25.6	2026	1937	49
2021	bcpst	A BIO	Agrosup Dijon (Cursus Agronome) civil										35	62.9	28.6	1725	1681	34
2021	bcpst	A BIO	Agrosup Dijon (Cursus agronome) fonctionnaire										25	68.0	20.0	1430	1391	25
2021	bcpst	A BIO	¥Concours A BIO	3055	70.7	20.7	2338	69.7	25.4	2185	69.7	26.2	961					985
2021	bcpst	X BIO	ECOLE POLYTECHNIQUE	374	62.8	14.2	22	68.2	0.0	22	68.2	0.0	13	61.5	0.0	10	12	13
2021	bcpst	A ENV	ENV Alfort										110	76.4	43.6	248	242	110
2021	bcpst	A ENV	VetAgro Sup Lyon										121	71.1	57.0	192	197	121
2021	bcpst	A ENV	ONIRIS Nantes Atlantique (cursus vétérinaire)										116	67.2	44.8	465	407	116
