year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2021	tpc	CONCOURS COMMUN INP	ENSICAEN Mat. et Chimie										2	50.0	0.0	25	25	2
2021	tpc	CONCOURS COMMUN INP	SIGMA Clermont-Ferrand-spécialité chimie										2	50.0	0.0	16	16	2
2021	tpc	CONCOURS COMMUN INP	ESCOM Chimie Compiègne										4	50.0	25.0	22	21	3
2021	tpc	CONCOURS COMMUN INP	Grenoble INP-Pagora										2	0.0	0.0	31	31	5
2021	tpc	CONCOURS COMMUN INP	Lorraine INP-ENSEM-Energie										3	0.0	33.3	33	32	2
2021	tpc	CONCOURS COMMUN INP	ENSC Lille										1	100.0	100.0	22	22	1
2021	tpc	CONCOURS COMMUN INP	CPE LYON Chimie – génie des procédés										1	100.0	0.0	27	27	2
2021	tpc	CONCOURS COMMUN INP	ITECH Lyon										0	0.0	0.0	0	0	4
2021	tpc	CONCOURS COMMUN INP	ENSC Montpellier										2	0.0	0.0	8	8	2
2021	tpc	CONCOURS COMMUN INP	ENSC Mulhouse										3	66.7	0.0	12	12	3
2021	tpc	CONCOURS COMMUN INP	Chimie ParisTech										2	100.0	0.0	3	3	2
2021	tpc	CONCOURS COMMUN INP	ENSGTI Pau-Génie des Procédés										2	50.0	0.0	41	41	3
2021	tpc	CONCOURS COMMUN INP	ECPM Strasbourg										2	50.0	0.0	11	11	3
2021	tpc	CONCOURS COMMUN INP	SeaTech Toulon										3	0.0	0.0	18	23	2
2021	tpc	CONCOURS COMMUN INP	Toulouse INP-ENSIACET-Chimie										1	100.0	0.0	23	23	1
2021	tpc	CONCOURS COMMUN INP	EIL Côte d'Opale-Dunkerque (Génie Energétique et Environnement)										0	0.0	0.0	0	0	5
2021	tpc	CONCOURS COMMUN INP	¥Concours CCINP TPC	77	44.2	10.4	59	40.7	11.9	43	41.9	9.3	30					42
