ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,PAUL CEZANNE,17,4,7,2,7,2,4,2
BLOIS,F. PH. DESSAIGNES,6,1,2,1,2,1,0,0
MARSEILLE,THIERS,88,27,50,13,43,11,19,5
AMIENS,THUILLIER,26,5,8,1,6,0,3,0
COMPIEGNE,PIERRE D'AILLY,4,0,0,0,0,0,0,0
BESANCON,VICTOR HUGO,55,15,31,4,30,4,10,1
BORDEAUX,CAMILLE JULLIAN,22,3,15,1,11,1,7,1
BORDEAUX,MICHEL MONTAIGNE,88,17,49,7,39,4,13,2
PAU,LOUIS BARTHOU,15,1,7,1,6,1,1,0
CAEN,MALHERBE,66,14,22,4,20,3,11,1
CHERBOURG,VICTOR GRIGNARD,20,3,8,0,6,0,4,0
CLERMONT-FERRAND,BLAISE PASCAL,58,13,42,10,37,6,15,4
CLERMONT-FERRAND,LA FAYETTE,7,0,4,0,4,0,3,0
DIJON,CARNOT,71,12,38,4,35,4,17,1
ANNECY,BERTHOLLET,33,6,16,0,13,0,4,0
GRENOBLE,CHAMPOLLION,60,14,41,9,35,7,14,1
LA TRONCHE,ITEC- BOISFLEURY,4,1,1,0,1,0,0,0
VALENCE,CAMILLE VERNET,12,1,3,0,2,0,2,0
ARRAS,ROBESPIERRE,4,1,1,1,1,1,0,0
BOULOGNE SUR MER,MARIETTE,7,3,3,1,3,1,0,0
DOUAI,A. CHATELET,3,0,0,0,0,0,0,0
DUNKERQUE,JEAN BART,11,2,3,0,3,0,1,0
LENS,CONDORCET,1,0,0,0,0,0,0,0
LILLE,FAIDHERBE,88,22,47,14,40,9,22,4
MAUBEUGE,NOTRE DAME DE GRACE,2,0,2,0,0,0,0,0
VALENCIENNES,HENRI WALLON,69,13,31,4,23,2,7,0
LIMOGES,GAY LUSSAC,11,2,2,1,2,1,1,0
BOURG EN BRESSE,LALANDE,4,1,1,0,1,0,1,0
LYON,AUX LAZARISTES,25,1,7,0,7,0,4,0
