ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,PAUL CEZANNE,1,0,0,0,0,0,0,0
BLOIS,F. PH. DESSAIGNES,1,1,0,0,0,0,0,0
MARSEILLE,THIERS,54,17,11,1,7,1,3,0
AMIENS,THUILLIER,4,0,0,0,0,0,0,0
BESANCON,VICTOR HUGO,20,5,3,0,1,0,0,0
BORDEAUX,CAMILLE JULLIAN,1,0,0,0,0,0,0,0
BORDEAUX,MICHEL MONTAIGNE,27,3,5,1,5,1,2,0
CAEN,MALHERBE,5,2,0,0,0,0,0,0
CLERMONT-FERRAND,BLAISE PASCAL,19,5,1,1,1,1,1,1
DIJON,CARNOT,12,2,6,1,5,1,4,1
ANNECY,BERTHOLLET,11,1,5,1,5,1,4,1
GRENOBLE,CHAMPOLLION,23,4,9,1,6,1,2,0
LA TRONCHE,ITEC- BOISFLEURY,2,1,0,0,0,0,0,0
VALENCE,CAMILLE VERNET,6,0,0,0,0,0,0,0
ARRAS,ROBESPIERRE,2,1,0,0,0,0,0,0
BOULOGNE SUR MER,MARIETTE,1,0,0,0,0,0,0,0
DOUAI,A. CHATELET,1,0,0,0,0,0,0,0
DUNKERQUE,JEAN BART,3,2,0,0,0,0,0,0
LILLE,FAIDHERBE,26,11,7,2,6,2,1,1
VALENCIENNES,HENRI WALLON,14,5,0,0,0,0,0,0
LYON,AUX LAZARISTES,15,0,1,0,1,0,1,0
LYON,DU PARC,50,7,19,1,16,1,11,0
LYON,LA MARTINIERE,21,4,5,0,4,0,2,0
SAINT-ETIENNE,FAURIEL,19,5,0,0,0,0,0,0
MONTPELLIER,JOFFRE,25,6,1,0,0,0,0,0
NIMES,ALPHONSE DAUDET,3,2,0,0,0,0,0,0
PERPIGNAN,F. ARAGO,1,0,0,0,0,0,0,0
EPINAL,C. GELLEE,4,0,2,0,1,0,1,0
METZ,FABERT,10,2,2,0,1,0,0,0
NANCY,HENRI POINCARE,16,3,5,0,2,0,2,0
LA FLECHE,PRYTANEE MILITAIRE,7,0,3,0,3,0,1,0
NANTES,GEORGES CLEMENCEAU,18,1,8,0,6,0,4,0
NANTES,SAINT STANISLAS,1,0,0,0,0,0,0,0
NICE,MASSENA,28,8,6,1,5,0,3,0
TOULON,DUMONT D'URVILLE,4,1,0,0,0,0,0,0
VALBONNE,CENTRE INTERNATIONAL,1,0,0,0,0,0,0,0
BOURGES,ALAIN FOURNIER,4,2,0,0,0,0,0,0
CHARTRES,MARCEAU,4,1,0,0,0,0,0,0
ORLEANS,POTHIER,24,6,6,1,3,0,1,0
TOURS,DESCARTES,16,1,4,0,2,0,2,0
ANTONY,SAINTE MARIE,1,0,0,0,0,0,0,0
ENGHIEN LES BAINS,GUSTAVE MONOD,2,1,0,0,0,0,0,0
FONTAINEBLEAU,FRANCOIS 1ER,3,1,0,0,0,0,0,0
LE RAINCY,ALBERT SCHWEITZER,6,0,0,0,0,0,0,0
MELUN,JACQUES AMYOT,8,1,0,0,0,0,0,0
NEUILLY SUR SEINE,PASTEUR,15,6,1,0,1,0,0,0
ORSAY,BLAISE PASCAL,14,2,5,0,4,0,2,0
PARIS 04,CHARLEMAGNE,26,5,9,1,9,1,7,1
PARIS 05,HENRI IV,57,10,22,2,20,2,5,0
PARIS 05,LOUIS LE GRAND,108,24,31,7,29,7,10,1
PARIS 06,STANISLAS,8,1,1,0,1,0,0,0
PARIS 06,FENELON,24,3,8,1,5,0,4,0
PARIS 06,SAINT LOUIS,88,25,19,6,14,4,7,2
PARIS 08,CHAPTAL,10,1,4,1,2,1,2,1
PARIS 08,SAINTE MARIE FENELON,17,2,3,0,2,0,0,0
PARIS 09,CONDORCET,22,2,5,0,3,0,1,0
PARIS 09,JACQUES DECOUR,9,1,0,0,0,0,0,0
PARIS 13,ENSCPB,2,1,0,0,0,0,0,0
PARIS 15,BUFFON,9,2,0,0,0,0,0,0
PARIS 15,OURANIA,1,0,0,0,0,0,0,0
PARIS 16,JANSON DE SAILLY,27,1,5,0,4,0,2,0
PONTOISE,PISSARO,2,1,0,0,0,0,0,0
SAVIGNY SUR ORGE,J. B. COROT,1,0,0,0,0,0,0,0
SCEAUX,LAKANAL,8,1,0,0,0,0,0,0
ST MAUR DES FOS.,MARCELIN BERTHELOT,23,3,9,1,8,1,2,0
VANVES,MICHELET,5,1,1,0,1,0,0,0
VERSAILLES,SAINTE GENEVIEVE,24,2,9,0,8,0,4,0
VERSAILLES,HOCHE,13,1,7,0,7,0,5,0
LA ROCHELLE,J. DAUTET,2,0,0,0,0,0,0,0
POITIERS,CAMILLE GUERIN,8,2,3,0,2,0,1,0
REIMS,G. CLEMENCEAU,13,6,2,0,2,0,1,0
TROYES,CHRESTIEN DE TROYES,2,0,0,0,0,0,0,0
BREST,KERICHEN,4,0,4,0,2,0,2,0
BREST,NAVAL,3,0,0,0,0,0,0,0
LORIENT,DUPUY DE LOME,1,0,0,0,0,0,0,0
RENNES,CHATEAUBRIAND,12,2,4,0,3,0,2,0
VANNES,LESAGE,10,4,0,0,0,0,0,0
LE HAVRE,FRANCOIS 1ER,2,0,0,0,0,0,0,0
ROUEN,CORNEILLE,20,7,6,0,4,0,2,0
MULHOUSE,A. SCHWEITZER,6,0,2,0,2,0,0,0
STRASBOURG,FUSTEL DE COULANGES,3,0,0,0,0,0,0,0
STRASBOURG,KLEBER,14,4,5,0,3,0,2,0
TOULOUSE,BELLEVUE,11,4,4,1,3,1,2,1
TOULOUSE,PIERRE DE FERMAT,42,8,22,0,20,0,13,0
CLERMONT-FERR.,GODEFROY DE BOUILLON,2,0,0,0,0,0,0,0
ST CYR L'ECOLE,LYCEE MILITAIRE,3,0,0,0,0,0,0,0
MONTPELLIER,LA MERCI,1,0,0,0,0,0,0,0
,SPE. MAROCAINE,1,0,0,0,0,0,0,0
MARSEILLE,NOTRE DAME DE SION,1,1,0,0,0,0,0,0
LYON,JEAN PERRIN,1,1,0,0,0,0,0,0
ANGOULEME,GUEZ DE BALZAC,1,1,0,0,0,0,0,0
EVRY,DU PARC DES LOGES,1,0,0,0,0,0,0,0
JARVILLE,LA MALGRANGE,2,0,0,0,0,0,0,0
AUTUN,LYCEE MILITAIRE,7,0,0,0,0,0,0,0
PARIS,URANIE,1,0,0,0,0,0,0,0
TUNIS,IPEST,5,1,1,1,0,0,0,0
BRESSUIRE,SAINT JOSEPH,3,1,0,0,0,0,0,0
SAINTE CLOTILDE,LECONTE DE LISLE,7,1,0,0,0,0,0,0
FORT DE FRANCE,DE BELLEVUE,1,0,0,0,0,0,0,0
POINTE A PITRE,BAIMBRIDGE,6,1,0,0,0,0,0,0
