ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,PAUL CEZANNE,80,36,71,30,64,29,32,17
MARSEILLE,THIERS,78,20,67,16,56,14,17,5
SALON DE PROVENCE,L'EMPERI,39,13,15,5,9,4,7,3
AMIENS,THUILLIER,43,12,26,10,19,7,11,3
COMPIEGNE,PIERRE D'AILLY,19,3,9,1,5,1,3,0
BELFORT,CONDORCET,16,7,9,3,8,3,8,3
BESANCON,VICTOR HUGO,65,18,55,17,51,16,27,10
BAYONNE,RENE CASSIN,30,7,25,6,24,6,10,5
BORDEAUX,CAMILLE JULLIAN,30,15,18,7,17,7,9,3
BORDEAUX,MICHEL MONTAIGNE,60,20,58,18,52,18,21,9
PAU,LOUIS BARTHOU,51,16,45,13,42,12,24,8
CAEN,VICTOR HUGO,53,14,45,12,44,12,26,8
CLERMONT-FERRAND,BLAISE PASCAL,68,23,64,22,62,21,33,17
DIJON,CARNOT,60,16,39,10,26,8,15,6
ANNECY,BERTHOLLET,48,16,42,13,37,10,24,5
GRENOBLE,CHAMPOLLION,68,23,60,23,52,22,24,10
LA TRONCHE,ITEC- BOISFLEURY,9,2,7,1,6,1,6,1
VALENCE,CAMILLE VERNET,28,8,24,6,20,6,8,4
ARRAS,ROBESPIERRE,14,6,9,4,5,2,1,1
DOUAI,A. CHATELET,20,11,17,9,14,8,5,4
DUNKERQUE,JEAN BART,23,5,16,3,12,1,6,0
LENS,CONDORCET,21,5,5,0,3,0,0,0
LILLE,FAIDHERBE,53,12,45,11,37,10,12,2
TOURCOING,GAMBETTA,21,3,5,1,2,1,2,1
VALENCIENNES,HENRI WALLON,88,30,80,26,59,24,24,15
LIMOGES,GAY LUSSAC,44,11,39,10,37,10,17,4
BOURG EN BRESSE,LALANDE,19,6,10,3,7,2,5,1
LYON,AUX LAZARISTES,23,7,22,7,19,7,3,2
LYON,DU PARC,96,22,89,22,74,19,10,4
LYON,INSTITUT DES CHARTRX,1,0,0,0,0,0,0,0
LYON,LA MARTINIERE,54,23,51,21,47,20,31,12
SAINT-ETIENNE,FAURIEL,51,16,42,15,36,13,18,7
MONTPELLIER,JOFFRE,75,33,68,31,62,29,37,17
NIMES,ALPHONSE DAUDET,20,10,5,2,2,0,2,0
PERPIGNAN,F. ARAGO,19,8,8,4,8,4,3,1
METZ,FABERT,57,17,50,14,42,14,21,7
NANCY,HENRI POINCARE,79,25,64,23,53,21,26,9
ANGERS,HENRI BERGSON,23,10,17,7,17,7,13,6
