ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,PAUL CEZANNE,59,21,29,10,26,9,6,3
MARSEILLE,THIERS,68,13,35,5,30,5,11,1
SALON DE PROVENCE,L'EMPERI,3,1,0,0,0,0,0,0
AMIENS,THUILLIER,22,8,0,0,0,0,0,0
COMPIEGNE,PIERRE D'AILLY,2,0,0,0,0,0,0,0
BELFORT,CONDORCET,2,1,0,0,0,0,0,0
BESANCON,VICTOR HUGO,29,6,4,0,4,0,2,0
BAYONNE,RENE CASSIN,17,3,6,0,6,0,3,0
BORDEAUX,CAMILLE JULLIAN,17,7,0,0,0,0,0,0
BORDEAUX,MICHEL MONTAIGNE,54,15,16,1,10,0,1,0
PAU,LOUIS BARTHOU,38,9,14,4,12,2,4,0
CAEN,VICTOR HUGO,46,12,2,0,2,0,2,0
CLERMONT-FERRAND,BLAISE PASCAL,51,13,5,0,5,0,0,0
DIJON,CARNOT,31,4,4,0,3,0,1,0
ANNECY,BERTHOLLET,29,6,6,1,5,0,2,0
GRENOBLE,CHAMPOLLION,59,17,29,7,26,7,10,3
LA TRONCHE,ITEC- BOISFLEURY,4,1,0,0,0,0,0,0
VALENCE,CAMILLE VERNET,7,1,0,0,0,0,0,0
ARRAS,ROBESPIERRE,7,4,1,0,1,0,1,0
DOUAI,A. CHATELET,11,5,3,1,1,0,1,0
DUNKERQUE,JEAN BART,13,1,3,0,2,0,0,0
LENS,CONDORCET,1,0,0,0,0,0,0,0
LILLE,FAIDHERBE,51,12,13,4,12,4,6,1
TOURCOING,GAMBETTA,12,2,0,0,0,0,0,0
VALENCIENNES,HENRI WALLON,64,16,19,6,18,6,4,3
LIMOGES,GAY LUSSAC,25,4,7,1,4,1,0,0
BOURG EN BRESSE,LALANDE,6,3,0,0,0,0,0,0
LYON,AUX LAZARISTES,28,7,19,4,17,3,5,2
LYON,DU PARC,106,22,74,14,62,12,24,2
LYON,INSTITUT DES CHARTRX,1,0,0,0,0,0,0,0
LYON,LA MARTINIERE,43,18,17,7,17,7,6,3
SAINT-ETIENNE,FAURIEL,31,12,8,1,8,1,1,1
MONTPELLIER,JOFFRE,61,24,12,4,9,4,2,0
NIMES,ALPHONSE DAUDET,2,0,0,0,0,0,0,0
PERPIGNAN,F. ARAGO,3,1,0,0,0,0,0,0
METZ,FABERT,49,13,24,6,21,5,12,2
NANCY,HENRI POINCARE,57,14,17,5,16,5,4,2
ANGERS,HENRI BERGSON,2,0,2,0,2,0,1,0
LA ROCHE SUR YON,SAINT JOSEPH,4,0,0,0,0,0,0,0
LE MANS,MONTESQUIEU,39,6,21,4,21,4,12,2
NANTES,GEORGES CLEMENCEAU,63,23,13,3,12,3,4,0
NANTES,SAINT STANISLAS,9,0,0,0,0,0,0,0
