ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,PAUL CEZANNE,20,9,3,1,0,0,0,0
MARSEILLE,THIERS,19,4,8,1,3,1,0,0
SALON DE PROVENCE,L'EMPERI,3,2,0,0,0,0,0,0
AMIENS,THUILLIER,4,1,0,0,0,0,0,0
COMPIEGNE,PIERRE D'AILLY,1,0,0,0,0,0,0,0
BELFORT,CONDORCET,1,0,0,0,0,0,0,0
BESANCON,VICTOR HUGO,10,1,0,0,0,0,0,0
BAYONNE,RENE CASSIN,9,1,2,0,0,0,0,0
BORDEAUX,CAMILLE JULLIAN,2,0,0,0,0,0,0,0
BORDEAUX,MICHEL MONTAIGNE,26,8,5,3,4,2,4,2
PAU,LOUIS BARTHOU,5,1,1,0,1,0,0,0
CAEN,VICTOR HUGO,1,1,0,0,0,0,0,0
CLERMONT-FERRAND,BLAISE PASCAL,13,3,5,0,5,0,4,0
DIJON,CARNOT,15,1,1,0,1,0,0,0
ANNECY,BERTHOLLET,8,5,1,1,1,1,1,1
GRENOBLE,CHAMPOLLION,27,6,2,0,2,0,1,0
ARRAS,ROBESPIERRE,1,0,0,0,0,0,0,0
DOUAI,A. CHATELET,5,3,0,0,0,0,0,0
DUNKERQUE,JEAN BART,2,0,1,0,1,0,1,0
LILLE,FAIDHERBE,22,6,6,2,1,1,0,0
TOURCOING,GAMBETTA,2,0,0,0,0,0,0,0
VALENCIENNES,HENRI WALLON,10,2,2,1,1,1,1,1
LIMOGES,GAY LUSSAC,18,2,4,0,2,0,2,0
BOURG EN BRESSE,LALANDE,4,1,0,0,0,0,0,0
LYON,AUX LAZARISTES,17,6,6,2,2,0,1,0
LYON,DU PARC,34,5,15,1,13,1,7,0
LYON,LA MARTINIERE,22,12,1,0,1,0,0,0
SAINT-ETIENNE,FAURIEL,10,3,1,0,1,0,1,0
MONTPELLIER,JOFFRE,29,15,7,2,4,2,1,1
NIMES,ALPHONSE DAUDET,2,1,0,0,0,0,0,0
METZ,FABERT,10,3,2,1,2,1,0,0
NANCY,HENRI POINCARE,18,8,7,4,5,3,3,2
LE MANS,MONTESQUIEU,7,0,5,0,2,0,2,0
NANTES,GEORGES CLEMENCEAU,22,8,10,2,6,0,3,0
NICE,MASSENA,7,3,3,1,3,1,2,0
TOULON,DUMONT D'URVILLE,10,8,0,0,0,0,0,0
VALBONNE,CENTRE INTERNATIONAL,8,5,0,0,0,0,0,0
BOURGES,ALAIN FOURNIER,2,2,0,0,0,0,0,0
CHARTRES,MARCEAU,1,1,0,0,0,0,0,0
ORLEANS,POTHIER,4,0,2,0,1,0,1,0
TOURS,DESCARTES,5,2,1,0,1,0,1,0
ANTONY,SAINTE MARIE,3,0,0,0,0,0,0,0
ENGHIEN LES BAINS,GUSTAVE MONOD,1,0,0,0,0,0,0,0
LE RAINCY,ALBERT SCHWEITZER,1,1,1,1,0,0,0,0
MELUN,JACQUES AMYOT,1,1,0,0,0,0,0,0
NEUILLY SUR SEINE,PASTEUR,6,2,0,0,0,0,0,0
ORSAY,BLAISE PASCAL,2,1,1,0,1,0,0,0
PARIS 03,TURGOT,6,3,0,0,0,0,0,0
PARIS 04,CHARLEMAGNE,24,5,3,1,1,1,1,1
PARIS 05,HENRI IV,29,4,13,0,9,0,2,0
PARIS 05,LAVOISIER,7,2,0,0,0,0,0,0
PARIS 05,LOUIS LE GRAND,103,32,39,11,28,8,6,1
PARIS 06,STANISLAS,5,0,0,0,0,0,0,0
PARIS 06,FENELON,25,8,5,2,2,0,0,0
PARIS 06,SAINT LOUIS,92,35,21,7,17,6,6,3
PARIS 08,CHAPTAL,21,6,6,1,5,1,3,0
PARIS 08,SAINTE MARIE FENELON,4,0,0,0,0,0,0,0
PARIS 09,CONDORCET,2,0,0,0,0,0,0,0
PARIS 09,JACQUES DECOUR,10,2,1,1,0,0,0,0
