ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,PAUL CEZANNE,16,6,2,0,2,0,2,0
MARSEILLE,THIERS,35,6,15,4,12,3,6,3
SALON DE PROVENCE,L'EMPERI,2,1,0,0,0,0,0,0
AMIENS,THUILLIER,4,0,0,0,0,0,0,0
BESANCON,VICTOR HUGO,12,1,1,0,0,0,0,0
BAYONNE,RENE CASSIN,4,0,2,0,1,0,0,0
BORDEAUX,CAMILLE JULLIAN,3,0,0,0,0,0,0,0
BORDEAUX,MICHEL MONTAIGNE,29,9,6,2,4,1,1,0
PAU,LOUIS BARTHOU,6,0,2,0,2,0,2,0
CAEN,VICTOR HUGO,1,1,0,0,0,0,0,0
CLERMONT-FERRAND,BLAISE PASCAL,16,2,3,0,3,0,1,0
DIJON,CARNOT,14,2,2,0,2,0,2,0
ANNECY,BERTHOLLET,11,4,1,1,1,1,0,0
GRENOBLE,CHAMPOLLION,19,1,8,0,7,0,3,0
DUNKERQUE,JEAN BART,2,0,1,0,0,0,0,0
LILLE,FAIDHERBE,20,6,3,0,2,0,0,0
TOURCOING,GAMBETTA,3,0,0,0,0,0,0,0
VALENCIENNES,HENRI WALLON,22,4,3,1,2,0,2,0
LIMOGES,GAY LUSSAC,5,1,0,0,0,0,0,0
LYON,AUX LAZARISTES,18,6,7,2,6,2,3,1
LYON,DU PARC,71,13,35,3,33,3,14,2
LYON,LA MARTINIERE,25,10,3,1,3,1,1,0
SAINT-ETIENNE,FAURIEL,3,0,3,0,3,0,0,0
MONTPELLIER,JOFFRE,25,10,6,1,6,1,3,0
METZ,FABERT,28,10,6,2,6,2,2,1
NANCY,HENRI POINCARE,23,10,9,3,8,3,4,1
ANGERS,HENRI BERGSON,1,1,0,0,0,0,0,0
LE MANS,MONTESQUIEU,11,2,5,1,5,1,3,1
NANTES,GEORGES CLEMENCEAU,22,7,5,2,4,2,3,2
NANTES,SAINT STANISLAS,1,0,0,0,0,0,0,0
NICE,MASSENA,20,6,8,2,8,2,3,1
TOULON,DUMONT D'URVILLE,4,1,0,0,0,0,0,0
VALBONNE,CENTRE INTERNATIONAL,2,0,0,0,0,0,0,0
BOURGES,ALAIN FOURNIER,1,1,0,0,0,0,0,0
ORLEANS,POTHIER,8,2,3,1,2,1,0,0
TOURS,DESCARTES,12,2,1,0,1,0,0,0
ENGHIEN LES BAINS,GUSTAVE MONOD,2,1,0,0,0,0,0,0
FONTAINEBLEAU,FRANCOIS 1ER,1,0,0,0,0,0,0,0
NEUILLY SUR SEINE,PASTEUR,32,8,7,2,7,2,3,1
ORSAY,BLAISE PASCAL,18,5,4,0,4,0,3,0
PARIS 03,TURGOT,1,1,0,0,0,0,0,0
PARIS 04,CHARLEMAGNE,35,14,3,0,3,0,1,0
PARIS 05,HENRI IV,46,7,24,3,23,3,14,1
PARIS 05,LAVOISIER,7,0,0,0,0,0,0,0
PARIS 05,LOUIS LE GRAND,113,37,58,16,53,15,36,11
PARIS 06,STANISLAS,27,6,10,2,9,2,4,2
PARIS 06,FENELON,30,10,4,0,4,0,2,0
PARIS 06,SAINT LOUIS,131,45,43,11,38,11,24,7
PARIS 08,CHAPTAL,29,10,5,0,3,0,1,0
PARIS 08,SAINTE MARIE FENELON,9,1,0,0,0,0,0,0
PARIS 09,CONDORCET,1,0,0,0,0,0,0,0
PARIS 09,JACQUES DECOUR,28,3,1,0,1,0,0,0
PARIS 13,ENSCPB,3,0,1,0,1,0,1,0
PARIS 15,BUFFON,10,1,0,0,0,0,0,0
PARIS 15,OURANIA,6,0,0,0,0,0,0,0
PARIS 16,JANSON DE SAILLY,39,8,10,0,7,0,2,0
PARIS 17,HONORE DE BALZAC,2,0,0,0,0,0,0,0
SAVIGNY SUR ORGE,J. B. COROT,3,0,0,0,0,0,0,0
SCEAUX,LAKANAL,29,5,11,4,10,4,4,2
ST MAUR DES FOS.,MARCELIN BERTHELOT,29,10,6,3,6,3,3,1
VANVES,MICHELET,2,1,0,0,0,0,0,0
VERSAILLES,SAINTE GENEVIEVE,110,29,76,18,70,16,53,13
VERSAILLES,HOCHE,50,13,23,6,21,6,11,4
POITIERS,CAMILLE GUERIN,9,1,1,0,1,0,0,0
REIMS,FRANKLIN ROOSEVELT,10,3,0,0,0,0,0,0
RENNES,CHATEAUBRIAND,34,9,10,4,8,3,5,2
SAINT-BRIEUC,RABELAIS,1,0,1,0,1,0,1,0
LE HAVRE,FRANCOIS 1ER,1,0,0,0,0,0,0,0
ROUEN,CORNEILLE,32,11,5,0,3,0,2,0
STRASBOURG,FUSTEL DE COULANGES,3,0,0,0,0,0,0,0
STRASBOURG,KLEBER,31,8,2,0,2,0,2,0
TOULOUSE,BELLEVUE,18,0,4,0,4,0,1,0
TOULOUSE,DEODAT DE SEVERAC,5,0,1,0,0,0,0,0
BALMA,SALIEGE,27,6,8,0,5,0,1,0
TOULOUSE,PIERRE DE FERMAT,43,5,28,4,25,4,15,1
MONTBONNOT,PUPILLES DE L'AIR,2,0,0,0,0,0,0,0
CAEN,SAINTE MARIE,1,0,0,0,0,0,0,0
AVIGNON,SAINT JOSEPH,1,0,0,0,0,0,0,0
PARIS 04,IPESUP,12,6,4,1,3,1,2,1
TUNIS,IPEST,11,3,2,0,2,0,0,0
QUIMPER,LYCEE BRIZEUX,1,0,0,0,0,0,0,0
CASABLANCA,ENS DE CASABLANCA,1,0,0,0,0,0,0,0
MARRAKECH,ENS DE MARRAKECH,1,0,0,0,0,0,0,0
FES,ENS DE FES,2,0,0,0,0,0,0,0
RABAT,ENS de TAKADOUM,1,0,0,0,0,0,0,0
