ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,VAUVENARGUES,32,5,18,4,16,3,11,2
AVIGNON,FREDERIC MISTRAL,18,3,7,1,6,1,4,1
MARSEILLE,ANTONIN ARTAUD,1,0,0,0,0,0,0,0
MARSEILLE,JEAN PERRIN,37,8,25,5,22,5,9,4
MARSEILLE,THIERS,37,6,34,6,30,6,6,0
AMIENS,THUILLIER,25,5,10,3,10,3,6,1
BELFORT,CONDORCET,26,4,13,2,12,1,9,1
BESANCON,VICTOR HUGO,43,12,27,7,26,7,14,5
BORDEAUX,GUSTAVE EIFFEL,61,10,48,7,41,5,16,1
BORDEAUX,MICHEL MONTAIGNE,64,14,61,12,53,11,18,3
PAU,LOUIS BARTHOU,32,3,23,2,21,2,11,1
CAEN,VICTOR HUGO,33,5,26,5,21,5,11,3
CLERMONT-FERRAND,BLAISE PASCAL,44,9,40,8,37,8,10,2
CLERMONT-FERRAND,LA FAYETTE,35,4,28,3,23,3,10,3
AUXERRE,JACQUES AMYOT,18,2,4,1,3,1,2,1
DIJON,CARNOT,33,3,23,1,20,0,6,0
DIJON,GUSTAVE EIFFEL,33,3,14,2,10,2,6,1
ANNECY,BERTHOLLET,19,4,16,3,14,2,7,1
GRENOBLE,CHAMPOLLION,73,7,59,6,52,6,18,2
ARRAS,ROBESPIERRE,30,5,6,0,4,0,2,0
DOUAI,A. CHATELET,34,4,23,3,20,3,6,1
DUNKERQUE,JEAN BART,19,1,11,0,5,0,3,0
LILLE,CESAR BAGGIO,70,12,29,7,19,5,7,1
LILLE,FAIDHERBE,36,11,33,11,32,11,4,1
VALENCIENNES,HENRI WALLON,35,5,25,4,22,4,6,2
LIMOGES,GAY LUSSAC,45,11,28,7,23,5,14,2
LYON,AUX LAZARISTES,17,0,16,0,8,0,1,0
LYON,DU PARC,37,5,36,5,30,5,5,1
LYON,INSTITUT DES CHARTRX,1,0,1,0,1,0,1,0
LYON,LA MARTINIERE,74,12,60,9,57,9,33,4
SAINT-ETIENNE,E. MIMARD,39,8,31,7,31,7,15,2
MONTPELLIER,JOFFRE,70,13,62,13,50,11,22,6
NIMES,ALPHONSE DAUDET,34,3,19,1,13,1,8,1
PERPIGNAN,F. ARAGO,34,5,19,2,13,1,5,1
METZ,FABERT,45,3,40,2,37,1,7,0
NANCY,LORITZ,73,13,50,9,43,8,27,4
ANGERS,HENRI BERGSON,19,1,15,1,14,1,7,1
LA FLECHE,PRYTANEE MILITAIRE,28,5,18,1,15,1,10,1
LE MANS,MONTESQUIEU,32,4,18,1,15,1,6,0
NANTES,GEORGES CLEMENCEAU,93,18,91,17,82,15,24,4
NICE,LES EUCALYPTUS,25,4,7,1,3,1,0,0
NICE,MASSENA,42,16,37,14,33,12,13,6
TOULON,DUMONT D'URVILLE,32,9,21,6,18,4,8,2
VALBONNE,CENTRE INTERNATIONAL,33,10,27,7,24,7,10,4
ORLEANS,POTHIER,82,12,70,10,63,10,31,6
TOURS,VAUCANSON,27,4,17,3,14,2,8,1
TOURS,DESCARTES,26,6,26,6,24,6,3,0
VIERZON,HENRI BRISSON,17,2,10,2,7,0,2,0
CHAMPAGNE SUR SEINE,LA FAYETTE,27,1,11,0,10,0,4,0
LE RAINCY,ALBERT SCHWEITZER,22,1,12,0,10,0,5,0
MEAUX,LPEM.HENRI MOISSAN,21,1,12,1,9,1,4,0
ORSAY,BLAISE PASCAL,41,15,39,15,36,14,13,4
PARIS 05,LOUIS LE GRAND,18,7,18,7,13,7,0,0
PARIS 06,STANISLAS,38,4,38,4,23,1,2,0
PARIS 06,SAINT LOUIS,102,19,94,17,82,15,18,3
PARIS 08,CHAPTAL,81,12,69,10,61,9,19,3
PARIS 08,SAINTE MARIE FENELON,36,7,32,7,26,6,4,0
PARIS 09,CONDORCET,34,7,28,7,25,7,5,2
PARIS 09,JACQUES DECOUR,84,13,63,12,52,9,14,0
PARIS 12,PAUL VALERY,40,5,19,3,13,1,4,0
PARIS 13,ENSCPB,39,9,23,3,23,3,4,0
PARIS 14,RASPAIL,33,9,18,5,17,5,7,2
PARIS 15,BUFFON,47,10,33,6,31,6,8,3
PARIS 16,CLAUDE BERNARD,36,6,17,1,14,0,4,0
PARIS 16,JANSON DE SAILLY,83,11,71,10,62,8,9,1
PARIS 16,JEAN BAPTISTE SAY,33,6,29,4,20,4,1,1
SAINT-DENIS,PAUL ELUARD,13,3,3,0,1,0,1,0
SCEAUX,LAKANAL,27,7,26,7,20,6,2,1
ST GERMAIN EN LAYE,JEANNE D'ALBRET,20,4,11,2,11,2,4,1
ST MAUR DES FOS.,MARCELIN BERTHELOT,35,5,35,5,25,4,0,0
VANVES,MICHELET,30,6,25,4,21,2,7,1
VERSAILLES,SAINTE GENEVIEVE,42,7,41,7,20,4,2,0
VERSAILLES,HOCHE,34,9,34,9,30,7,2,2
VERSAILLES,JULES FERRY,22,3,17,2,14,1,4,0
LA ROCHELLE,J. DAUTET,23,3,13,2,10,2,6,0
POITIERS,CAMILLE GUERIN,25,5,21,5,18,5,11,4
REIMS,FRANKLIN ROOSEVELT,91,11,52,5,47,5,20,1
TROYES,CHRESTIEN DE TROYES,17,6,7,4,6,3,2,0
BREST,LA CROIX ROUGE,1,0,0,0,0,0,0,0
BREST,VAUBAN,46,9,36,4,35,4,15,3
BREST,NAVAL,27,0,16,0,8,0,5,0
BREST,SAINTE ANNE,14,0,6,0,6,0,4,0
LORIENT,DUPUY DE LOME,24,4,12,2,11,2,9,2
RENNES,CHATEAUBRIAND,66,12,62,11,52,11,23,8
RENNES,JOLIOT CURIE,35,7,27,6,25,6,13,3
SAINT-BRIEUC,RABELAIS,31,5,16,3,13,3,7,2
EVREUX,ARISTIDE BRIAND,32,7,15,3,7,1,6,1
ROUEN,CORNEILLE,39,7,34,6,28,6,5,3
MULHOUSE,A. SCHWEITZER,30,5,6,2,5,2,1,1
STRASBOURG,COUFFIGNAL,24,2,12,1,12,1,7,1
STRASBOURG,KLEBER,57,7,56,6,47,6,16,4
TOULOUSE,BELLEVUE,38,7,32,5,29,5,18,3
TOULOUSE,DEODAT DE SEVERAC,41,5,31,2,28,2,13,0
BALMA,SALIEGE,29,5,22,5,21,5,5,3
TOULOUSE,PIERRE DE FERMAT,46,7,44,7,35,6,3,0
MONTBONNOT,PUPILLES DE L'AIR,23,2,20,2,11,0,3,0
CAEN,SAINTE MARIE,9,1,1,0,1,0,1,0
ST CYR L'ECOLE,LYCEE MILITAIRE,34,2,18,0,16,0,11,0
RENNES,ASSOMPTION,10,1,3,0,2,0,1,0
STRASBOURG,ORT FRANCE,19,2,13,1,11,1,4,0
LYON,JEAN PERRIN,22,2,11,1,6,1,2,0
CHAMBERY,VAUGELAS,24,9,9,4,9,4,3,2
ANGERS,CHARLES DE FOUCAULD,29,5,22,2,16,2,9,0
AIX-EN-PROVENCE,LYCEE MILITAIRE,32,6,18,4,16,4,10,1
SAINT MAUR LES FOSSES,D'ARSONVAL,35,8,19,4,17,4,4,2
PARIS,URANIE,2,0,1,0,1,0,1,0
AJACCIO,LAETITIA BONAPARTE,3,2,2,1,1,1,0,0
NOUMEA,JULES GARNIER,7,4,6,3,4,3,2,2
QUIMPER,LYCEE BRIZEUX,33,11,16,5,14,5,5,1
SAINTE CLOTILDE,LECONTE DE LISLE,19,8,10,4,9,4,5,2
FORT DE FRANCE,DE BELLEVUE,16,7,1,0,1,0,0,0
POINTE A PITRE,BAIMBRIDGE,18,7,3,0,2,0,1,0
