ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,PAUL CEZANNE,26,10,18,7,15,7,9,3
BLOIS,F. PH. DESSAIGNES,21,4,7,1,3,0,1,0
MARSEILLE,THIERS,99,31,92,28,75,26,19,6
AMIENS,THUILLIER,58,16,31,8,21,5,11,3
COMPIEGNE,PIERRE D'AILLY,24,6,10,2,5,1,2,1
BESANCON,VICTOR HUGO,68,27,59,24,46,19,17,6
BORDEAUX,CAMILLE JULLIAN,30,12,26,10,18,7,9,4
BORDEAUX,MICHEL MONTAIGNE,98,23,85,17,73,11,23,7
PAU,LOUIS BARTHOU,31,12,28,12,25,11,17,6
CAEN,MALHERBE,101,24,77,22,67,18,30,11
CHERBOURG,VICTOR GRIGNARD,23,7,18,5,17,5,14,4
CLERMONT-FERRAND,BLAISE PASCAL,58,13,51,11,47,10,12,3
CLERMONT-FERRAND,LA FAYETTE,20,2,15,2,7,0,5,0
DIJON,CARNOT,95,20,83,17,70,14,35,8
ANNECY,BERTHOLLET,58,19,43,12,39,11,13,3
GRENOBLE,CHAMPOLLION,67,18,64,17,54,16,22,5
LA TRONCHE,ITEC- BOISFLEURY,14,2,7,2,5,1,3,1
VALENCE,CAMILLE VERNET,29,5,24,3,17,2,14,2
ARRAS,ROBESPIERRE,37,11,10,3,7,2,3,1
BOULOGNE SUR MER,MARIETTE,21,5,8,0,7,0,5,0
DOUAI,A. CHATELET,16,4,5,1,4,1,2,1
DUNKERQUE,JEAN BART,12,6,6,3,4,1,0,0
LENS,CONDORCET,21,9,4,3,1,1,1,1
LILLE,FAIDHERBE,88,25,73,20,58,15,15,3
MAUBEUGE,NOTRE DAME DE GRACE,14,3,0,0,0,0,0,0
VALENCIENNES,HENRI WALLON,87,19,66,13,52,10,16,4
LIMOGES,GAY LUSSAC,29,10,23,8,20,7,10,5
BOURG EN BRESSE,LALANDE,24,7,12,2,7,1,1,0
LYON,AUX LAZARISTES,39,8,38,8,33,7,8,2
BITCHE,SAINT AUGUSTIN,1,1,0,0,0,0,0,0
LYON,LE PARC,113,30,107,29,87,26,17,6
LYON,INSTITUT DES CHARTRX,18,5,12,3,7,2,4,1
LYON,LA MARTINIERE,70,23,63,20,51,17,20,10
SAINT-ETIENNE,FAURIEL,58,15,47,11,39,10,20,7
MONTPELLIER,JOFFRE,70,18,53,9,37,7,10,2
NIMES,ALPHONSE DAUDET,31,8,20,6,15,4,7,1
PERPIGNAN,F. ARAGO,20,6,8,1,6,1,4,1
EPINAL,C. GELLEE,21,6,10,2,7,1,3,1
FORBACH,JEAN MOULIN,25,6,13,3,10,3,4,1
METZ,FABERT,64,15,56,12,43,10,17,3
NANCY,HENRI POINCARE,69,13,62,10,51,8,21,5
ANGERS,HENRI BERGSON,24,7,15,3,13,2,6,1
LA FLECHE,PRYTANEE MILITAIRE,48,4,40,4,33,3,16,1
LA ROCHE SUR YON,SAINT JOSEPH,17,0,9,0,8,0,3,0
LE MANS,MONTESQUIEU,14,2,9,2,5,1,4,1
NANTES,GEORGES CLEMENCEAU,55,13,51,13,42,9,17,5
NANTES,SAINT STANISLAS,26,11,21,8,10,4,4,1
NICE,MASSENA,67,12,63,11,49,8,15,4
TOULON,DUMONT D'URVILLE,19,6,16,5,11,3,3,1
VALBONNE,CENTRE INTERNATIONAL,29,2,25,2,18,0,7,0
BOURGES,ALAIN FOURNIER,30,5,15,2,12,2,8,0
CHARTRES,MARCEAU,35,12,11,5,8,3,3,1
ORLEANS,POTHIER,74,25,64,22,49,17,21,9
TOURS,DESCARTES,74,15,57,12,44,8,16,2
ANTONY,SAINTE MARIE,30,6,17,3,15,2,7,1
ENGHIEN LES BAINS,GUSTAVE MONOD,22,2,14,0,10,0,3,0
FONTAINEBLEAU,FRANCOIS 1ER,24,4,12,1,10,1,0,0
LE RAINCY,ALBERT SCHWEITZER,45,8,29,4,19,4,6,2
MELUN,JACQUES AMYOT,28,3,14,2,10,1,3,0
NEUILLY SUR SEINE,PASTEUR,58,8,57,8,49,8,5,2
ORSAY,BLAISE PASCAL,28,9,28,9,28,9,4,1
PARIS 04,CHARLEMAGNE,63,18,56,16,54,16,13,3
PARIS 05,HENRI IV,22,8,17,6,14,5,2,1
PARIS 05,LOUIS LE GRAND,78,32,63,25,53,23,7,2
