ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,PAUL CEZANNE,6,2,2,0,1,0,0,0
BLOIS,F. PH. DESSAIGNES,19,4,1,0,1,0,1,0
MARSEILLE,THIERS,111,35,73,23,69,21,19,7
AMIENS,THUILLIER,45,14,11,2,9,2,2,1
COMPIEGNE,PIERRE D'AILLY,11,4,3,2,3,2,1,1
BESANCON,VICTOR HUGO,68,24,41,12,41,12,10,3
BORDEAUX,CAMILLE JULLIAN,16,4,4,1,4,1,0,0
BORDEAUX,GUSTAVE EIFFEL,1,0,1,0,0,0,0,0
BORDEAUX,MICHEL MONTAIGNE,94,22,49,8,47,8,11,1
PAU,LOUIS BARTHOU,22,7,6,2,6,2,2,1
CAEN,MALHERBE,71,15,31,7,29,7,4,1
CHERBOURG,VICTOR GRIGNARD,16,5,5,1,3,1,0,0
CLERMONT-FERRAND,BLAISE PASCAL,55,13,38,7,35,7,9,2
CLERMONT-FERRAND,LA FAYETTE,6,0,0,0,0,0,0,0
DIJON,CARNOT,81,21,41,9,37,9,13,3
ANNECY,BERTHOLLET,37,11,15,3,13,3,6,2
GRENOBLE,CHAMPOLLION,67,15,44,10,40,10,6,1
LA TRONCHE,ITEC- BOISFLEURY,11,2,3,0,2,0,0,0
VALENCE,CAMILLE VERNET,15,3,6,0,4,0,1,0
ARRAS,ROBESPIERRE,13,3,0,0,0,0,0,0
BOULOGNE SUR MER,MARIETTE,8,1,1,0,0,0,0,0
DOUAI,A. CHATELET,8,2,1,1,1,1,0,0
DUNKERQUE,JEAN BART,8,3,3,1,3,1,1,0
LENS,CONDORCET,7,2,1,0,1,0,1,0
LILLE,FAIDHERBE,82,19,52,13,51,13,13,4
VALENCIENNES,HENRI WALLON,78,16,41,6,39,4,11,2
LIMOGES,GAY LUSSAC,19,5,3,1,3,1,0,0
BOURG EN BRESSE,LALANDE,16,6,3,0,1,0,0,0
LYON,AUX LAZARISTES,39,8,20,3,20,3,5,1
LYON,LE PARC,146,31,115,21,113,20,43,7
LYON,INSTITUT DES CHARTRX,10,2,1,0,1,0,0,0
LYON,LA MARTINIERE,57,16,30,9,26,8,10,2
SAINT-ETIENNE,FAURIEL,46,12,25,6,25,6,10,2
MONTPELLIER,JOFFRE,72,15,32,4,29,4,8,0
NIMES,ALPHONSE DAUDET,17,6,4,1,4,1,0,0
PERPIGNAN,F. ARAGO,10,3,0,0,0,0,0,0
EPINAL,C. GELLEE,9,1,7,1,6,1,2,0
FORBACH,JEAN MOULIN,13,5,0,0,0,0,0,0
METZ,FABERT,57,10,39,5,37,5,7,1
NANCY,HENRI POINCARE,76,16,56,9,50,8,13,2
ANGERS,HENRI BERGSON,18,5,2,0,2,0,0,0
LA FLECHE,PRYTANEE MILITAIRE,40,3,24,0,19,0,6,0
LA ROCHE SUR YON,SAINT JOSEPH,5,0,2,0,2,0,1,0
LE MANS,MONTESQUIEU,9,2,3,1,2,1,0,0
NANTES,GEORGES CLEMENCEAU,72,14,53,8,47,6,17,2
NANTES,SAINT STANISLAS,26,10,8,3,8,3,4,1
NICE,MASSENA,72,12,52,6,51,6,18,2
TOULON,DUMONT D'URVILLE,11,3,5,0,5,0,2,0
VALBONNE,CENTRE INTERNATIONAL,21,3,15,1,14,1,4,1
BOURGES,ALAIN FOURNIER,10,3,1,0,1,0,0,0
CHARTRES,MARCEAU,22,7,0,0,0,0,0,0
ORLEANS,POTHIER,75,24,29,8,26,7,11,4
TOURS,DESCARTES,58,10,23,5,21,5,5,0
ANTONY,SAINTE MARIE,24,5,7,2,6,1,0,0
ENGHIEN LES BAINS,GUSTAVE MONOD,17,1,2,0,2,0,1,0
FONTAINEBLEAU,FRANCOIS 1ER,15,2,6,0,6,0,0,0
LE RAINCY,ALBERT SCHWEITZER,41,7,10,1,9,1,1,0
MELUN,JACQUES AMYOT,19,2,4,0,2,0,1,0
NEUILLY SUR SEINE,PASTEUR,68,11,58,8,55,7,7,1
ORSAY,BLAISE PASCAL,36,8,24,5,24,5,9,2
PARIS 04,CHARLEMAGNE,90,20,75,17,71,17,16,3
PARIS 05,HENRI IV,87,16,83,15,78,14,8,2
PARIS 05,LOUIS LE GRAND,189,45,153,39,143,35,23,7
PARIS 06,STANISLAS,90,7,55,1,53,1,14,0
PARIS 06,FENELON,61,14,28,5,26,4,3,1
PARIS 06,SAINT LOUIS,221,69,163,49,151,46,37,16
PARIS 08,CHAPTAL,68,10,50,6,49,6,15,4
PARIS 08,SAINTE MARIE FENELON,46,5,20,1,20,1,8,0
PARIS 09,CONDORCET,71,20,49,12,45,12,6,1
