ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,VAUVENARGUES,13,4,10,2,7,2,0,0
AVIGNON,FREDERIC MISTRAL,11,2,3,0,3,0,2,0
MARSEILLE,JEAN PERRIN,20,7,12,4,11,3,1,0
MARSEILLE,THIERS,46,8,42,6,39,6,12,3
AMIENS,THUILLIER,9,5,0,0,0,0,0,0
BELFORT,CONDORCET,4,1,2,1,2,1,0,0
BESANCON,VICTOR HUGO,39,7,18,4,13,2,6,1
BORDEAUX,GUSTAVE EIFFEL,53,10,28,6,25,5,5,3
BORDEAUX,MICHEL MONTAIGNE,59,19,40,10,36,9,12,3
PAU,LOUIS BARTHOU,22,1,12,0,11,0,1,0
CAEN,VICTOR HUGO,19,1,7,1,6,0,1,0
CLERMONT-FERRAND,BLAISE PASCAL,27,6,13,1,9,1,1,0
CLERMONT-FERRAND,LA FAYETTE,27,3,11,1,10,1,3,0
AUXERRE,JACQUES AMYOT,4,0,0,0,0,0,0,0
DIJON,CARNOT,27,4,16,3,15,2,3,1
DIJON,GUSTAVE EIFFEL,19,0,5,0,1,0,0,0
ANNECY,BERTHOLLET,29,3,19,1,18,1,8,0
GRENOBLE,CHAMPOLLION,73,13,54,8,45,6,13,0
ARRAS,ROBESPIERRE,6,2,1,0,1,0,0,0
DOUAI,A. CHATELET,30,5,23,3,18,3,3,0
DUNKERQUE,JEAN BART,9,3,4,1,4,1,1,1
LILLE,CESAR BAGGIO,31,1,10,1,6,1,1,0
LILLE,FAIDHERBE,31,13,28,11,28,11,10,4
LILLE,OZANAM,5,0,1,0,0,0,0,0
VALENCIENNES,HENRI WALLON,33,4,21,1,16,1,4,0
LIMOGES,GAY LUSSAC,35,6,10,2,8,1,0,0
LYON,AUX LAZARISTES,34,3,23,2,21,2,6,0
LYON,LE PARC,41,7,35,6,35,6,12,2
LYON,INSTITUT DES CHARTRX,1,0,0,0,0,0,0,0
LYON,LA MARTINIERE,48,5,36,4,35,4,10,2
SAINT-ETIENNE,E. MIMARD,34,3,13,0,13,0,9,0
MONTPELLIER,JOFFRE,59,8,42,6,36,6,7,0
NIMES,ALPHONSE DAUDET,12,4,2,1,2,1,1,1
PERPIGNAN,F. ARAGO,33,0,14,0,11,0,1,0
METZ,FABERT,42,2,18,0,13,0,2,0
NANCY,LORITZ,42,7,31,5,29,5,6,2
ANGERS,HENRI BERGSON,10,0,6,0,5,0,2,0
LA FLECHE,PRYTANEE MILITAIRE,12,1,6,0,4,0,2,0
LE MANS,MONTESQUIEU,8,2,2,0,1,0,0,0
NANTES,GEORGES CLEMENCEAU,98,19,72,13,67,11,23,4
NICE,LES EUCALYPTUS,21,6,4,1,2,0,0,0
NICE,MASSENA,38,9,31,6,26,6,4,1
TOULON,DUMONT D'URVILLE,20,5,7,0,5,0,1,0
VALBONNE,CENTRE INTERNATIONAL,29,5,18,4,17,3,1,1
ORLEANS,POTHIER,53,8,21,3,21,3,7,0
TOURS,VAUCANSON,15,3,1,0,1,0,1,0
TOURS,DESCARTES,34,8,27,5,21,4,8,2
VIERZON,HENRI BRISSON,1,0,0,0,0,0,0,0
LE KREMLIN BICETRE,I.P.S.A.,1,0,0,0,0,0,0,0
CHAMPAGNE SUR SEINE,LA FAYETTE,19,1,10,0,8,0,1,0
LE RAINCY,ALBERT SCHWEITZER,17,8,5,1,2,0,0,0
MEAUX,LPEM.HENRI MOISSAN,12,2,4,1,3,1,0,0
ORSAY,BLAISE PASCAL,42,9,24,6,20,5,6,2
PARIS 05,LOUIS LE GRAND,41,10,39,9,38,9,7,3
PARIS 06,STANISLAS,32,4,28,4,28,4,7,0
PARIS 06,SAINT LOUIS,95,23,80,17,79,17,21,8
PARIS 08,CHAPTAL,70,11,50,9,44,9,6,3
PARIS 08,SAINTE MARIE FENELON,39,6,36,5,31,4,3,1
PARIS 09,CONDORCET,34,10,29,9,29,9,4,1
PARIS 09,JACQUES DECOUR,62,10,33,5,30,5,3,0
PARIS 12,PAUL VALERY,19,3,7,1,6,1,1,0
PARIS 13,ENCPB,41,11,20,3,14,1,3,0
PARIS 14,RASPAIL,10,4,4,1,3,1,0,0
PARIS 15,BUFFON,34,4,14,0,14,0,2,0
PARIS 16,CLAUDE BERNARD,12,2,2,0,2,0,0,0
PARIS 16,JANSON DE SAILLY,71,12,45,6,44,6,11,1
PARIS 16,JEAN BAPTISTE SAY,42,5,33,5,32,5,2,1
SAINT-DENIS,PAUL ELUARD,9,3,1,1,1,1,0,0
SCEAUX,LAKANAL,35,4,30,4,25,3,8,0
ST GERMAIN EN LAYE,JEANNE D'ALBRET,17,3,6,1,5,1,2,0
SAINT MAUR LES FOSSES,MARCELIN BERTHELOT,37,5,33,3,29,3,10,1
VANVES,MICHELET,20,3,8,0,6,0,0,0
VERSAILLES,SAINTE GENEVIEVE,44,10,44,10,43,10,15,5
VERSAILLES,HOCHE,35,4,34,4,33,4,13,3
VERSAILLES,JULES FERRY,31,6,19,4,18,4,2,0
LA ROCHELLE,J. DAUTET,8,2,3,1,3,1,1,1
POITIERS,CAMILLE GUERIN,20,1,14,0,12,0,3,0
REIMS,FRANKLIN ROOSEVELT,56,11,24,3,20,2,4,0
TROYES,CHRESTIEN DE TROYES,6,0,2,0,2,0,1,0
BREST,LA CROIX ROUGE,4,1,2,0,1,0,0,0
BREST,VAUBAN,37,8,14,3,10,2,2,1
BREST,NAVAL,19,0,1,0,1,0,0,0
BREST,SAINTE ANNE,11,1,1,0,1,0,0,0
LORIENT,DUPUY DE LOME,12,1,1,0,0,0,0,0
RENNES,CHATEAUBRIAND,51,10,37,6,33,6,11,2
RENNES,JOLIOT CURIE,23,3,7,1,7,1,1,1
SAINT-BRIEUC,RABELAIS,19,3,2,0,1,0,0,0
EVREUX,ARISTIDE BRIAND,14,2,6,0,4,0,1,0
ROUEN,CORNEILLE,34,6,28,5,26,5,4,1
MULHOUSE,A. SCHWEITZER,15,3,1,0,1,0,0,0
STRASBOURG,COUFFIGNAL,13,1,2,0,1,0,0,0
STRASBOURG,KLEBER,71,10,47,8,42,8,17,5
TOULOUSE,BELLEVUE,36,9,18,4,14,2,1,0
TOULOUSE,DEODAT DE SEVERAC,36,2,23,1,19,1,5,0
BALMA,SALIEGE,19,3,8,1,8,1,1,0
TOULOUSE,PIERRE DE FERMAT,48,16,47,16,46,16,10,9
MONTBONNOT,PUPILLES DE L'AIR,9,2,4,1,1,1,0,0
CAEN,SAINTE MARIE,4,1,1,1,1,1,0,0
ST CYR L'ECOLE,LYCEE MILITAIRE,22,2,3,1,2,0,0,0
RENNES,ASSOMPTION,10,5,0,0,0,0,0,0
STRASBOURG,ORT FRANCE,12,2,6,1,5,1,1,1
LYON,JEAN PERRIN,23,7,6,1,5,0,0,0
CHAMBERY,VAUGELAS,7,0,3,0,2,0,0,0
ANGERS,CHARLES DE FOUCAULD,25,2,7,0,6,0,3,0
AIX-EN-PROVENCE,LYCEE MILITAIRE,16,1,2,1,2,1,0,0
SAINT MAUR LES FOSSES,D'ARSONVAL,28,8,14,4,8,2,1,0
PARIS 15,URANIE,1,0,1,0,1,0,0,0
AJACCIO,LAETITIA BONAPARTE,1,0,0,0,0,0,0,0
NOUMEA,JULES GARNIER,2,0,2,0,1,0,0,0
MARRAKECH,IBNOU TAIMIYA,2,0,0,0,0,0,0,0
TANGER,CENTRE PEDAGOGIQUE REGION,2,1,0,0,0,0,0,0
QUIMPER,LYCEE BRIZEUX,25,6,12,1,11,1,2,0
CASABLANCA,ECO SUP GALILEE,1,0,1,0,0,0,0,0
SAINTE CLOTILDE,LECONTE DE LISLE,11,3,2,1,2,1,0,0
FORT DE FRANCE,DE BELLEVUE,3,0,1,0,1,0,0,0
POINTE A PITRE,BAIMBRIDGE,10,2,1,0,1,0,0,0
CASABLANCA,AL MIZA,1,0,0,0,0,0,0,0
