ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,VAUVENARGUES,36,3,33,1,33,1,24,1
AVIGNON,P. DE GIRARD,23,2,4,0,3,0,2,0
MARSEILLE,JEAN PERRIN,83,9,57,5,56,5,42,3
NOGENT SUR OISE,MARIE CURIE,33,1,25,0,25,0,20,0
BELFORT,RAOUL FOLLEREAU,27,4,13,2,12,2,6,1
BESANCON,JULES HAAG,30,2,16,1,16,1,2,0
BORDEAUX,GUSTAVE EIFFEL,68,4,52,2,50,1,25,0
CAEN,DUMONT D'URVILLE,29,1,17,1,16,1,7,0
CHAMPIGNY,LANGEVIN-WALLON,16,3,5,0,3,0,1,0
MONTLUCON,PAUL CONSTANS,14,2,7,1,7,1,3,0
THIERS,TECHNIQUE D'ETAT,22,2,13,1,13,1,5,1
CHALONS SUR SAONE,NIEPCE,30,4,18,2,15,2,6,0
CLUNY,DE CLUNY "LA PRAT'S",26,2,15,1,14,1,12,1
DIJON,GUSTAVE EIFFEL,34,0,18,0,15,0,6,0
NEVERS,JULES RENARD,13,2,11,1,10,1,3,0
ARGONAY,LACHENAL,19,3,18,3,18,3,7,2
GRENOBLE,VAUCANSON,31,0,17,0,16,0,7,0
VOIRON,F. BUISSON,20,1,13,0,13,0,9,0
ARMENTIERES,GUSTAVE EIFFEL,39,4,20,1,16,0,9,0
DUNKERQUE,DE L'EUROPE,20,1,6,1,5,1,4,1
LILLE,CESAR BAGGIO,50,1,14,0,13,0,7,0
VALENCIENNES,DU HAINAUT,15,0,1,0,1,0,1,0
LIMOGES,TURGOT,24,1,17,1,16,1,6,0
LYON,LA MARTINIERE,67,6,47,4,45,4,18,3
SAINT-ETIENNE,E. MIMARD,26,1,10,1,10,1,7,1
MONTPELLIER,JEAN MERMOZ,32,2,30,1,30,1,15,1
NIMES,TECHNIQUE D'ETAT,32,3,18,1,16,1,9,1
METZ,LOUIS CORMONTAIGNE,23,0,13,0,12,0,9,0
NANCY,LORITZ,46,1,36,1,34,1,24,1
ANGERS,CHEVROLLIER,34,2,30,2,29,2,17,2
LE MANS,GABRIEL TOUCHARD,30,3,23,1,21,1,12,1
NANTES,EUGENE LIVET,69,4,50,2,49,2,22,1
NICE,LES EUCALYPTUS,63,5,45,3,42,3,29,3
TOULON,M. ROUVIERE,31,7,20,5,19,4,12,2
ORLEANS,B. FRANKLIN,38,2,24,0,23,0,17,0
VIERZON,HENRI BRISSON,9,0,2,0,2,0,1,0
AUBERVILLIERS,LE CORBUSIER,13,0,2,0,2,0,2,0
CACHAN,GUSTAVE EIFFEL,31,4,26,3,26,3,14,3
CHAMPAGNE SUR SEINE,LA FAYETTE,24,1,13,1,10,0,3,0
CLICHY,NEWTON - E.N.R.E.A.,18,1,11,0,9,0,6,0
MEAUX,PIERRE DE COUBERTIN,13,3,1,0,1,0,1,0
PARIS 08,CHAPTAL,44,3,36,2,35,2,22,1
PARIS 11,DORIAN,21,3,15,2,12,1,8,1
PARIS 11,VOLTAIRE,34,1,16,0,13,0,9,0
PARIS 14,RASPAIL,62,6,43,2,42,2,27,2
PARIS 16,JEAN BAPTISTE SAY,40,5,38,4,38,4,21,4
VERSAILLES,JULES FERRY,64,2,35,0,35,0,15,0
POITIERS,LOUIS ARMAND,29,5,21,4,20,4,9,0
CHALONS EN CHAMPAGNE,OEHMICHEN,21,4,4,1,4,1,4,1
REIMS,FRANKLIN ROOSEVELT,30,0,13,0,13,0,8,0
BREST,LA CROIX ROUGE,21,1,4,0,3,0,1,0
BREST,VAUBAN,40,2,27,1,26,1,11,0
RENNES,JOLIOT CURIE,29,1,20,1,19,1,13,1
VANNES,LESAGE,24,4,24,4,22,2,10,1
ROUEN,BLAISE PASCAL,22,0,15,0,14,0,7,0
STRASBOURG,COUFFIGNAL,45,3,22,0,22,0,15,0
TARBES,JEAN DUPUY,14,3,5,1,5,1,4,1
TOULOUSE,DEODAT DE SEVERAC,37,2,30,1,27,1,15,1
BAIE-MAHAULT,CHARLES COEFFIN,21,4,1,0,0,0,0,0
ANGERS,CHARLES DE FOUCAULD,20,1,12,1,12,1,6,0
LE HAVRE,ROBERT SCHUMAN,21,1,10,0,9,0,5,0
AJACCIO,LAETITIA BONAPARTE,13,5,2,1,2,1,2,1
NOUMEA,JULES GARNIER,8,3,3,0,3,0,1,0
MASSY,PARC DE VILGENIS,24,2,12,0,10,0,3,0
