ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,VAUVENARGUES,17,1,3,0,2,0,0,0
AVIGNON,P. DE GIRARD,4,0,0,0,0,0,0,0
MARSEILLE,JEAN PERRIN,34,1,8,0,5,0,0,0
NOGENT SUR OISE,MARIE CURIE,14,0,2,0,2,0,1,0
BELFORT,RAOUL FOLLEREAU,6,0,1,0,1,0,1,0
BESANCON,JULES HAAG,15,2,4,0,4,0,0,0
BORDEAUX,GUSTAVE EIFFEL,25,2,16,2,16,2,4,1
CAEN,DUMONT D'URVILLE,6,1,2,0,2,0,0,0
CHAMPIGNY,LANGEVIN-WALLON,4,1,0,0,0,0,0,0
THIERS,TECHNIQUE D'ETAT,6,2,2,0,2,0,0,0
CHALONS SUR SAONE,NIEPCE,5,1,2,0,2,0,0,0
CLUNY,DE CLUNY "LA PRAT'S",6,0,0,0,0,0,0,0
DIJON,GUSTAVE EIFFEL,4,0,0,0,0,0,0,0
NEVERS,JULES RENARD,2,0,1,0,1,0,0,0
ARGONAY,LACHENAL,10,1,7,1,6,1,0,0
GRENOBLE,VAUCANSON,17,0,4,0,4,0,1,0
VOIRON,F. BUISSON,3,1,0,0,0,0,0,0
ARMENTIERES,GUSTAVE EIFFEL,18,3,2,0,2,0,1,0
DUNKERQUE,DE L'EUROPE,11,1,1,0,1,0,0,0
LILLE,CESAR BAGGIO,15,1,1,0,1,0,0,0
VALENCIENNES,DU HAINAUT,1,0,0,0,0,0,0,0
LIMOGES,TURGOT,13,1,2,1,1,1,1,1
LYON,LA MARTINIERE,37,4,14,0,13,0,1,0
SAINT-ETIENNE,E. MIMARD,8,1,0,0,0,0,0,0
MONTPELLIER,JEAN MERMOZ,14,0,6,0,5,0,3,0
NIMES,TECHNIQUE D'ETAT,14,0,1,0,1,0,0,0
METZ,LOUIS CORMONTAIGNE,3,0,0,0,0,0,0,0
NANCY,LORITZ,12,0,1,0,1,0,0,0
ANGERS,CHEVROLLIER,5,0,4,0,4,0,1,0
LE MANS,GABRIEL TOUCHARD,9,0,1,0,0,0,0,0
NANTES,EUGENE LIVET,27,1,9,0,8,0,0,0
NICE,LES EUCALYPTUS,20,0,3,0,2,0,1,0
TOULON,M. ROUVIERE,4,2,0,0,0,0,0,0
ORLEANS,B. FRANKLIN,9,0,3,0,2,0,0,0
VIERZON,HENRI BRISSON,2,0,0,0,0,0,0,0
AUBERVILLIERS,LE CORBUSIER,3,0,0,0,0,0,0,0
CACHAN,GUSTAVE EIFFEL,19,3,6,0,5,0,2,0
CHAMPAGNE SUR SEINE,LA FAYETTE,6,1,1,0,1,0,0,0
CLICHY,NEWTON - E.N.R.E.A.,10,0,0,0,0,0,0,0
MEAUX,PIERRE DE COUBERTIN,3,2,0,0,0,0,0,0
PARIS 08,CHAPTAL,28,2,3,1,3,1,0,0
PARIS 11,DORIAN,6,2,1,0,0,0,0,0
PARIS 11,VOLTAIRE,11,0,1,0,1,0,0,0
PARIS 14,RASPAIL,29,3,3,0,3,0,0,0
PARIS 16,JEAN BAPTISTE SAY,36,3,13,0,12,0,2,0
VERSAILLES,JULES FERRY,34,1,7,0,6,0,1,0
POITIERS,LOUIS ARMAND,4,2,0,0,0,0,0,0
CHALONS EN CHAMPAGNE,OEHMICHEN,1,0,0,0,0,0,0,0
REIMS,FRANKLIN ROOSEVELT,3,0,0,0,0,0,0,0
BREST,VAUBAN,7,1,2,0,2,0,0,0
RENNES,JOLIOT CURIE,12,0,3,0,3,0,0,0
VANNES,LESAGE,8,0,3,0,3,0,1,0
ROUEN,BLAISE PASCAL,6,0,0,0,0,0,0,0
STRASBOURG,COUFFIGNAL,15,0,1,0,1,0,0,0
TARBES,JEAN DUPUY,3,1,0,0,0,0,0,0
TOULOUSE,DEODAT DE SEVERAC,10,0,1,0,1,0,0,0
BAIE-MAHAULT,CHARLES COEFFIN,6,1,0,0,0,0,0,0
ANGERS,CHARLES DE FOUCAULD,6,1,1,0,1,0,0,0
LE HAVRE,ROBERT SCHUMAN,6,0,0,0,0,0,0,0
AJACCIO,LAETITIA BONAPARTE,3,1,0,0,0,0,0,0
NOUMEA,JULES GARNIER,2,1,0,0,0,0,0,0
MASSY,PARC DE VILGENIS,10,0,4,0,4,0,1,0
