ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AGADIR,REDA SLAOUI,3,0,0,0,0,0,0,0
AMIENS,THUILLIER,31,18,23,14,14,9,4,1
ANGERS,LE FRESNE,24,11,15,8,14,8,11,7
ARRAS,ROBESPIERRE,19,7,12,3,9,2,6,1
BORDEAUX,MICHEL MONTAIGNE,50,31,40,26,33,22,26,18
CAEN,MALHERBE,37,21,33,19,29,16,25,12
CASTANET,LEGTA TOULOUSE-AUZEVILLE,25,14,19,9,18,9,14,6
CLERMONT-FERRAND,BLAISE PASCAL,41,23,36,23,36,23,32,20
DIJON,CARNOT,36,22,33,21,28,17,24,16
DOUAI,A. CHATELET,26,17,16,9,12,5,8,3
FONTAINEBLEAU,FRANCOIS 1ER,16,11,12,9,11,8,11,8
GRENOBLE,CHAMPOLLION,36,25,35,25,34,25,21,17
KENITRA,IBN EL WAFID,4,1,2,0,2,0,2,0
LA MULATIERE,ASSOMPTION BELLEVUE,33,18,23,11,18,8,14,6
LE RAINCY,ALBERT SCHWEITZER,14,10,9,7,9,7,7,6
LILLE,FAIDHERBE,35,21,30,18,29,17,24,15
LYON,LA MARTINIERE,43,26,40,24,38,23,26,18
LYON,LE PARC,77,47,74,45,63,37,36,22
MARSEILLE,THIERS,74,49,61,41,52,36,37,28
METZ,GEORGES DE LA TOUR,28,20,14,9,12,8,7,5
MONTARGIS,DU CHESNOY,20,15,10,8,8,6,4,3
MONTPELLIER,JOFFRE,31,21,23,16,21,14,20,13
NANCY,HENRI POINCARE,23,14,19,13,17,12,12,8
NANTES,EXTERNAT ENFANTS NANTAIS,19,14,16,12,12,8,9,6
NANTES,GEORGES CLEMENCEAU,39,23,37,22,36,22,29,19
NICE,MASSENA,30,22,23,18,21,16,17,13
ORLEANS,POTHIER,42,30,33,24,29,22,26,19
PARIS 05,HENRI IV,44,29,44,29,42,28,24,17
PARIS 06,FENELON,35,29,29,25,27,23,19,15
PARIS 06,SAINT LOUIS,78,50,73,46,70,45,54,34
PARIS 08,CHAPTAL,57,40,49,34,46,32,37,27
PARIS 13,ENCPB,32,24,23,18,19,16,17,15
PARIS 16,JANSON DE SAILLY,79,53,64,44,63,43,43,32
PARIS 16,JEAN BAPTISTE SAY,45,31,35,24,27,19,21,15
PAU,LOUIS BARTHOU,32,21,30,20,28,18,19,13
POINTE A PITRE,BAIMBRIDGE,12,11,3,3,2,2,0,0
POITIERS,CAMILLE GUERIN,52,25,40,20,38,20,29,14
REIMS,G. CLEMENCEAU,44,31,37,24,28,19,19,15
RENNES,CHATEAUBRIAND,76,50,66,47,62,44,54,41
ROUEN,CORNEILLE,34,16,24,14,22,13,18,10
SAINT MAUR LES FOSSES,MARCELIN BERTHELOT,18,11,15,10,12,8,10,6
SAINT-ETIENNE,FAURIEL,27,13,24,11,22,10,18,7
SCEAUX,LAKANAL,35,27,27,20,26,19,18,14
STRASBOURG,JEAN ROSTAND,32,22,25,17,25,17,18,13
TOULOUSE,OZENNE,30,20,26,18,25,18,16,13
TOULOUSE,PIERRE DE FERMAT,37,26,33,22,32,22,25,16
VERSAILLES,HOCHE,45,32,44,32,41,29,31,24
VERSAILLES,SAINTE GENEVIEVE,38,21,38,21,38,21,35,19
