ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AMIENS,THUILLIER,26,17,16,10,12,8,6,4
ANGERS,LE FRESNE,21,11,17,9,8,2,2,0
ARRAS,ROBESPIERRE,10,1,3,0,3,0,1,0
BORDEAUX,MICHEL MONTAIGNE,29,20,22,16,16,12,6,3
CAEN,MALHERBE,25,12,23,11,12,4,3,2
CASTANET,LEGTA TOULOUSE-AUZEVILLE,5,3,2,1,1,1,0,0
CLERMONT-FERRAND,BLAISE PASCAL,22,11,18,10,12,7,1,0
DIJON,CARNOT,30,20,24,16,13,6,4,1
DOUAI,A. CHATELET,5,4,3,2,2,1,1,1
FONTAINEBLEAU,FRANCOIS 1ER,9,6,5,2,4,2,0,0
GRENOBLE,CHAMPOLLION,28,19,17,11,14,9,5,2
LA MULATIERE,ASSOMPTION BELLEVUE,16,12,10,7,8,6,3,1
LE RAINCY,ALBERT SCHWEITZER,10,8,5,4,4,3,2,1
LILLE,FAIDHERBE,18,8,14,6,9,5,1,0
LYON,LA MARTINIERE,17,10,13,7,9,5,5,3
LYON,LE PARC,44,25,33,20,22,13,9,6
MARSEILLE,THIERS,55,34,41,23,31,18,12,5
METZ,GEORGES DE LA TOUR,25,18,14,8,11,7,2,2
MONTARGIS,DU CHESNOY,4,1,2,1,2,1,2,1
MONTPELLIER,JOFFRE,20,11,9,4,1,0,0,0
NANCY,HENRI POINCARE,23,14,16,9,11,6,4,2
NANTES,EXTERNAT ENFANTS NANTAIS,12,9,4,4,2,2,0,0
NANTES,GEORGES CLEMENCEAU,22,13,19,12,11,8,2,2
NICE,MASSENA,16,11,10,6,6,2,2,1
ORLEANS,POTHIER,28,20,21,17,8,7,3,3
PARIS 05,HENRI IV,21,15,20,14,11,7,3,2
PARIS 06,FENELON,14,10,9,7,7,7,2,2
PARIS 06,SAINT LOUIS,36,24,29,19,20,13,5,3
PARIS 08,CHAPTAL,45,32,26,18,19,14,2,1
PARIS 13,ENCPB,27,21,18,14,12,9,2,1
PARIS 16,JANSON DE SAILLY,61,43,37,27,24,15,7,4
PARIS 16,JEAN BAPTISTE SAY,35,22,18,11,12,8,1,0
PAU,LOUIS BARTHOU,24,15,21,14,15,10,4,3
POINTE A PITRE,BAIMBRIDGE,5,5,0,0,0,0,0,0
POITIERS,CAMILLE GUERIN,36,19,25,13,13,6,6,4
REIMS,G. CLEMENCEAU,41,29,21,15,12,8,3,2
RENNES,CHATEAUBRIAND,34,22,25,16,18,12,6,1
ROUEN,CORNEILLE,14,7,7,3,4,2,0,0
SAINT MAUR LES FOSSES,MARCELIN BERTHELOT,10,6,3,1,3,1,0,0
SAINT-ETIENNE,FAURIEL,10,6,7,4,3,1,0,0
SCEAUX,LAKANAL,33,25,23,16,14,8,7,4
STRASBOURG,JEAN ROSTAND,12,8,7,6,3,2,0,0
TOULOUSE,OZENNE,17,8,13,6,11,6,3,1
TOULOUSE,PIERRE DE FERMAT,18,11,13,9,10,8,3,3
VERSAILLES,HOCHE,14,9,14,9,13,8,5,2
VERSAILLES,SAINTE GENEVIEVE,38,21,35,19,7,3,2,1
