ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,LYCEE MILITAIRE,1,0,1,0,1,0,0,0
AIX-EN-PROVENCE,PAUL CEZANNE,33,16,17,7,16,7,3,2
ALBI,LAPEROUSE,8,2,1,0,1,0,1,0
AMIENS,THUILLIER,14,4,1,1,1,1,0,0
ANGERS,HENRI BERGSON,7,3,1,1,1,1,0,0
ANNECY,BERTHOLLET,44,13,13,4,10,3,1,0
ANTONY,SAINTE MARIE,13,3,4,2,3,2,1,1
ARRAS,ROBESPIERRE,10,6,2,1,2,1,0,0
AVIGNON,SAINT JOSEPH,9,0,1,0,1,0,0,0
BALMA,SALIEGE,53,10,27,4,24,4,5,1
BAYONNE,RENE CASSIN,15,5,2,1,2,1,0,0
BELFORT,CONDORCET,12,5,2,0,1,0,1,0
BESANCON,VICTOR HUGO,48,16,17,4,14,4,4,1
BORDEAUX,CAMILLE JULLIAN,17,5,1,0,1,0,1,0
BORDEAUX,MICHEL MONTAIGNE,39,14,17,7,14,7,4,0
BOURG EN BRESSE,LALANDE,27,6,2,2,1,1,0,0
BOURGES,ALAIN FOURNIER,2,0,0,0,0,0,0,0
BREST,KERICHEN,29,8,9,2,8,2,2,0
BREST,SAINTE ANNE,14,6,0,0,0,0,0,0
CAEN,SAINTE MARIE,5,1,1,0,1,0,0,0
CAEN,VICTOR HUGO,30,5,10,2,9,2,3,1
CHARTRES,MARCEAU,17,4,5,1,4,1,2,0
CLERMONT-FERRAND,BLAISE PASCAL,43,20,23,10,18,9,4,1
COMPIEGNE,PIERRE D'AILLY,8,0,0,0,0,0,0,0
DIJON,CARNOT,48,15,18,6,11,4,2,2
DOUAI,A. CHATELET,22,9,9,4,5,2,4,1
DUNKERQUE,JEAN BART,2,1,1,1,1,1,0,0
ENGHIEN LES BAINS,GUSTAVE MONOD,7,1,2,0,1,0,0,0
EVREUX,ARISTIDE BRIAND,9,1,0,0,0,0,0,0
FONTAINEBLEAU,FRANCOIS 1ER,9,2,3,0,3,0,1,0
FORT DE FRANCE,DE BELLEVUE,10,3,0,0,0,0,0,0
GRENOBLE,CHAMPOLLION,59,27,27,8,20,7,6,2
JARVILLE,LA MALGRANGE,1,1,1,1,1,1,0,0
LA FLECHE,PRYTANEE MILITAIRE,4,0,2,0,1,0,1,0
LA ROCHE SUR YON,SAINT JOSEPH,3,0,0,0,0,0,0,0
LA ROCHELLE,J. DAUTET,4,2,0,0,0,0,0,0
LA TRONCHE,ITEC- BOISFLEURY,5,1,0,0,0,0,0,0
LE HAVRE,FRANCOIS 1ER,5,0,0,0,0,0,0,0
LE MANS,MONTESQUIEU,19,3,8,2,8,2,3,1
