ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,LYCEE MILITAIRE,2,0,1,0,1,0,0,0
AIX-EN-PROVENCE,VAUVENARGUES,21,2,7,0,6,0,0,0
AJACCIO,LAETITIA BONAPARTE,8,1,2,0,1,0,0,0
AMIENS,THUILLIER,5,0,0,0,0,0,0,0
ANGERS,CHARLES DE FOUCAULD,8,1,4,0,3,0,0,0
ANGERS,HENRI BERGSON,13,3,3,0,3,0,1,0
ANNECY,BERTHOLLET,23,4,15,2,14,2,3,0
ARRAS,ROBESPIERRE,5,2,2,1,1,1,0,0
AUXERRE,JACQUES AMYOT,12,1,2,0,2,0,0,0
AVIGNON,FREDERIC MISTRAL,12,2,1,0,1,0,0,0
BALMA,SALIEGE,20,5,10,2,7,2,3,1
BELFORT,CONDORCET,6,0,1,0,1,0,0,0
BESANCON,VICTOR HUGO,15,4,4,2,4,2,1,1
BORDEAUX,GUSTAVE EIFFEL,36,3,17,2,14,0,3,0
BORDEAUX,MICHEL MONTAIGNE,49,13,31,12,29,10,10,3
BREST,LA CROIX ROUGE,1,0,0,0,0,0,0,0
BREST,SAINTE ANNE,5,0,0,0,0,0,0,0
BREST,VAUBAN,13,4,2,0,1,0,1,0
CAEN,SAINTE MARIE,3,0,1,0,1,0,0,0
CAEN,VICTOR HUGO,25,4,6,0,6,0,2,0
CASABLANCA,AL MIZA,1,0,0,0,0,0,0,0
CASABLANCA,ECO SUP GALILEE,5,4,0,0,0,0,0,0
CASABLANCA,LYCEE LA RESIDENCE,1,0,0,0,0,0,0,0
CHAMBERY,VAUGELAS,10,1,3,0,2,0,0,0
CHAMPAGNE SUR SEINE,LA FAYETTE,20,5,2,1,1,1,0,0
CLERMONT-FERRAND,BLAISE PASCAL,29,1,8,0,7,0,2,0
CLERMONT-FERRAND,LA FAYETTE,23,3,7,1,5,1,2,0
DIJON,CARNOT,21,1,7,0,7,0,5,0
DIJON,GUSTAVE EIFFEL,12,1,3,0,2,0,0,0
DOUAI,A. CHATELET,38,9,29,7,21,5,3,0
DUNKERQUE,JEAN BART,5,3,0,0,0,0,0,0
EVREUX,ARISTIDE BRIAND,11,2,1,0,0,0,0,0
FORT DE FRANCE,DE BELLEVUE,8,4,1,0,0,0,0,0
GRENOBLE,CHAMPOLLION,51,9,26,2,24,2,10,1
LA FLECHE,PRYTANEE MILITAIRE,1,0,1,0,0,0,0,0
LA ROCHELLE,J. DAUTET,6,1,1,0,0,0,0,0
LE MANS,MONTESQUIEU,14,2,4,0,2,0,1,0
LE RAINCY,ALBERT SCHWEITZER,11,1,3,0,3,0,1,0
LILLE,CESAR BAGGIO,27,2,1,0,1,0,0,0
LILLE,FAIDHERBE,38,6,31,5,30,5,14,2
LILLE,OZANAM,6,1,0,0,0,0,0,0
LIMOGES,GAY LUSSAC,15,4,1,0,1,0,0,0
LORIENT,DUPUY DE LOME,7,1,2,0,2,0,0,0
LYON,AUX LAZARISTES,35,5,23,2,19,2,12,1
LYON,JEAN PERRIN,8,1,3,1,3,1,0,0
LYON,LA MARTINIERE,72,10,47,6,42,5,15,4
LYON,LE PARC,41,4,31,3,28,3,16,2
MARSEILLE,JEAN PERRIN,22,7,6,3,5,2,0,0
MARSEILLE,THIERS,41,6,33,4,31,4,17,1
MEAUX,LPEM.HENRI MOISSAN,2,1,0,0,0,0,0,0
METZ,FABERT,27,4,16,2,16,2,3,0
MONTPELLIER,JOFFRE,61,7,21,2,17,2,8,2
MULHOUSE,A. SCHWEITZER,4,0,0,0,0,0,0,0
NANCY,LORITZ,36,5,14,1,13,1,3,1
NANTES,GEORGES CLEMENCEAU,107,29,61,15,57,14,20,3
NICE,LES EUCALYPTUS,10,4,2,2,2,2,1,1
NICE,MASSENA,29,8,15,4,10,2,3,1
NIMES,ALPHONSE DAUDET,10,5,0,0,0,0,0,0
NOUMEA,JULES GARNIER,9,6,6,4,5,4,4,3
ORLEANS,POTHIER,55,11,26,4,25,3,5,0
ORSAY,BLAISE PASCAL,37,6,19,2,17,2,7,2
PARIS 05,E.S.T.P.,1,0,0,0,0,0,0,0
PARIS 05,LOUIS LE GRAND,36,9,33,8,33,8,16,4
PARIS 06,E.S.M.E.SUDRIA,1,0,0,0,0,0,0,0
PARIS 06,SAINT LOUIS,127,31,99,23,88,22,35,5
PARIS 06,STANISLAS,41,2,25,1,21,1,11,0
PARIS 08,CHAPTAL,80,12,43,3,40,3,16,1
PARIS 08,SAINTE MARIE FENELON,40,4,20,1,14,0,4,0
PARIS 09,CONDORCET,37,13,34,12,32,12,13,6
PARIS 09,JACQUES DECOUR,61,23,20,5,18,4,7,0
PARIS 12,PAUL VALERY,21,7,8,2,7,2,0,0
PARIS 13,ENCPB,20,4,6,1,1,0,0,0
PARIS 14,RASPAIL,11,2,3,0,2,0,1,0
PARIS 15,BUFFON,46,13,10,4,9,3,3,1
PARIS 15,OURANIA,1,0,1,0,1,0,1,0
PARIS 15,URANIE,5,0,3,0,2,0,0,0
PARIS 16,CLAUDE BERNARD,16,3,1,0,1,0,0,0
PARIS 16,JANSON DE SAILLY,72,17,51,8,47,8,21,4
PARIS 16,JEAN BAPTISTE SAY,38,7,17,3,14,2,2,1
PAU,LOUIS BARTHOU,22,3,12,2,4,0,1,0
PERPIGNAN,F. ARAGO,14,2,1,0,0,0,0,0
POINTE A PITRE,BAIMBRIDGE,4,1,1,0,1,0,0,0
POITIERS,CAMILLE GUERIN,28,3,11,1,11,1,6,0
QUIMPER,LYCEE BRIZEUX,6,3,2,1,2,1,1,1
REIMS,FRANKLIN ROOSEVELT,42,4,18,2,16,2,5,2
RENNES,ASSOMPTION,4,1,0,0,0,0,0,0
RENNES,CHATEAUBRIAND,65,15,36,9,35,9,22,5
RENNES,JOLIOT CURIE,29,8,13,3,12,3,6,2
ROUEN,CORNEILLE,33,5,13,2,12,2,6,0
SAINT MAUR LES FOSSES,D'ARSONVAL,31,4,11,2,9,2,2,0
SAINT MAUR LES FOSSES,MARCELIN BERTHELOT,42,8,38,7,34,7,9,2
SAINT-BRIEUC,RABELAIS,13,5,1,1,1,1,0,0
SAINT-DENIS,PAUL ELUARD,3,1,0,0,0,0,0,0
SAINTE CLOTILDE,LECONTE DE LISLE,13,2,3,1,3,1,0,0
SAINT-ETIENNE,E. MIMARD,9,4,2,1,2,1,0,0
SCEAUX,LAKANAL,31,5,22,5,21,5,9,4
ST GERMAIN EN LAYE,JEANNE D'ALBRET,15,3,6,0,4,0,2,0
STRASBOURG,COUFFIGNAL,20,2,4,0,3,0,1,0
STRASBOURG,KLEBER,55,7,37,4,34,4,18,2
STRASBOURG,ORT FRANCE,13,2,7,0,4,0,0,0
TOULON,DUMONT D'URVILLE,23,4,4,1,3,1,2,1
TOULOUSE,BELLEVUE,24,8,13,5,11,5,3,2
TOULOUSE,DEODAT DE SEVERAC,33,4,19,2,18,2,6,1
TOULOUSE,PIERRE DE FERMAT,43,12,41,12,39,10,22,4
TOURS,DESCARTES,29,5,19,4,18,3,8,2
TOURS,VAUCANSON,6,0,2,0,1,0,0,0
TROYES,CHRESTIEN DE TROYES,4,2,2,1,2,1,1,1
VALBONNE,CENTRE INTERNATIONAL,19,4,8,0,8,0,2,0
VALENCIENNES,HENRI WALLON,31,1,11,1,9,1,4,0
VANVES,MICHELET,37,8,10,1,10,1,1,0
VERSAILLES,HOCHE,36,8,34,8,30,7,17,2
VERSAILLES,JULES FERRY,21,8,7,2,5,2,1,0
VERSAILLES,SAINTE GENEVIEVE,47,11,46,10,46,10,22,3
VIERZON,HENRI BRISSON,6,1,0,0,0,0,0,0
