ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,LYCEE MILITAIRE,1,0,0,0,0,0,0,0
AIX-EN-PROVENCE,VAUVENARGUES,1,0,0,0,0,0,0,0
AJACCIO,LAETITIA BONAPARTE,5,0,1,0,0,0,0,0
ANGERS,CHARLES DE FOUCAULD,5,1,1,0,1,0,1,0
ANGERS,HENRI BERGSON,4,0,0,0,0,0,0,0
ANNECY,BERTHOLLET,5,0,2,0,1,0,0,0
AVIGNON,FREDERIC MISTRAL,2,0,0,0,0,0,0,0
BALMA,SALIEGE,5,1,1,0,1,0,0,0
BELFORT,CONDORCET,1,0,0,0,0,0,0,0
BESANCON,VICTOR HUGO,5,2,0,0,0,0,0,0
BORDEAUX,GUSTAVE EIFFEL,7,0,2,0,2,0,2,0
BORDEAUX,MICHEL MONTAIGNE,23,9,3,2,3,2,1,1
BREST,LA CROIX ROUGE,2,2,0,0,0,0,0,0
BREST,SAINTE ANNE,1,0,0,0,0,0,0,0
CASABLANCA,AL MIZA,1,0,0,0,0,0,0,0
CASABLANCA,MOHAMED V,3,1,0,0,0,0,0,0
CHAMPAGNE SUR SEINE,LA FAYETTE,14,6,0,0,0,0,0,0
CLERMONT-FERRAND,BLAISE PASCAL,6,1,0,0,0,0,0,0
CLERMONT-FERRAND,LA FAYETTE,4,0,0,0,0,0,0,0
DIJON,CARNOT,3,0,0,0,0,0,0,0
DIJON,GUSTAVE EIFFEL,3,0,0,0,0,0,0,0
DOUAI,A. CHATELET,13,3,4,1,3,0,0,0
GRENOBLE,CHAMPOLLION,23,3,9,1,9,1,3,1
LA FLECHE,PRYTANEE MILITAIRE,2,0,0,0,0,0,0,0
LA ROCHELLE,J. DAUTET,1,0,0,0,0,0,0,0
LE RAINCY,ALBERT SCHWEITZER,1,0,0,0,0,0,0,0
LILLE,CESAR BAGGIO,2,1,0,0,0,0,0,0
LILLE,FAIDHERBE,12,2,7,2,7,2,1,0
LILLE,OZANAM,1,0,0,0,0,0,0,0
LIMOGES,GAY LUSSAC,3,0,1,0,1,0,1,0
LYON,AUX LAZARISTES,20,2,4,1,3,1,1,1
LYON,JEAN PERRIN,2,1,0,0,0,0,0,0
LYON,LA MARTINIERE,19,2,5,0,5,0,2,0
LYON,LE PARC,27,4,7,1,5,1,0,0
MARSEILLE,JEAN PERRIN,7,1,0,0,0,0,0,0
MARSEILLE,THIERS,23,3,11,2,11,2,7,1
METZ,FABERT,8,0,1,0,1,0,0,0
MONTBONNOT,PUPILLES DE L'AIR,1,0,0,0,0,0,0,0
MONTPELLIER,JOFFRE,21,1,5,0,4,0,1,0
MULHOUSE,A. SCHWEITZER,1,0,0,0,0,0,0,0
NANCY,LORITZ,15,1,0,0,0,0,0,0
NANTES,GEORGES CLEMENCEAU,31,6,8,2,7,2,1,0
NICE,LES EUCALYPTUS,1,0,0,0,0,0,0,0
NICE,MASSENA,12,2,4,0,2,0,2,0
NIMES,ALPHONSE DAUDET,2,0,0,0,0,0,0,0
NOUMEA,JULES GARNIER,4,3,0,0,0,0,0,0
ORLEANS,POTHIER,12,3,5,0,4,0,0,0
ORSAY,BLAISE PASCAL,11,1,1,0,1,0,1,0
PARIS 05,LOUIS LE GRAND,33,8,23,5,23,5,9,2
PARIS 06,SAINT LOUIS,106,23,40,7,36,6,15,1
PARIS 06,STANISLAS,27,2,7,0,7,0,1,0
PARIS 08,CHAPTAL,33,2,8,0,6,0,0,0
PARIS 08,SAINTE MARIE FENELON,22,2,0,0,0,0,0,0
PARIS 09,CONDORCET,25,5,9,2,8,2,1,0
PARIS 09,JACQUES DECOUR,22,10,1,0,1,0,0,0
PARIS 12,PAUL VALERY,7,0,1,0,0,0,0,0
PARIS 13,ENCPB,6,2,0,0,0,0,0,0
PARIS 14,RASPAIL,1,0,0,0,0,0,0,0
PARIS 15,BUFFON,17,2,0,0,0,0,0,0
PARIS 15,OURANIA,1,0,0,0,0,0,0,0
PARIS 16,JANSON DE SAILLY,33,3,8,0,6,0,1,0
PARIS 16,JEAN BAPTISTE SAY,27,6,2,0,2,0,1,0
PERPIGNAN,F. ARAGO,4,1,0,0,0,0,0,0
POINTE A PITRE,BAIMBRIDGE,2,0,1,0,0,0,0,0
POITIERS,CAMILLE GUERIN,2,0,0,0,0,0,0,0
QUIMPER,LYCEE BRIZEUX,2,1,0,0,0,0,0,0
REIMS,FRANKLIN ROOSEVELT,3,0,0,0,0,0,0,0
RENNES,CHATEAUBRIAND,16,2,5,1,3,0,2,0
RENNES,JOLIOT CURIE,9,4,0,0,0,0,0,0
ROUEN,CORNEILLE,11,0,5,0,4,0,1,0
SAINT MAUR LES FOSSES,D'ARSONVAL,2,0,0,0,0,0,0,0
SAINT MAUR LES FOSSES,MARCELIN BERTHELOT,42,8,5,0,4,0,1,0
SAINT-BRIEUC,RABELAIS,3,1,0,0,0,0,0,0
SAINT-DENIS,PAUL ELUARD,1,1,0,0,0,0,0,0
SAINTE CLOTILDE,LECONTE DE LISLE,4,1,1,1,1,1,1,1
SAINT-ETIENNE,E. MIMARD,2,0,0,0,0,0,0,0
SCEAUX,LAKANAL,18,3,6,0,5,0,2,0
ST CYR L'ECOLE,LYCEE MILITAIRE,1,0,0,0,0,0,0,0
ST GERMAIN EN LAYE,JEANNE D'ALBRET,1,0,0,0,0,0,0,0
STRASBOURG,COUFFIGNAL,6,1,0,0,0,0,0,0
STRASBOURG,KLEBER,19,3,7,2,6,1,1,0
STRASBOURG,ORT FRANCE,6,1,1,0,0,0,0,0
TANGER,CENTRE PEDAGOGIQUE REGION,1,0,0,0,0,0,0,0
TOULON,DUMONT D'URVILLE,4,0,1,0,1,0,1,0
TOULOUSE,BELLEVUE,6,2,0,0,0,0,0,0
TOULOUSE,DEODAT DE SEVERAC,20,3,2,0,2,0,1,0
TOULOUSE,PIERRE DE FERMAT,35,10,21,5,18,5,4,1
TOURS,DESCARTES,8,1,2,0,1,0,1,0
