ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,VAUVENARGUES,41,7,38,6,31,3,0,0
AJACCIO,LAETITIA BONAPARTE,22,7,13,3,12,3,0,0
ANGERS,CHARLES DE FOUCAULD,21,1,11,1,11,1,1,1
ANGERS,CHEVROLLIER,28,4,19,3,18,3,1,0
ARGONAY,LACHENAL,25,1,19,1,19,1,8,0
ARMENTIERES,GUSTAVE EIFFEL,40,4,29,2,23,2,3,0
AUBERVILLIERS,LE CORBUSIER,7,0,0,0,0,0,0,0
AVIGNON,P. DE GIRARD,20,0,11,0,10,0,2,0
BAIE-MAHAULT,CHARLES COEFFIN,23,4,2,0,1,0,0,0
BELFORT,RAOUL FOLLEREAU,25,1,9,0,5,0,2,0
BESANCON,JULES HAAG,21,2,14,1,9,1,4,1
BORDEAUX,GUSTAVE EIFFEL,62,10,55,10,45,9,4,0
BREST,LA CROIX ROUGE,25,0,8,0,7,0,3,0
BREST,VAUBAN,43,2,17,1,11,0,2,0
CACHAN,GUSTAVE EIFFEL,22,1,21,1,20,1,2,0
CAEN,DUMONT D'URVILLE,26,1,13,0,11,0,5,0
CHALON SUR SAONE,NIEPCE,22,2,11,2,10,2,1,0
CHALONS EN CHAMPAGNE,OEHMICHEN,11,2,4,1,3,1,1,0
CHAMPAGNE SUR SEINE,LA FAYETTE,18,1,8,0,7,0,3,0
CHAMPIGNY,LANGEVIN-WALLON,17,3,7,0,7,0,4,0
CLICHY,NEWTON - E.N.R.E.A.,26,1,8,0,6,0,1,0
CLUNY,DE CLUNY "LA PRAT'S",25,2,19,1,16,1,3,0
DIJON,GUSTAVE EIFFEL,32,2,19,1,16,1,4,1
DUNKERQUE,DE L'EUROPE,15,2,5,0,5,0,4,0
GRENOBLE,VAUCANSON,56,8,33,6,32,6,12,2
LE HAVRE,ROBERT SCHUMAN,15,2,9,2,9,2,4,1
LE MANS,GABRIEL TOUCHARD,33,4,22,2,18,2,3,1
LILLE,CESAR BAGGIO,52,2,26,0,23,0,0,0
LIMOGES,TURGOT,27,3,22,3,19,3,1,1
LYON,LA MARTINIERE,74,8,65,8,61,8,11,3
MARSEILLE,JEAN PERRIN,57,6,46,4,33,4,0,0
MASSY,PARC DE VILGENIS,16,2,13,2,12,2,6,2
MEAUX,PIERRE DE COUBERTIN,12,4,0,0,0,0,0,0
METZ,LOUIS CORMONTAIGNE,32,2,18,1,15,1,0,0
MONTLUCON,PAUL CONSTANS,11,1,9,1,9,1,0,0
MONTPELLIER,JEAN MERMOZ,25,3,23,3,23,3,3,1
NANCY,LORITZ,35,0,27,0,23,0,3,0
NANTES,EUGENE LIVET,54,0,46,0,41,0,7,0
NEVERS,JULES RENARD,18,1,16,0,16,0,3,0
NICE,LES EUCALYPTUS,72,9,42,6,41,6,0,0
NIMES,TECHNIQUE D'ETAT,33,3,23,2,21,2,4,0
NOGENT SUR OISE,MARIE CURIE,28,2,19,1,17,1,2,0
NOUMEA,JULES GARNIER,13,4,9,2,9,2,1,0
ORLEANS,B. FRANKLIN,29,4,18,3,12,2,2,0
PARIS 08,CHAPTAL,33,3,24,2,20,2,0,0
PARIS 11,DORIAN,22,0,15,0,14,0,3,0
PARIS 11,VOLTAIRE,38,9,14,3,13,3,3,3
PARIS 14,RASPAIL,49,5,24,3,21,2,1,0
PARIS 16,JEAN BAPTISTE SAY,22,3,21,3,17,2,2,1
POITIERS,LOUIS ARMAND,15,2,11,2,10,1,4,0
REIMS,FRANKLIN ROOSEVELT,29,0,16,0,10,0,2,0
RENNES,JOLIOT CURIE,34,1,29,0,18,0,1,0
ROUEN,BLAISE PASCAL,16,2,7,0,5,0,2,0
SAINT-ETIENNE,E. MIMARD,37,2,13,0,10,0,5,0
STRASBOURG,COUFFIGNAL,51,4,37,2,32,2,11,1
TARBES,JEAN DUPUY,24,1,12,0,10,0,2,0
THIERS,TECHNIQUE D'ETAT,26,1,20,1,17,0,3,0
TOULON,M. ROUVIERE,27,3,22,2,20,1,2,0
TOULOUSE,DEODAT DE SEVERAC,37,4,26,3,22,3,3,0
TUNIS,IPEI El Manar,3,0,0,0,0,0,0,0
VALENCIENNES,DU HAINAUT,7,1,2,1,2,1,0,0
VANNES,LESAGE,29,0,22,0,12,0,5,0
VERSAILLES,JULES FERRY,52,3,36,3,33,3,5,0
VIERZON,HENRI BRISSON,22,0,9,0,8,0,3,0
VOIRON,F. BUISSON,22,3,15,2,14,2,1,0
