ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,VAUVENARGUES,36,7,11,1,10,1,2,0
AJACCIO,LAETITIA BONAPARTE,15,2,1,0,0,0,0,0
ANGERS,CHARLES DE FOUCAULD,6,1,1,0,1,0,1,0
ANGERS,CHEVROLLIER,15,4,3,0,3,0,1,0
ARGONAY,LACHENAL,14,1,5,1,5,1,3,1
ARMENTIERES,GUSTAVE EIFFEL,25,2,4,0,3,0,0,0
AUBERVILLIERS,LE CORBUSIER,5,0,0,0,0,0,0,0
AVIGNON,P. DE GIRARD,14,0,1,0,0,0,0,0
BAIE-MAHAULT,CHARLES COEFFIN,10,1,0,0,0,0,0,0
BELFORT,RAOUL FOLLEREAU,11,0,2,0,1,0,1,0
BESANCON,JULES HAAG,7,1,0,0,0,0,0,0
BORDEAUX,GUSTAVE EIFFEL,46,7,10,2,7,2,3,0
BREST,LA CROIX ROUGE,6,0,1,0,1,0,1,0
BREST,VAUBAN,20,2,0,0,0,0,0,0
CACHAN,GUSTAVE EIFFEL,28,2,6,1,5,1,3,1
CAEN,DUMONT D'URVILLE,14,1,4,0,4,0,3,0
CHALON SUR SAONE,NIEPCE,10,2,0,0,0,0,0,0
CHALONS EN CHAMPAGNE,OEHMICHEN,5,0,1,0,1,0,1,0
CHAMPAGNE SUR SEINE,LA FAYETTE,5,0,0,0,0,0,0,0
CHAMPIGNY,LANGEVIN-WALLON,10,1,0,0,0,0,0,0
CLICHY,NEWTON - E.N.R.E.A.,13,1,0,0,0,0,0,0
CLUNY,DE CLUNY "LA PRAT'S",19,2,4,0,4,0,1,0
DIJON,GUSTAVE EIFFEL,6,0,2,0,2,0,0,0
DUNKERQUE,DE L'EUROPE,3,0,0,0,0,0,0,0
GRENOBLE,VAUCANSON,42,7,13,1,12,1,1,0
LE HAVRE,ROBERT SCHUMAN,9,1,1,0,1,0,1,0
LE MANS,GABRIEL TOUCHARD,25,1,5,0,5,0,4,0
LILLE,CESAR BAGGIO,41,1,5,0,5,0,2,0
LIMOGES,TURGOT,19,3,5,0,5,0,2,0
LYON,LA MARTINIERE,69,8,27,4,25,4,11,1
MARSEILLE,JEAN PERRIN,62,7,19,2,19,2,5,1
MASSY,PARC DE VILGENIS,14,2,0,0,0,0,0,0
MEAUX,PIERRE DE COUBERTIN,2,1,0,0,0,0,0,0
METZ,LOUIS CORMONTAIGNE,17,1,2,0,2,0,0,0
MONTLUCON,PAUL CONSTANS,6,0,1,0,1,0,0,0
MONTPELLIER,JEAN MERMOZ,25,2,9,1,8,1,2,0
NANCY,LORITZ,17,1,2,0,2,0,0,0
NANTES,EUGENE LIVET,49,0,10,0,10,0,6,0
NEVERS,JULES RENARD,12,0,6,0,6,0,3,0
NICE,LES EUCALYPTUS,55,7,5,0,3,0,3,0
NIMES,TECHNIQUE D'ETAT,20,1,1,0,1,0,1,0
NOGENT SUR OISE,MARIE CURIE,24,2,3,1,3,1,3,1
NOUMEA,JULES GARNIER,12,4,4,1,4,1,3,1
ORLEANS,B. FRANKLIN,13,2,1,0,1,0,0,0
PARIS 08,CHAPTAL,36,3,3,0,2,0,0,0
PARIS 11,DORIAN,12,0,0,0,0,0,0,0
PARIS 11,VOLTAIRE,20,5,1,0,0,0,0,0
PARIS 14,RASPAIL,39,5,2,2,2,2,1,1
PARIS 16,JEAN BAPTISTE SAY,40,5,18,2,16,1,6,0
POITIERS,LOUIS ARMAND,6,1,1,0,1,0,1,0
REIMS,FRANKLIN ROOSEVELT,8,0,1,0,1,0,0,0
RENNES,JOLIOT CURIE,34,1,4,0,3,0,1,0
ROUEN,BLAISE PASCAL,9,1,1,0,1,0,0,0
SAINT-ETIENNE,E. MIMARD,13,1,3,0,2,0,0,0
STRASBOURG,COUFFIGNAL,22,0,9,0,7,0,1,0
TARBES,JEAN DUPUY,6,0,0,0,0,0,0,0
THIERS,TECHNIQUE D'ETAT,12,1,4,0,4,0,1,0
TOULON,M. ROUVIERE,19,2,3,0,3,0,1,0
TOULOUSE,DEODAT DE SEVERAC,26,4,3,1,3,1,0,0
TUNIS,IPEI El Manar,1,0,0,0,0,0,0,0
VALENCIENNES,DU HAINAUT,3,1,0,0,0,0,0,0
VANNES,LESAGE,20,0,2,0,1,0,0,0
VERSAILLES,JULES FERRY,42,2,10,0,8,0,5,0
VIERZON,HENRI BRISSON,8,0,0,0,0,0,0,0
VOIRON,F. BUISSON,9,1,4,1,4,1,2,0
