ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
AIX-EN-PROVENCE,VAUVENARGUES,9,1,0,0,0,0,0,0
AJACCIO,LAETITIA BONAPARTE,2,0,0,0,0,0,0,0
ANGERS,CHEVROLLIER,2,2,0,0,0,0,0,0
ARGONAY,LACHENAL,2,0,1,0,1,0,1,0
ARMENTIERES,GUSTAVE EIFFEL,6,1,2,0,2,0,2,0
AUBERVILLIERS,LE CORBUSIER,4,0,0,0,0,0,0,0
AVIGNON,P. DE GIRARD,2,0,0,0,0,0,0,0
BAIE-MAHAULT,CHARLES COEFFIN,4,0,0,0,0,0,0,0
BESANCON,JULES HAAG,3,0,0,0,0,0,0,0
BORDEAUX,GUSTAVE EIFFEL,12,0,0,0,0,0,0,0
BREST,LA CROIX ROUGE,3,0,0,0,0,0,0,0
BREST,VAUBAN,2,0,0,0,0,0,0,0
CACHAN,GUSTAVE EIFFEL,12,1,1,0,0,0,0,0
CAEN,DUMONT D'URVILLE,2,0,0,0,0,0,0,0
CHALON SUR SAONE,NIEPCE,1,1,0,0,0,0,0,0
CHAMPAGNE SUR SEINE,LA FAYETTE,2,0,0,0,0,0,0,0
CHAMPIGNY,LANGEVIN-WALLON,2,1,0,0,0,0,0,0
CLICHY,NEWTON - E.N.R.E.A.,3,0,0,0,0,0,0,0
CLUNY,DE CLUNY "LA PRAT'S",6,0,0,0,0,0,0,0
DIJON,GUSTAVE EIFFEL,1,0,1,0,0,0,0,0
GRENOBLE,VAUCANSON,7,0,1,0,1,0,1,0
LE MANS,GABRIEL TOUCHARD,5,0,0,0,0,0,0,0
LILLE,CESAR BAGGIO,8,0,1,0,0,0,0,0
LIMOGES,TURGOT,1,0,1,0,1,0,0,0
LYON,LA MARTINIERE,13,1,1,0,0,0,0,0
MARSEILLE,JEAN PERRIN,15,1,4,0,2,0,2,0
MASSY,PARC DE VILGENIS,1,0,0,0,0,0,0,0
MEAUX,PIERRE DE COUBERTIN,1,1,0,0,0,0,0,0
METZ,LOUIS CORMONTAIGNE,6,0,0,0,0,0,0,0
MONTLUCON,PAUL CONSTANS,1,0,1,0,0,0,0,0
MONTPELLIER,JEAN MERMOZ,10,0,1,0,1,0,1,0
NANCY,LORITZ,4,0,0,0,0,0,0,0
NANTES,EUGENE LIVET,8,0,2,0,2,0,2,0
NEVERS,JULES RENARD,5,0,2,0,1,0,1,0
NICE,LES EUCALYPTUS,9,0,0,0,0,0,0,0
NIMES,TECHNIQUE D'ETAT,4,0,0,0,0,0,0,0
NOGENT SUR OISE,MARIE CURIE,2,1,1,0,0,0,0,0
NOUMEA,JULES GARNIER,7,1,0,0,0,0,0,0
ORLEANS,B. FRANKLIN,3,1,0,0,0,0,0,0
PARIS 08,CHAPTAL,10,1,0,0,0,0,0,0
PARIS 11,VOLTAIRE,9,2,0,0,0,0,0,0
PARIS 14,RASPAIL,6,0,0,0,0,0,0,0
PARIS 16,JEAN BAPTISTE SAY,17,2,1,0,1,0,1,0
POITIERS,LOUIS ARMAND,1,0,0,0,0,0,0,0
REIMS,FRANKLIN ROOSEVELT,3,0,1,0,0,0,0,0
RENNES,JOLIOT CURIE,5,0,1,0,0,0,0,0
ROUEN,BLAISE PASCAL,2,0,0,0,0,0,0,0
SAINT-ETIENNE,E. MIMARD,2,0,0,0,0,0,0,0
STRASBOURG,COUFFIGNAL,3,0,0,0,0,0,0,0
TARBES,JEAN DUPUY,2,0,0,0,0,0,0,0
THIERS,TECHNIQUE D'ETAT,1,0,0,0,0,0,0,0
TOULON,M. ROUVIERE,3,0,0,0,0,0,0,0
TOULOUSE,DEODAT DE SEVERAC,4,1,0,0,0,0,0,0
VANNES,LESAGE,3,0,1,0,1,0,1,0
VERSAILLES,JULES FERRY,8,0,0,0,0,0,0,0
VIERZON,HENRI BRISSON,3,0,0,0,0,0,0,0
VOIRON,F. BUISSON,1,0,0,0,0,0,0,0
