ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
ALBI,RASCOL,24,1,23,1,21,1,9,1
ALES,J.B. DUMAS,27,0,16,0,12,0,8,0
AMIENS,EDOUARD BRANLY,16,1,4,0,3,0,2,0
AULNAY SOUS BOIS,VOILLAUME,9,0,6,0,4,0,2,0
BRIVE,GEORGES CABANIS,30,2,19,0,17,0,5,0
CACHAN,GUSTAVE EIFFEL,25,0,18,0,17,0,11,0
CHAMBERY,MONGE,28,0,26,0,20,0,6,0
CLERMONT-FERRAND,LA FAYETTE,21,3,18,2,15,1,8,1
COLMAR,BLAISE PASCAL,16,0,13,0,11,0,6,0
DIJON,GUSTAVE EIFFEL,29,2,23,2,22,1,11,0
FORT DE FRANCE,POINTE DE NEGRES,11,0,0,0,0,0,0,0
LA ROCHELLE,LEONCE VIELJEUX,33,2,32,2,32,2,24,1
LORIENT,SAINT-JOSEPH,23,0,20,0,16,0,9,0
LYON,EDOUARD BRANLY,26,2,24,2,20,2,10,1
MARSEILLE,ANTONIN ARTAUD,27,0,22,0,20,0,6,0
METZ,LOUIS VINCENT,27,3,23,3,20,3,14,3
MOHAMMEDIA,CPGE LNTA,13,1,2,0,0,0,0,0
MONTBELIARD,JULES VIETTE,20,1,20,1,19,1,14,1
PARIS 14,RASPAIL,26,3,24,3,18,2,3,0
PAU,SAINT CRICQ,17,0,17,0,13,0,9,0
RABAT,ENSET de RABAT,5,0,2,0,0,0,0,0
RUEIL-MALMAISON,POLYVALENT RICHELIEU,20,0,20,0,16,0,2,0
SAFI,AL KHAWARIZMI TECHNIQUE,3,0,1,0,0,0,0,0
SAINT-BRIEUC,CHAPTAL,20,0,19,0,19,0,10,0
SAINT-NAZAIRE,ARISTIDE BRIAND,23,0,18,0,11,0,4,0
SOTTEVILLE-LES-ROUEN,MARCEL SEMBAT,23,2,15,0,13,0,7,0
ST OUEN L'AUMONE,JEAN PERRIN,31,3,23,1,15,0,10,0
TOULON,M. ROUVIERE,31,0,29,0,24,0,16,0
TOURCOING,COLBERT,16,1,15,1,11,1,4,1
TROYES,DES LOMBARDS,23,3,20,3,17,3,10,3
VALENCIENNES,DU HAINAUT,27,0,19,0,12,0,3,0
