ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
ALBI,RASCOL,24,1,22,1,18,1,9,0
ALES,J.B. DUMAS,25,0,12,0,10,0,3,0
AMIENS,EDOUARD BRANLY,15,1,9,0,5,0,2,0
AULNAY SOUS BOIS,VOILLAUME,9,0,1,0,1,0,0,0
BRIVE,GEORGES CABANIS,29,2,10,0,6,0,2,0
CACHAN,GUSTAVE EIFFEL,25,0,11,0,5,0,2,0
CHAMBERY,MONGE,23,0,15,0,9,0,5,0
CLERMONT-FERRAND,LA FAYETTE,20,3,15,1,9,0,5,0
COLMAR,BLAISE PASCAL,7,0,7,0,6,0,6,0
DIJON,GUSTAVE EIFFEL,25,2,17,1,9,0,2,0
FORT DE FRANCE,POINTE DE NEGRES,6,0,0,0,0,0,0,0
LA ROCHELLE,LEONCE VIELJEUX,33,2,30,2,17,1,4,0
LORIENT,SAINT-JOSEPH,23,0,21,0,17,0,1,0
LYON,EDOUARD BRANLY,26,2,21,2,16,1,3,0
MARSEILLE,ANTONIN ARTAUD,27,0,18,0,10,0,6,0
METZ,LOUIS VINCENT,21,1,15,1,10,0,6,0
MOHAMMEDIA,CPGE LNTA,17,0,2,0,1,0,1,0
MONTBELIARD,JULES VIETTE,20,1,17,1,15,1,2,0
PARIS 14,RASPAIL,29,3,22,3,13,2,8,1
PAU,SAINT CRICQ,17,0,15,0,8,0,2,0
RABAT,ENSET de RABAT,4,0,0,0,0,0,0,0
RUEIL-MALMAISON,POLYVALENT RICHELIEU,20,0,18,0,14,0,7,0
SAFI,AL KHAWARIZMI TECHNIQUE,18,1,2,0,2,0,2,0
SAINT-BRIEUC,CHAPTAL,17,0,11,0,10,0,5,0
SAINT-NAZAIRE,ARISTIDE BRIAND,22,0,16,0,8,0,2,0
SOTTEVILLE-LES-ROUEN,MARCEL SEMBAT,14,0,7,0,5,0,2,0
ST OUEN L'AUMONE,JEAN PERRIN,31,3,18,0,12,0,5,0
TOULON,M. ROUVIERE,31,0,17,0,13,0,5,0
TOURCOING,COLBERT,15,0,6,0,4,0,3,0
TROYES,DES LOMBARDS,20,3,19,2,9,2,4,0
VALENCIENNES,DU HAINAUT,27,0,9,0,7,0,6,0
