ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
AGADIR,REDA SLAOUI (99926811),4,3,0,0,0,0,0,0
Amiens,Louis Thuillier (0800009A),42,26,24,14,22,13,12,9
Angers,LEGTA Angers le Fresne (0490946M),31,20,17,11,15,10,12,8
Arras,Robespierre (0620006V),30,16,8,4,7,3,4,1
AUZEVILLE TOLOSANE,LEGTA Toulouse Auzeville (0311262D),27,18,26,17,22,14,16,11
Bizerte,IPEI (16200011),3,0,0,0,0,0,0,0
Bordeaux,Michel Montaigne (0330021U),68,46,46,32,45,31,32,20
Caen,Malherbe (0140013N),64,37,51,29,45,23,27,11
Clermont-Ferrand,Blaise Pascal (0630018C),33,20,32,19,31,19,22,15
Dijon,Lycée Carnot (0210015C),35,22,25,16,24,16,23,15
Douai,Albert Chatelet (0590063Y),31,22,22,14,17,10,10,5
Fontainebleau,Francois Ier (0770927P),34,21,22,15,21,15,17,13
Grenoble,Champollion (0380027Y),69,49,58,41,53,37,33,25
KENITRA,IBN EL WAFID (99948211),6,4,0,0,0,0,0,0
Le Raincy,Albert Schweitzer (0930830X),16,13,7,6,6,5,5,4
Lempdes,Lycée Louis Pasteur (0630984C),21,13,20,12,20,12,14,8
Lille,Faidherbe (0590119J),65,38,49,27,48,26,29,17
Lyon,Assomption Bellevue (0690539L),27,17,15,8,11,6,6,4
Lyon,La Martiniere Monplaisir (0692866R),36,24,34,22,31,20,19,11
Lyon,Lycée du Parc (0690026D),93,73,90,70,88,68,60,46
Marseille,Thiers (0130040Y),90,64,64,47,57,42,38,30
Metz,LYCEE Georges de La Tour (0572757M),37,24,24,14,23,13,12,8
Montargis,LEGTA Le Chesnoy - Les Barres (0450094H),23,15,12,5,11,4,7,3
Montpellier,Joffre (0340038G),40,25,31,21,31,21,27,18
Nancy,Henri Poincaré (0540038Y),53,28,42,21,41,21,24,11
Nantes,Externat Enfants Nantais (0440160K),29,19,18,13,15,10,13,9
Nantes,Lycée CLEMENCEAU (0440021J),76,57,65,50,62,48,40,29
Nice,Massena (0060030A),35,25,28,20,23,15,12,8
Orléans,Pothier (0450049J),40,27,37,25,31,22,29,20
Paris 5e,Henri IV (0750654D),36,20,34,18,34,18,16,12
Paris 6e,Fénelon (0750660K),38,31,34,27,32,27,28,24
Paris 6e,Saint-Louis (0750658H),122,89,105,76,103,74,70,53
Paris 8e,Chaptal (0750663N),60,40,41,25,37,23,29,18
Paris 13e,Ecole Nationale Chimie Physique Biologie (0750685M),30,25,24,20,24,20,19,15
Paris 13e,Geoffroy Saint-Hilaire (0752456M),50,28,6,3,3,2,1,0
Paris 16e,Janson De Sailly (0750699C),84,51,65,39,63,39,52,30
Paris 16e,Jean-Baptiste Say (0750700D),36,21,25,13,23,13,17,10
Pau,Louis Barthou (0640055M),33,19,21,14,21,14,10,6
Pointe-à-Pitre,L.G.T.Baimbridge (9710003B),21,18,7,6,7,6,6,5
Poitiers,Camille Guérin (0860035W),72,43,52,31,44,26,31,19
Reims,CLEMENCEAU (0510031G),41,29,29,20,26,19,19,13
Rennes,Francois René De Chateaubriand (0350710G),87,56,77,50,65,43,51,34
Rouen,Pierre Corneille (0760090K),35,21,23,14,22,14,17,10
Saint-Etienne,Claude Fauriel (0420041S),31,18,28,16,27,15,19,11
Saint-Maur-Des-Fosses,Marcelin Berthelot (0940120V),98,65,72,51,66,46,43,32
Sceaux,Lakanal (0920145H),68,46,47,32,41,28,27,18
Strasbourg,Jean Rostand (0670084C),29,19,26,16,24,15,21,14
Toulouse,Ozenne (0310047H),34,23,21,15,20,14,11,7
Toulouse,Pierre De Fermat (0310036W),76,50,73,47,68,44,49,31
Tours,Descartes (0370035M),40,30,32,24,31,23,17,13
TUNIS,I.P.E.I.T (99922211),1,0,0,0,0,0,0,0
Versailles,Hoche (0782562L),75,54,60,41,55,37,42,29
Versailles,Sainte Geneviève (0783053V),36,20,34,20,34,20,28,16
