ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Vauvenargues (0130003H),4,1,0,0,0,0,0,0
Angers,Chevrollier (0490003M),2,1,2,1,1,0,1,0
ARGONAY,Lycée Louis Lachenal (0740006E),4,0,0,0,0,0,0,0
Armentières,Gustave Eiffel (0590011S),5,0,0,0,0,0,0,0
Aubervilliers,Le Corbusier (0930117X),1,0,0,0,0,0,0,0
Avignon,Philippe de Girard (0840005Z),4,1,0,0,0,0,0,0
Baie-Mahault,Charles Coeffin (9711032V),3,1,0,0,0,0,0,0
Belfort,Raoul Follereau (0900004R),1,0,0,0,0,0,0,0
Besançon,Jules Haag (0250011B),3,0,0,0,0,0,0,0
Bordeaux,Gustave Eiffel (0330028B),20,0,1,0,0,0,0,0
Brest,La Croix Rouge (0290335G),1,0,0,0,0,0,0,0
Brest,Vauban (0290012F),7,0,0,0,0,0,0,0
Cachan,Gustave Eiffel (0940111K),15,2,0,0,0,0,0,0
Caen,Jules Dumont d'Urville (0142131R),3,0,0,0,0,0,0,0
Châlons-en-Champagne,Etienne Oehmichen (0510007F),2,0,0,0,0,0,0,0
Chalon-Sur-Saône,Nicephore Niepce (0710012C),7,0,1,0,1,0,0,0
Champagne-Sur-Seine,La Fayette (0770920G),1,0,0,0,0,0,0,0
Champigny-Sur-Marne,Langevin-Wallon (0940113M),1,1,0,0,0,0,0,0
Clichy,Newton-Enrea (0920136Y),4,0,0,0,0,0,0,0
Cluny,Lycée La Prat's (0710023P),1,1,0,0,0,0,0,0
Dijon,Gustave Eiffel (0211033J),4,2,0,0,0,0,0,0
Dunkerque,De L'Europe (0590072H),4,0,0,0,0,0,0,0
Grenoble,Vaucanson (0380033E),16,1,0,0,0,0,0,0
Le Mans,Gabriel Touchard (0720033V),3,0,1,0,1,0,1,0
Lille,Cesar Baggio (0590121L),7,0,0,0,0,0,0,0
Limoges,LycéeTurgot (0870056N),4,0,0,0,0,0,0,0
Lyon,La Martiniere Monplaisir (0692866R),13,2,1,0,1,0,1,0
Marseille,Jean Perrin (0130053M),14,1,1,0,0,0,0,0
Massy,Parc de Vilgenis (0910727W),3,0,1,0,0,0,0,0
Meaux,Pierre De Coubertin (0770931U),2,1,0,0,0,0,0,0
Metz,Louis De Cormontaigne (0573227Y),8,0,0,0,0,0,0,0
Montpellier,Lycée Jean Mermoz (0340042L),8,0,1,0,1,0,1,0
Nancy,Henri Loritz (0540042C),4,0,0,0,0,0,0,0
Nantes,Livet (0440029T),18,1,1,0,0,0,0,0
Nevers,Jules Renard (0580031U),8,2,0,0,0,0,0,0
Nice,LGT Les Eucalyptus (0060075Z),17,0,1,0,0,0,0,0
Nimes,Dhuoda (0300026R),3,1,0,0,0,0,0,0
Nogent sur Oise,Marie Curie (0600020W),11,1,1,0,0,0,0,0
Orléans,Benjamin Franklin (0450051L),2,0,0,0,0,0,0,0
Paris 8e,Chaptal (0750663N),9,0,0,0,0,0,0,0
Paris 11e,Dorian (0750676C),2,0,0,0,0,0,0,0
Paris 11e,Voltaire (0750675B),4,2,0,0,0,0,0,0
Paris 14e,Raspail (0750691U),11,0,0,0,0,0,0,0
Paris 16e,Jean-Baptiste Say (0750700D),22,2,3,0,3,0,2,0
Poitiers,Louis Armand (0860037Y),2,0,0,0,0,0,0,0
Rennes,Joliot-Curie (0350029S),5,0,1,0,1,0,1,0
SAINT DENIS,LYCEE LISLET-GEOFFROY (9740054R),1,1,0,0,0,0,0,0
Saint-Etienne,Etienne Mimard (0420046X),2,0,0,0,0,0,0,0
Saint-Sylvain-D'Anjou,St Julien La Baronnerie (0490888Z),1,0,0,0,0,0,0,0
Strasbourg,Louis Couffignal (0670085D),7,0,1,0,1,0,1,0
Tarbes,Jean Dupuy (0650027B),2,0,0,0,0,0,0,0
Toulon,Lycée Rouvière (0830056K),9,0,1,0,1,0,1,0
Toulouse,Déodat de Séverac (0310044E),8,2,2,0,1,0,1,0
Valenciennes,Du Hainaut (0590223X),6,1,0,0,0,0,0,0
Versailles,Jules Ferry (0782565P),19,1,0,0,0,0,0,0
Vierzon,Lycée Henri Brisson (0180036S),1,0,0,0,0,0,0,0
Voiron,Ferdinand BUISSON (0380092U),4,0,0,0,0,0,0,0
