ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Albi,Lycée Louis Rascol (0810004P),26,4,26,4,25,4,7,1
Alès,Lycée Jean-Baptiste Dumas - C.T. (0300002P),18,1,17,1,15,1,6,0
Amiens,Lycée Edouard Branly (0801327H),19,1,13,1,9,0,1,0
Aubervilliers,Lycée Le Corbusier (0930117X),12,1,5,0,3,0,0,0
Brive-La-Gaillarde,Lycée Georges Cabanis (0190010H),28,2,25,1,23,1,15,0
Cachan,Lycée Gustave Eiffel (0940111K),26,1,22,1,16,1,10,1
Chambery,Lycée Monge (0730016W),23,1,21,1,17,1,9,0
Clermont-Ferrand,Lycée La Fayette (0630021F),26,1,26,1,23,1,18,0
Colmar,Lycée Blaise Pascal (0680010S),21,1,19,1,16,1,9,0
Dijon,Lycée Gustave Eiffel (0211033J),22,0,19,0,17,0,12,0
Fort-De-France,Lycée Pointe des Nègres (9720004X),11,0,3,0,2,0,0,0
La Rochelle,Lycée Léonce Vieljeux (0170029P),36,2,31,2,29,2,18,1
Lorient,Lycée St Joseph Lorient (0560181T),20,1,18,1,15,0,9,0
Lyon,Lycée Edouard Branly (0690128P),21,2,18,2,18,2,10,0
Marseille,Lycée Antonin Artaud (0132733A),24,0,22,0,22,0,12,0
Metz,Lycée Louis Vincent (0570058D),25,1,25,1,18,0,8,0
MOHAMMEDIA,LNTA (99927711),19,6,6,1,2,0,1,0
Montbéliard,Lycée Viette (0250032Z),23,1,22,1,16,1,7,0
OUJDA,Lycée Omar Ben Abdelaziz (99927611),10,0,7,0,1,0,0,0
Paris,Lycée Raspail (0750691U),37,4,34,4,25,2,12,0
Pau,Lycée Saint-Cricq (0640057P),23,1,23,1,20,1,11,0
RABAT,ENSET de Rabat (99947611),2,0,0,0,0,0,0,0
Rueil-Malmaison,Lycée Richelieu (0920799U),28,3,25,3,23,3,4,1
SAFI,Lycée Technique Al Khawarizmi (99929411),7,1,5,0,3,0,3,0
Saint-Brieuc,Lycée Chaptal (0220058U),22,2,17,2,16,2,11,2
Saint-Nazaire,Lycée Aristide Briand (0440069L),29,0,26,0,24,0,15,0
Saint-Ouen-L'Aumone,Lycée Jean Perrin (0951104J),30,0,28,0,26,0,19,0
Sotteville-Lès-Rouen,Lycée Marcel Sembat (0760110G),13,1,13,1,10,1,3,1
Toulon,Lycée Rouvière (0830056K),27,3,25,2,23,2,12,0
Tourcoing,Lycée Colbert (0590214M),26,3,24,2,19,2,10,2
Troyes,Lycée Les Lombards (0100025Y),21,0,14,0,13,0,4,0
Valenciennes,Lycée Du Hainaut (0590223X),22,1,18,1,14,1,4,0
