ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Militaire (0131596P),1,0,0,0,0,0,0,0
Aix-En-Provence,Lycée Paul Cezanne (0130002G),58,23,23,5,16,4,4,1
Albi,Lycée Laperouse (0810006S),1,0,0,0,0,0,0,0
Amiens,Lycée Louis Thuillier (0800009A),21,6,7,2,6,2,3,2
Angers,Lycée Henri Bergson (0491966W),9,1,3,1,3,1,3,1
Annecy,Lycée Berthollet (0740003B),42,11,9,0,6,0,2,0
Antony,Lycée Sainte Marie (0920904H),21,1,6,0,3,0,1,0
Arras,Lycée Robespierre (0620006V),4,2,0,0,0,0,0,0
Avignon,Lycée St Joseph (0840072X),11,4,1,0,1,0,0,0
Balma,Lycée Saliège (0312408Z),55,14,25,3,18,2,4,0
Bayonne,Lycée René Cassin (0640010N),18,6,10,1,7,1,1,0
Belfort,Lycée Condorcet (0900002N),1,0,0,0,0,0,0,0
Besançon,Lycée Victor Hugo (0250007X),22,11,7,0,5,0,1,0
Bordeaux,Lycée Camille Jullian (0330023W),21,8,6,1,2,0,0,0
Bordeaux,Lycée Michel Montaigne (0330021U),57,25,32,15,27,13,12,3
Bourg-En-Bresse,Lycée Lalande (0010013J),6,3,0,0,0,0,0,0
Bourges,Lycée Alain-Fournier (0180005H),1,1,0,0,0,0,0,0
Brest,Lycée de Kerichen (0290007A),24,6,6,3,5,3,1,1
Brest,Lycée Sainte Anne (0290338K),6,4,1,1,0,0,0,0
Caen,Lycée Privé Sainte-Marie (0141164P),7,2,0,0,0,0,0,0
Caen,Lycée Victor Hugo (0142059M),28,5,13,2,7,1,4,0
CASABLANCA,Lycée El Miza Center (99928411),1,0,0,0,0,0,0,0
Chartres,Lycée Marceau (0280007F),12,2,5,1,5,1,1,0
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),35,15,15,3,13,3,2,1
Compiègne,Lycée Pierre d'Ailly (0600014P),16,6,2,1,0,0,0,0
Corenc,ITEC Boisfleury Europe (0381675P),5,1,1,0,1,0,1,0
Dijon,Lycée Carnot (0210015C),29,7,10,0,5,0,1,0
Douai,Lycée Albert Chatelet (0590063Y),7,1,2,1,2,1,1,1
Dunkerque,Lycée Jean Bart (0590071G),7,4,1,1,1,1,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),3,1,1,0,0,0,0,0
Evreux,Lycée Aristide Briand (0270016W),17,5,1,0,1,0,0,0
Fontainebleau,Lycée Francois 1er (0770927P),13,5,2,1,1,1,1,1
Fort-De-France,Lycée Bellevue (9720003W),2,1,0,0,0,0,0,0
Grenoble,Lycée Champollion (0380027Y),59,20,30,11,24,9,10,3
La Flèche,Prytanée National Militaire (0720896H),1,0,0,0,0,0,0,0
La Rochelle,Lycée Jean Dautet (0170028N),8,1,3,0,2,0,0,0
La Roche-Sur-Yon,Lycée Saint Joseph (0850083D),1,1,0,0,0,0,0,0
La Roche-Sur-Yon,Pierre Mendes-France (0850025R),1,0,0,0,0,0,0,0
Le Havre,Lycée François 1er (0760052U),9,2,0,0,0,0,0,0
Le Mans,Lycée Montesquieu (0720029R),23,5,14,4,11,3,3,0
Le Raincy,Lycée Albert Schweitzer (0930830X),24,10,7,0,6,0,1,0
Lens,Lycée Condorcet (0620108F),4,1,0,0,0,0,0,0
Lille,Lycée Faidherbe (0590119J),49,14,14,3,12,2,5,1
Limoges,Lycée Gay-Lussac (0870015U),16,3,9,2,5,0,1,0
Lorient,Lycée Dupuy De Lôme (0560025Y),6,4,0,0,0,0,0,0
Lyon,Lycée Aux Lazaristes (0690522T),35,9,27,6,24,5,6,1
Lyon,Lycée du Parc (0690026D),100,25,75,20,64,13,13,4
Lyon,Lycée Jean Perrin (0690082P),16,2,2,0,0,0,0,0
