ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Militaire (0131596P),1,0,0,0,0,0,0,0
Aix-En-Provence,Lycée Paul Cezanne (0130002G),16,5,4,1,4,1,2,0
Amiens,Lycée Louis Thuillier (0800009A),3,2,1,0,1,0,1,0
Annecy,Lycée Berthollet (0740003B),16,3,4,0,2,0,1,0
Argonay,Lycée Louis Lachenal (0740006E),0,0,1,1,1,1,1,1
Avignon,Lycée St Joseph (0840072X),1,1,0,0,0,0,0,0
Balma,Lycée Saliège (0312408Z),19,2,3,0,3,0,0,0
Bayonne,Lycée René Cassin (0640010N),4,1,1,0,1,0,0,0
Belfort,Lycée Condorcet (0900002N),1,1,0,0,0,0,0,0
Besançon,Lycée Victor Hugo (0250007X),10,2,4,0,2,0,1,0
Bizerte,IPEIB (16200011),1,0,0,0,0,0,0,0
Bordeaux,Lycée Camille Jullian (0330023W),1,0,0,0,0,0,0,0
Bordeaux,Lycée Michel Montaigne (0330021U),27,14,6,3,5,3,3,3
Bourg-En-Bresse,Lycée Lalande (0010013J),1,1,0,0,0,0,0,0
Brest,Lycée de Kerichen (0290007A),2,1,1,1,0,0,0,0
Caen,Lycée Malherbe (0140013N),0,0,1,0,1,0,1,0
Caen,Lycée Privé Sainte-Marie (0141164P),1,0,0,0,0,0,0,0
Caen,Lycée Victor Hugo (0142059M),3,1,0,0,0,0,0,0
CASABLANCA,Lycée El Miza Center (99928411),1,0,0,0,0,0,0,0
CASABLANCA,Lycée Mohamed V (99926411),0,0,1,0,1,0,1,0
Chartres,Lycée Marceau (0280007F),3,1,0,0,0,0,0,0
Clermont-Ferrand,Lycée Blaise Pascal (0630018C),10,3,3,1,2,1,2,1
Compiègne,Lycée Pierre d'Ailly (0600014P),1,0,0,0,0,0,0,0
Corenc,ITEC Boisfleury Europe (0381675P),1,0,0,0,0,0,0,0
Dijon,Lycée Carnot (0210015C),9,3,1,0,0,0,0,0
Douai,Lycée Albert Chatelet (0590063Y),1,0,0,0,0,0,0,0
Dunkerque,Lycée Jean Bart (0590071G),1,0,0,0,0,0,0,0
Evreux,Lycée Aristide Briand (0270016W),1,0,1,0,1,0,1,0
FES,Lycée Moulay Idriss (99926711),0,0,2,0,2,0,2,0
Grenoble,Lycée Champollion (0380027Y),27,10,10,4,8,2,5,2
La Flèche,Prytanée National Militaire (0720896H),2,0,0,0,0,0,0,0
Le Havre,Lycée François 1er (0760052U),1,1,0,0,0,0,0,0
Le Mans,Lycée Montesquieu (0720029R),14,3,4,0,3,0,2,0
Le Raincy,Lycée Albert Schweitzer (0930830X),6,2,0,0,0,0,0,0
Lille,Lycée Faidherbe (0590119J),17,1,5,0,3,0,1,0
Limoges,Lycée Gay-Lussac (0870015U),6,1,2,0,1,0,0,0
Lyon,Lycée Aux Lazaristes (0690522T),20,4,9,2,7,2,3,1
Lyon,Lycée du Parc (0690026D),64,16,33,8,29,7,17,4
Lyon,Lycée La Martiniere Monplaisir (0692866R),11,2,3,0,3,0,1,0
Marseille,Lycée Thiers (0130040Y),29,13,11,4,7,3,2,2
Metz,Lycée Fabert (0570054Z),17,6,7,2,5,1,1,0
Montpellier,Lycée Joffre (0340038G),22,11,0,0,0,0,0,0
Mulhouse,Lycée Albert Schweitzer (0680031P),2,0,1,0,0,0,0,0
Nancy,Lycée Henri Poincaré (0540038Y),15,2,6,1,5,1,2,0
Nantes,Lycée Clémenceau (0440021J),29,6,12,1,10,1,6,1
Nantes,Lycée St Stanislas (0440163N),1,0,0,0,0,0,0,0
Neuilly-Sur-Seine,Lycée Louis Pasteur (0920142E),35,9,5,1,4,1,2,1
Nice,Lycée Massena (0060030A),19,4,6,2,3,1,3,1
Orléans,Lycée Pothier (0450049J),7,3,1,0,0,0,0,0
Orsay,Lycée Blaise Pascal (0910626L),14,5,0,0,0,0,0,0
OUJDA,Lycée Omar Ben Abdelaziz (99927611),0,0,1,0,1,0,1,0
Paris,Lycée Honoré De Balzac (0750705J),2,1,0,0,0,0,0,0
Paris,Lycée Jacques Decour (0750668U),13,0,3,0,2,0,1,0
Paris,Lycée Stanislas (0753840S),33,5,16,2,13,2,7,0
Paris 3e,Lycée Turgot (0750647W),1,1,0,0,0,0,0,0
Paris 4e,Lycée Charlemagne (0750652B),27,11,2,0,2,0,2,0
Paris 5e,Lycée Henri IV (0750654D),41,15,31,7,29,6,14,4
Paris 5e,Lycée Lavoisier (0750656F),5,3,0,0,0,0,0,0
Paris 5e,Lycée Louis Le Grand (0750655E),128,48,73,19,69,17,48,13
Paris 6e,Lycée Fénelon (0750660K),24,7,3,0,2,0,0,0
Paris 6e,Lycée Saint-Louis (0750658H),86,34,23,8,17,5,9,4
Paris 8e,Lycée Chaptal (0750663N),18,4,3,1,3,1,1,1
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),7,0,0,0,0,0,0,0
Paris 9e,Lycée Condorcet (0750667T),6,1,2,0,2,0,2,0
Paris 13e,ENCPB (0750685M),3,1,0,0,0,0,0,0
Paris 15e,Lycée Buffon (0750693W),15,3,0,0,0,0,0,0
Paris 16e,Lycée Janson de Sailly (0750699C),60,22,18,3,14,3,5,0
Paris 17e,Lycée Carnot (0750704H),4,2,0,0,0,0,0,0
Paris 4e,IPESUP (0753144K),19,2,2,0,2,0,0,0
Pau,Lycée Louis Barthou (0640055M),2,0,0,0,0,0,0,0
Perpignan,Lycée François Arago (0660010C),2,0,0,0,0,0,0,0
Poitiers,Lycée Camille Guérin (0860035W),9,4,0,0,0,0,0,0
Quimper,Lycée Auguste Brizeux (0290069T),1,1,0,0,0,0,0,0
RABAT,Lycée Moulay Youssef (99926611),0,0,3,0,3,0,3,0
Reims,Lycée F. Roosevelt (0510034K),5,3,2,2,2,2,1,1
Rennes,Lycée Chateaubriand (0350710G),25,6,6,1,5,0,3,0
Rennes,Lycée privé Assomption (0350778F),1,0,0,0,0,0,0,0
Rouen,Lycée Pierre Corneille (0760090K),38,8,13,3,11,3,6,0
Saint-Brieuc,Lycée Francois Rabelais (0220056S),1,0,0,0,0,0,0,0
Sainte-Clotilde,Lycée Leconte de Lisle (9740001H),2,0,0,0,0,0,0,0
Saint-Etienne,Lycée Claude Fauriel (0420041S),6,2,2,1,2,1,2,1
Saint-Germain-en-Laye,Lycée Jeanne D'Albret (0782132U),3,1,0,0,0,0,0,0
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),20,5,6,0,4,0,2,0
Savigny-Sur-Orge,Lycée Jean Baptiste Corot (0910627M),9,3,0,0,0,0,0,0
Sceaux,Lycée Lakanal (0920145H),36,11,12,1,12,1,7,1
Strasbourg,Lycée Kleber (0670080Y),25,5,8,2,7,2,4,1
Toulon,Lycée Dumont D'Urville (0830053G),3,0,0,0,0,0,0,0
Toulouse,Lycée Bellevue (0310038Y),9,3,3,1,1,1,1,1
Toulouse,Lycée Pierre de Fermat (0310036W),47,19,15,3,10,2,7,2
Tours,Lycée Descartes (0370035M),12,2,4,1,2,1,1,1
TUNIS,IPEST (99926211),22,10,5,1,3,0,3,0
TUNIS,Université de Tunis (35900002),1,0,0,0,0,0,0,0
Valbonne,C.I.V. Valbonne (0061642C),1,0,0,0,0,0,0,0
Valenciennes,Lycée Henri Wallon (0590221V),19,7,9,2,4,1,0,0
Vanves,Lycée Michelet (0920149M),12,3,0,0,0,0,0,0
Versailles,Lycée Hoche (0782562L),51,19,17,7,14,7,9,4
Versailles,Lycée Sainte Geneviève (0783053V),128,29,77,15,68,13,46,10
