ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Agadir,Lyce Reda Slaoui (99926811),11,10,0,0,0,0,0,0
Amiens,Lyce Louis Thuillier (0800009A),67,39,43,28,39,24,26,17
Angers,Lyce Angers le Fresne (0490946M),24,15,19,11,17,9,9,4
Arras,Lyce Robespierre (0620006V),29,18,15,10,12,7,6,3
Auzeville Tolosane,Lyce Toulouse Auzeville (0311262D),32,25,29,23,28,22,16,13
Bordeaux,Lyce Michel Montaigne (0330021U),76,58,64,49,62,47,43,29
Caen,Lyce Malherbe (0140013N),80,56,67,47,63,44,34,28
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),36,25,34,23,34,23,21,17
Dijon,Lyce Carnot (0210015C),33,24,26,20,24,19,20,16
Douai,Lyce Albert Chatelet (0590063Y),42,29,23,16,22,15,17,11
Fontainebleau,Lyce Franois 1er (0770927P),35,24,27,18,27,18,23,14
Grenoble,Lyce Champollion (0380027Y),84,61,66,51,62,48,43,33
Kenitra,Lyce Ibn El Wafid (99948211),5,3,0,0,0,0,0,0
La Mulatire,Lyce Assomption Bellevue (0690539L),34,24,14,11,13,10,11,9
Le Raincy,Lyce Albert Schweitzer (0930830X),21,16,10,8,10,8,8,6
Le Tampon,Lyce Roland Garros (9740002J),29,22,24,17,24,17,14,8
Lempdes,Lyce Marmilhat (0630984C),26,17,20,11,20,11,13,6
Lille,Lyce Faidherbe (0590119J),68,40,59,35,52,29,33,18
Lyon,Lyce du Parc (0690026D),109,73,102,68,98,65,71,47
Lyon,Lyce La Martinire Monplaisir (0692866R),39,25,31,20,30,20,21,13
Marseille,Lyce Thiers (0130040Y),128,93,99,72,91,66,64,48
Metz,Lyce Georges de La Tour (0572757M),30,22,18,16,16,15,12,12
Montargis,Lyce Le Chesnoy - Les Barres (0450094H),23,13,15,10,15,10,12,9
Montpellier,Lyce Joffre (0340038G),31,26,29,24,29,24,24,20
Nancy,Lyce Henri Poincar (0540038Y),66,44,48,32,45,31,33,22
Nantes,Externat des Enfants Nantais (0440160K),31,24,16,12,14,10,10,8
Nantes,Lyce Clmenceau (0440021J),81,56,77,53,73,52,60,42
Nice,Lyce Massena (0060030A),47,35,29,22,27,21,17,14
Orlans,Lyce Pothier (0450049J),42,35,37,31,36,30,22,19
Paris 5e,Lyce Henri IV (0750654D),36,29,33,27,33,27,19,15
Paris 6e,Lyce Fnelon (0750660K),40,32,39,32,36,29,29,22
Paris 6e,Lyce Saint-Louis (0750658H),127,103,121,100,120,99,86,75
Paris 8e,Lyce Chaptal (0750663N),80,49,50,30,48,28,36,20
Paris 13e,ENCPB (0750685M),31,18,28,16,28,16,21,13
Paris 13e,Lyce Geoffroy Saint-Hilaire (0752456M),26,15,7,5,6,4,6,4
Paris 16e,Lyce Janson de Sailly (0750699C),83,61,70,51,69,50,46,33
Paris 16e,Lyce Jean-Baptiste Say (0750700D),34,27,25,19,22,16,14,9
Pau,Lyce Louis Barthou (0640055M),36,26,20,14,17,12,10,8
Pointe--Pitre,L.G.T.Baimbridge (9710003B),22,17,5,4,5,4,4,3
Poitiers,Lyce Camille Gurin (0860035W),67,45,45,32,43,31,29,20
Reims,Lyce Clmenceau (0510031G),46,33,24,16,21,14,13,9
Rennes,Lyce Chateaubriand (0350710G),131,85,102,67,94,59,64,39
Rouen,Lyce Pierre Corneille (0760090K),38,25,34,22,33,21,24,14
Saint-Etienne,Lyce Claude Fauriel (0420041S),42,30,33,25,31,23,20,14
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),119,96,91,74,87,71,66,56
Sceaux,Lyce Lakanal (0920145H),85,61,73,53,72,52,50,33
Strasbourg,Lyce Jean Rostand (0670084C),40,32,36,30,34,28,25,21
Toulouse,Lyce Ozenne (0310047H),37,22,28,14,25,12,22,10
Toulouse,Lyce Pierre de Fermat (0310036W),91,67,83,62,81,60,54,38
Tours,Lyce Descartes (0370035M),46,32,37,27,36,26,25,20
Versailles,Lyce Hoche (0782562L),82,55,78,55,76,53,49,35
Versailles,Lyce Sainte Genevive (0783053V),40,26,40,26,40,26,31,20
