ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Agadir,Lyce Reda Slaoui (99926811),1,1,0,0,0,0,0,0
Amiens,Lyce Louis Thuillier (0800009A),40,25,20,13,8,5,2,1
Angers,Lyce Angers le Fresne (0490946M),17,11,13,8,11,7,6,5
Arras,Lyce Robespierre (0620006V),25,16,11,7,6,4,1,1
Auzeville Tolosane,Lyce Toulouse Auzeville (0311262D),9,6,8,6,4,3,2,1
Bordeaux,Lyce Michel Montaigne (0330021U),33,24,30,23,21,16,4,4
Caen,Lyce Malherbe (0140013N),37,23,26,15,24,14,8,4
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),7,3,5,3,3,1,2,1
Dijon,Lyce Carnot (0210015C),8,5,7,4,6,3,3,1
Douai,Lyce Albert Chatelet (0590063Y),21,11,7,4,5,4,2,2
Fontainebleau,Lyce Franois 1er (0770927P),11,7,4,2,1,1,1,1
Grenoble,Lyce Champollion (0380027Y),56,39,39,29,27,19,6,2
La Mulatire,Lyce Assomption Bellevue (0690539L),28,19,9,6,6,4,1,1
Le Raincy,Lyce Albert Schweitzer (0930830X),19,14,8,4,7,4,0,0
Le Tampon,Lyce Roland Garros (9740002J),12,7,8,5,7,4,1,1
Lempdes,Lyce Marmilhat (0630984C),6,3,4,1,3,1,1,0
Lille,Lyce Faidherbe (0590119J),15,7,11,5,8,3,4,1
Lyon,Lyce du Parc (0690026D),69,46,58,40,25,17,3,1
Lyon,Lyce La Martinire Monplaisir (0692866R),14,8,8,6,7,5,3,3
Marseille,Lyce Thiers (0130040Y),79,56,45,31,25,16,6,2
Metz,Lyce Georges de La Tour (0572757M),14,7,7,2,2,0,2,0
Montargis,Lyce Le Chesnoy - Les Barres (0450094H),12,6,5,2,2,1,1,0
Montpellier,Lyce Joffre (0340038G),15,13,9,8,3,3,0,0
Nancy,Lyce Henri Poincar (0540038Y),21,12,9,5,5,3,4,2
Nantes,Externat des Enfants Nantais (0440160K),15,13,9,7,6,5,2,2
Nantes,Lyce Clmenceau (0440021J),15,9,12,7,6,4,0,0
Nice,Lyce Massena (0060030A),19,16,10,9,10,9,2,2
Orlans,Lyce Pothier (0450049J),19,16,6,4,3,1,2,0
Paris 5e,Lyce Henri IV (0750654D),20,18,14,13,10,9,1,1
Paris 6e,Lyce Fnelon (0750660K),33,25,23,17,13,10,1,1
Paris 6e,Lyce Saint-Louis (0750658H),57,48,40,36,21,19,4,4
Paris 8e,Lyce Chaptal (0750663N),41,27,22,16,18,13,6,4
Paris 13e,ENCPB (0750685M),23,12,17,9,13,6,4,1
Paris 13e,Lyce Geoffroy Saint-Hilaire (0752456M),20,11,8,6,6,4,2,2
Paris 16e,Lyce Janson de Sailly (0750699C),48,35,30,22,14,10,3,1
Paris 16e,Lyce Jean-Baptiste Say (0750700D),15,10,6,2,4,1,2,0
Pau,Lyce Louis Barthou (0640055M),24,18,16,12,14,11,5,3
Pointe--Pitre,L.G.T.Baimbridge (9710003B),22,17,4,2,3,1,1,1
Poitiers,Lyce Camille Gurin (0860035W),22,11,14,9,8,4,2,1
Reims,Lyce Clmenceau (0510031G),33,21,14,6,8,3,5,3
Rennes,Lyce Chateaubriand (0350710G),56,34,35,23,20,14,12,9
Rouen,Lyce Pierre Corneille (0760090K),22,13,15,9,10,7,3,2
Saint-Etienne,Lyce Claude Fauriel (0420041S),27,21,20,16,7,5,3,1
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),58,40,39,28,16,11,1,1
Sceaux,Lyce Lakanal (0920145H),66,45,46,32,18,12,7,4
Strasbourg,Lyce Jean Rostand (0670084C),22,18,17,14,13,10,4,3
Toulouse,Lyce Ozenne (0310047H),18,11,12,5,10,5,1,0
Toulouse,Lyce Pierre de Fermat (0310036W),34,24,22,16,14,11,2,1
Tours,Lyce Descartes (0370035M),9,7,7,6,6,5,1,1
Versailles,Lyce Hoche (0782562L),44,27,37,22,23,15,5,3
Versailles,Lyce Sainte Genevive (0783053V),35,23,35,23,12,8,1,0
