ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Agadir,Etablissement Socrate (99698011),17,4,5,2,1,0,0,0
Agadir,Groupe scolaire Al Qalam (99693001),8,1,2,1,1,1,0,0
Agadir,Lyce Reda Slaoui (99926811),56,12,26,4,9,0,2,0
Aix-En-Provence,Lyce Militaire (0131596P),26,1,15,0,13,0,9,0
Aix-En-Provence,Lyce Paul Cezanne (0130002G),19,2,15,0,14,0,9,0
Amiens,Lyce Louis Thuillier (0800009A),56,12,46,11,32,6,19,5
Angers,Lyce Henri Bergson (0491966W),29,7,23,5,19,5,8,1
Angoulme,Lyce Guez De Balzac (0160002R),17,3,8,2,6,2,2,1
Annecy,Lyce Berthollet (0740003B),53,20,47,16,42,14,24,7
Antony,Lyce Sainte Marie (0920904H),33,6,27,4,25,4,11,1
Arras,Lyce Robespierre (0620006V),16,4,10,2,7,1,2,0
Autun,Lyce Militaire National (0711064W),16,1,11,0,11,0,8,0
Beni-Mella,Lyce Technique Mohamed V (99929811),18,6,6,2,2,0,1,0
Besanon,Lyce Victor Hugo (0250007X),74,16,64,15,57,14,22,6
Beyrouth,Ecole Suprieure d'ingnieurs (99926311),1,0,0,0,0,0,0,0
Bizerte,IPEIB (16200011),1,0,0,0,0,0,0,0
Blois,Lyce Dessaignes (0410002E),18,8,8,5,8,5,5,4
Bordeaux,Lyce Camille Jullian (0330023W),34,12,32,11,26,9,12,5
Bordeaux,Lyce Michel Montaigne (0330021U),95,33,80,26,61,17,20,5
Boulogne-Sur-Mer,Lyce Mariette (0622949U),26,7,15,3,14,3,7,2
Bourg-En-Bresse,Lyce Lalande (0010013J),26,5,16,4,12,2,5,1
Bourges,Lyce Alain-Fournier (0180005H),22,7,17,4,14,3,5,1
Bressuire,Lyce Saint Joseph (0790080H),14,2,3,1,2,1,1,0
Brest,Lyce de Kerichen (0290007A),65,22,53,17,39,13,11,2
Brest,Lyce Naval (0290063L),23,7,14,5,14,5,10,5
Brest,Lyce Sainte Anne (0290338K),13,6,10,4,8,3,7,3
Caen,Lyce Malherbe (0140013N),80,19,58,15,48,12,15,4
Casablanca,ECO SUP GALILEE (99927511),9,2,1,0,0,0,0,0
Casablanca,Etablissement Al Bilia (99696011),28,12,7,1,0,0,0,0
Casablanca,Groupe scolaire La Rsidence (3500055H),69,29,25,11,8,4,4,2
