ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Agadir,Etablissement Socrate (99698011),2,1,0,0,0,0,0,0
Aix-En-Provence,Lyce Militaire (0131596P),1,0,0,0,0,0,0,0
Aix-En-Provence,Lyce Paul Cezanne (0130002G),14,0,5,0,5,0,1,0
Amiens,Lyce Louis Thuillier (0800009A),36,6,15,2,13,2,7,0
Angers,Lyce Henri Bergson (0491966W),24,6,12,2,9,2,8,2
Angoulme,Lyce Guez De Balzac (0160002R),8,1,3,1,2,0,2,0
Annecy,Lyce Berthollet (0740003B),27,9,11,4,8,4,2,1
Antony,Lyce Sainte Marie (0920904H),19,4,12,3,11,3,4,1
Arras,Lyce Robespierre (0620006V),3,0,1,0,1,0,0,0
Autun,Lyce Militaire National (0711064W),5,0,0,0,0,0,0,0
Besanon,Lyce Victor Hugo (0250007X),48,9,34,4,28,3,14,1
Blois,Lyce Dessaignes (0410002E),4,1,2,1,2,1,0,0
Bordeaux,Lyce Camille Jullian (0330023W),16,5,9,2,8,2,4,2
Bordeaux,Lyce Michel Montaigne (0330021U),89,32,56,16,41,12,18,7
Boulogne-Sur-Mer,Lyce Mariette (0622949U),11,4,4,1,2,1,2,1
Bourg-En-Bresse,Lyce Lalande (0010013J),7,1,0,0,0,0,0,0
Bourges,Lyce Alain-Fournier (0180005H),10,3,4,2,2,1,0,0
Bressuire,Lyce Saint Joseph (0790080H),5,0,0,0,0,0,0,0
Brest,Lyce de Kerichen (0290007A),34,11,18,4,11,3,6,2
Brest,Lyce Naval (0290063L),3,1,2,1,1,1,0,0
Brest,Lyce Sainte Anne (0290338K),3,1,1,1,1,1,1,1
Caen,Lyce Malherbe (0140013N),58,14,27,9,21,7,10,3
Casablanca,Etablissement Al Bilia (99696011),5,1,0,0,0,0,0,0
Casablanca,Groupe scolaire La Rsidence (3500055H),18,8,0,0,0,0,0,0
Casablanca,Lyce El Miza Center (99928411),6,1,0,0,0,0,0,0
Casablanca,Lyce Mohamed V (99926411),41,9,7,1,4,1,2,1
Chambry,Lyce Vaugelas (0730013T),16,1,6,0,5,0,3,0
Chartres,Lyce Marceau (0280007F),22,4,9,1,8,1,3,1
Cherbourg-Octeville,Lyce Victor Grignard (0501828R),17,7,12,4,9,3,5,2
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),76,18,54,10,43,7,18,5
Clermont-Ferrand,Lyce Godefroy De Bouillon (0631068U),16,2,0,0,0,0,0,0
Clermont-Ferrand,Lyce La Fayette (0630021F),14,2,7,0,3,0,1,0
Compigne,Lyce Pierre d'Ailly (0600014P),3,0,2,0,2,0,1,0
Corenc,ITEC Boisfleury Europe (0381675P),4,0,1,0,0,0,0,0
Dijon,Lyce Carnot (0210015C),62,10,29,3,25,3,13,0
Douai,Lyce Albert Chatelet (0590063Y),15,3,7,2,4,0,3,0
Dunkerque,Lyce Jean Bart (0590071G),10,2,2,0,1,0,1,0
Enghien-Les-Bains,Lyce Gustave Monod (0950644J),16,1,4,0,4,0,0,0
Epinal,Lyce Claude Gellee (0880020U),8,3,4,1,1,1,1,1
Evry,Lyce Parc des Loges (0911251R),12,1,4,0,4,0,3,0
Fs,Etablissement Al Cachy (99695011),4,0,0,0,0,0,0,0
Fs,Lyce Moulay Idriss (99926711),11,1,4,0,3,0,1,0
Fontainebleau,Lyce Franois 1er (0770927P),15,3,10,1,8,1,5,1
Forbach,Lyce Jean Moulin (0570029X),12,2,2,0,1,0,0,0
Fort-De-France,Lyce Bellevue (9720003W),5,3,2,1,1,1,0,0
Grenoble,Lyce Champollion (0380027Y),63,13,35,5,27,3,9,1
Jarville-La-Malgrange,Lyce La Malgrange (0541986R),7,1,1,0,1,0,0,0
Khouribga,CPGE Ibn Abdoune (99699011),2,0,0,0,0,0,0,0
La Flche,Prytane National Militaire (0720896H),16,0,7,0,4,0,1,0
La Rochelle,Lyce Jean Dautet (0170028N),11,3,3,1,1,1,0,0
La Roche-Sur-Yon,Lyce Saint Joseph (0850083D),4,0,4,0,0,0,0,0
Le Havre,Lyce Franois 1er (0760052U),15,3,5,0,5,0,4,0
Le Mans,Lyce Montesquieu (0720029R),13,1,5,1,5,1,2,0
Le Raincy,Lyce Albert Schweitzer (0930830X),38,7,8,1,6,1,4,1
Lens,Lyce Condorcet (0620108F),1,0,0,0,0,0,0,0
Lille,Lyce Faidherbe (0590119J),99,26,54,9,44,7,13,1
Limoges,Lyce Gay-Lussac (0870015U),8,1,3,1,2,1,2,1
Lorient,Lyce Dupuy De Lme (0560025Y),8,3,4,2,4,2,1,1
Lyon,Lyce aux Lazaristes (0690522T),42,13,28,6,25,6,8,2
Lyon,Lyce du Parc (0690026D),127,30,95,20,81,20,22,9
Lyon,Lyce Jean Perrin (0690082P),12,2,3,0,2,0,0,0
Lyon,Lyce La Martinire Monplaisir (0692866R),48,10,27,6,23,4,7,2
Mantes-La-Jolie,Lyce Saint Exupry (0782539L),6,0,3,0,3,0,0,0
Marrakech,Lyce Ibnou Taimiya (99926511),1,1,0,0,0,0,0,0
Marrakech,Menara-Prpas (99928811),1,0,0,0,0,0,0,0
Marseille,Lyce Notre Dame de Sion (0131341M),19,4,7,1,2,1,1,0
Marseille,Lyce Thiers (0130040Y),108,27,61,13,47,10,22,3
Maubeuge,Lyce Notre-Dame De Grce (0592916Z),2,0,0,0,0,0,0,0
Mekns,Prpa - Sup Ibn Ghazi El Meknassi (99901121),1,0,0,0,0,0,0,0
Mekns,Lyce Omar Ibn El Khattab CPGE (99928611),2,1,0,0,0,0,0,0
Melun,Lyce Jacques Amyot (0770933W),18,3,5,2,4,1,3,0
Metz,Lyce Fabert (0570054Z),65,15,34,5,29,3,13,2
Mohammedia,Omar El Khayyam (99928911),2,1,0,0,0,0,0,0
Monastir,I.P.E.I (99949911),1,1,0,0,0,0,0,0
Montpellier,Lyce Joffre (0340038G),71,15,48,9,35,6,18,2
Montpellier,Lyce Notre Dame de La Merci (0340881Y),13,2,3,0,1,0,1,0
Mulhouse,Lyce Albert Schweitzer (0680031P),30,7,13,1,9,0,5,0
Nabeul,IPEIN (99950811),1,0,0,0,0,0,0,0
Nancy,Lyce Henri Poincar (0540038Y),65,15,43,10,32,8,7,2
Nantes,Lyce Clmenceau (0440021J),71,16,63,16,62,15,27,6
Nantes,Lyce Saint Stanislas (0440163N),32,4,10,1,10,1,6,1
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),62,14,49,10,45,9,23,6
Nice,Lyce Massena (0060030A),64,17,37,8,29,6,6,2
Nimes,Lyce Alphonse Daudet (0300021K),32,8,7,1,3,1,0,0
Nimes,Lyce Emmanuel d'Alzon (0300080Z),9,1,2,0,2,0,0,0
Orlans,Lyce Pothier (0450049J),74,17,41,10,38,10,12,4
Orlans,Lyce Saint Charles (0450110A),4,0,0,0,0,0,0,0
Orsay,Lyce Blaise Pascal (0910626L),43,10,38,8,35,7,21,4
Oujda,Lyce Omar Ben Abdelaziz (99927611),3,1,0,0,0,0,0,0
Paris,Lyce Jacques Decour (0750668U),30,7,4,0,3,0,0,0
Paris,Lyce Paul Valery (0750679F),33,7,8,1,6,0,2,0
Paris,Lyce Raspail (0750691U),1,0,1,0,0,0,0,0
Paris,Lyce Stanislas (0753840S),79,7,67,7,63,6,28,1
Paris 4e,Lyce Charlemagne (0750652B),81,23,63,15,49,10,19,2
Paris 5e,Lyce Henri IV (0750654D),85,24,71,21,58,19,12,3
Paris 5e,Lyce Louis Le Grand (0750655E),177,47,144,36,127,31,30,8
Paris 6e,Lyce Fnelon (0750660K),75,23,50,17,32,12,9,3
Paris 6e,Lyce Saint-Louis (0750658H),165,57,131,43,107,34,34,11
Paris 8e,Lyce Chaptal (0750663N),70,12,40,4,27,1,12,1
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),50,10,35,5,21,1,4,0
Paris 9e,Lyce Condorcet (0750667T),58,15,40,13,28,10,8,3
Paris 13e,ENCPB (0750685M),18,5,4,1,3,1,2,1
Paris 15e,Lyce Buffon (0750693W),33,7,18,3,16,3,9,1
Paris 16e,Lyce Claude Bernard (0750698B),21,5,7,1,2,0,1,0
Paris 16e,Lyce Janson de Sailly (0750699C),155,39,111,25,84,21,28,5
Pau,Lyce Louis Barthou (0640055M),31,5,12,4,8,3,1,0
Perpignan,Lyce Franois Arago (0660010C),15,2,8,1,5,0,2,0
Pointe--Pitre,L.G.T.Baimbridge (9710003B),15,7,1,1,1,1,1,1
Poitiers,Lyce Camille Gurin (0860035W),47,11,27,8,19,5,10,1
Pontoise,Lyce Camille Pissarro (0950649P),22,6,6,0,4,0,4,0
Rabat,Etablissement Al Atlas (99693011),2,1,0,0,0,0,0,0
Rabat,Lyce Ibn Al Ghazhi (99951011),5,2,0,0,0,0,0,0
Rabat,Lyce Moulay Youssef (99926611),22,5,3,1,2,1,0,0
Rabat,Lyce priv Al Khawarizmi CPGE (99928311),6,0,0,0,0,0,0,0
Reims,Lyce Clmenceau (0510031G),46,9,23,5,15,3,8,1
Rennes,Lyce Chateaubriand (0350710G),89,22,67,14,59,13,27,7
Roubaix,Lyce priv Saint Rmi (0592921E),5,0,1,0,1,0,1,0
Rouen,Lyce Pierre Corneille (0760090K),67,16,52,12,46,10,26,4
Saint-Brieuc,Lyce Francois Rabelais (0220056S),7,4,2,1,2,1,1,0
Saint-Cyr-L'Ecole,Lyce Militaire (0780015T),1,0,1,0,0,0,0,0
Saint-Denis,Lyce Paul Eluard (0930125F),12,3,0,0,0,0,0,0
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),25,8,11,3,8,2,1,0
Saint-Etienne,Lyce Claude Fauriel (0420041S),52,11,26,6,21,5,9,2
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),18,4,7,2,3,1,2,1
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),55,10,38,5,34,5,14,3
Savigny-Sur-Orge,Lyce Jean Baptiste Corot (0910627M),35,8,14,1,11,1,4,1
Sceaux,Lyce Lakanal (0920145H),31,2,17,1,16,1,7,0
Strasbourg,Lyce Kleber (0670080Y),119,26,75,15,65,12,25,5
Tanger,Centre Pdagogique Rgional (99926911),4,0,0,0,0,0,0,0
Toulon,Lyce Dumont D'Urville (0830053G),18,4,7,1,6,1,2,0
Toulouse,Lyce Bellevue (0310038Y),21,6,9,2,5,0,2,0
Toulouse,Lyce Pierre de Fermat (0310036W),117,19,99,17,85,14,37,7
Tours,Lyce Descartes (0370035M),60,14,28,5,24,2,6,0
Troyes,Lyce Chrestien De Troyes (0100022V),6,1,1,0,1,0,0,0
Tunis,IPEI El Manar (99951211),2,0,0,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),1,0,0,0,0,0,0,0
Tunis,IPEST (99926211),2,1,0,0,0,0,0,0
Valbonne,C.I.V. Valbonne (0061642C),15,6,6,3,5,3,4,2
Valence,Lyce Camille Vernet (0260035X),7,0,3,0,2,0,0,0
Valenciennes,Lyce Henri Wallon (0590221V),65,14,33,7,26,6,10,1
Vannes,Lyce Alain Ren Lesage (0560051B),10,2,5,1,1,0,0,0
Vanves,Lyce Michelet (0920149M),22,5,15,2,12,2,9,1
Versailles,Lyce Hoche (0782562L),76,24,72,22,66,19,27,10
Versailles,Lyce Sainte Genevive (0783053V),114,26,99,20,96,20,26,7
