ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Agadir,Etablissement Socrate (99698011),24,8,12,4,9,4,3,2
Agadir,Groupe scolaire Al Qalam (99693001),21,2,11,1,6,0,4,0
Agadir,Lyce Reda Slaoui (99926811),27,11,11,5,6,2,2,0
Aix-En-Provence,Lyce Militaire (0131596P),11,1,5,0,2,0,0,0
Aix-En-Provence,Lyce Paul Cezanne (0130002G),18,2,18,2,17,1,3,1
Amiens,Lyce Louis Thuillier (0800009A),33,6,25,4,21,4,6,1
Angers,Lyce Henri Bergson (0491966W),26,6,24,6,23,6,5,3
Angoulme,Lyce Guez De Balzac (0160002R),16,2,13,2,9,2,3,1
Annecy,Lyce Berthollet (0740003B),29,12,26,12,20,9,3,2
Antony,Lyce Sainte Marie (0920904H),24,5,24,5,23,5,4,0
Arras,Lyce Robespierre (0620006V),13,3,12,3,8,1,5,0
Autun,Lyce Militaire National (0711064W),6,0,2,0,2,0,0,0
Beni-Mella,Lyce Technique Mohamed V (99929811),2,1,0,0,0,0,0,0
Besanon,Lyce Victor Hugo (0250007X),35,11,26,9,23,7,7,1
Beyrouth,Ecole Suprieure d'ingnieurs (99926311),1,0,1,0,1,0,0,0
Bizerte,IPEIB (16200011),1,0,0,0,0,0,0,0
Blois,Lyce Dessaignes (0410002E),18,8,14,7,11,5,3,0
Bordeaux,Lyce Camille Jullian (0330023W),19,8,16,8,15,7,1,0
Bordeaux,Lyce Michel Montaigne (0330021U),29,13,20,8,19,8,6,3
Boulogne-Sur-Mer,Lyce Mariette (0622949U),30,12,25,8,18,6,8,2
Bourg-En-Bresse,Lyce Lalande (0010013J),19,3,17,3,13,2,4,1
Bourges,Lyce Alain-Fournier (0180005H),21,7,17,6,13,5,4,1
Bressuire,Lyce Saint Joseph (0790080H),14,2,11,1,9,1,4,1
Brest,Lyce de Kerichen (0290007A),39,19,37,19,26,13,7,4
Brest,Lyce Naval (0290063L),12,3,6,3,4,2,0,0
Brest,Lyce Sainte Anne (0290338K),13,6,12,5,12,5,2,1
Caen,Lyce Malherbe (0140013N),43,7,38,6,30,4,15,2
Casablanca,ECO SUP GALILEE (99927511),7,2,1,1,1,1,1,1
Casablanca,Etablissement Al Bilia (99696011),17,6,7,0,5,0,4,0
Casablanca,Groupe scolaire La Rsidence (3500055H),43,19,27,13,12,6,8,5
Casablanca,Lyce El Miza Center (99928411),39,13,22,6,15,5,11,3
Casablanca,Lyce Mohamed V (99926411),25,12,16,5,9,5,5,4
Chambry,Lyce Vaugelas (0730013T),31,9,27,9,27,9,12,5
Chartres,Lyce Marceau (0280007F),27,6,24,5,23,5,11,3
Cherbourg-Octeville,Lyce Victor Grignard (0501828R),19,7,15,6,14,5,2,2
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),26,7,22,6,18,4,3,1
Clermont-Ferrand,Lyce Godefroy De Bouillon (0631068U),24,5,18,5,14,4,6,2
Clermont-Ferrand,Lyce La Fayette (0630021F),23,6,23,6,19,5,5,1
Compigne,Lyce Pierre d'Ailly (0600014P),24,3,21,2,19,2,7,1
Corenc,ITEC Boisfleury Europe (0381675P),12,6,12,6,11,6,5,5
Dijon,Lyce Carnot (0210015C),39,10,36,10,32,9,18,7
Douai,Lyce Albert Chatelet (0590063Y),23,8,21,8,11,2,2,0
Dunkerque,Lyce Jean Bart (0590071G),18,4,16,3,12,2,5,1
Enghien-Les-Bains,Lyce Gustave Monod (0950644J),24,3,21,3,18,2,6,1
Epinal,Lyce Claude Gellee (0880020U),23,4,23,4,20,3,4,1
Evry,Lyce Parc des Loges (0911251R),18,2,15,1,13,1,8,1
Fs,Etablissement Al Cachy (99695011),24,8,10,1,5,1,3,1
Fs,Lyce Moulay Idriss (99926711),9,3,5,1,5,1,1,0
Fs,Prpas Al Khayyam (99694011),8,2,3,0,1,0,1,0
Fontainebleau,Lyce Franois 1er (0770927P),26,5,25,5,21,4,5,1
Forbach,Lyce Jean Moulin (0570029X),26,6,23,6,14,3,6,2
Fort-De-France,Lyce Bellevue (9720003W),29,11,24,7,19,4,11,2
Grenoble,Lyce Champollion (0380027Y),22,7,18,6,12,5,5,2
Jarville-La-Malgrange,Lyce La Malgrange (0541986R),16,4,11,3,9,3,3,2
Khouribga,CPGE Ibn Abdoune (99699011),10,1,1,0,1,0,0,0
La Flche,Prytane National Militaire (0720896H),8,1,5,1,5,1,1,0
La Rochelle,Lyce Jean Dautet (0170028N),15,3,12,3,9,2,5,1
La Roche-Sur-Yon,Lyce Saint Joseph (0850083D),13,1,12,0,12,0,4,0
Le Havre,Lyce Franois 1er (0760052U),18,5,18,5,12,2,6,2
Le Mans,Lyce Montesquieu (0720029R),22,6,19,5,17,5,10,2
Le Raincy,Lyce Albert Schweitzer (0930830X),33,9,30,9,28,9,9,0
Lens,Lyce Condorcet (0620108F),21,8,17,7,10,4,8,2
Libreville,Lyce LEON MBA (99928511),29,12,27,10,25,9,18,8
Lille,Lyce Faidherbe (0590119J),55,23,48,23,45,21,11,6
Limoges,Lyce Gay-Lussac (0870015U),22,4,18,4,15,4,6,4
Lorient,Lyce Dupuy De Lme (0560025Y),9,1,8,1,7,1,1,0
Lyon,Lyce aux Lazaristes (0690522T),5,1,4,1,3,0,0,0
Lyon,Lyce du Parc (0690026D),29,8,21,5,21,5,4,2
Lyon,Lyce Jean Perrin (0690082P),18,5,17,4,17,4,4,1
Lyon,Lyce La Martinire Monplaisir (0692866R),27,11,26,11,24,11,6,2
Mantes-La-Jolie,Lyce Saint Exupry (0782539L),15,3,15,3,14,3,6,2
Marrakech,CPGE prive Koutoubia-Prpas (99697011),2,1,0,0,0,0,0,0
Marrakech,Lyce El Amrani II (3500006D),4,1,0,0,0,0,0,0
