ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Agadir,Etablissement Socrate (99698011),1,0,0,0,0,0,0,0
Agadir,Groupe scolaire Al Qalam (99693001),1,0,0,0,0,0,0,0
Angers,Lyce Henri Bergson (0491966W),1,0,0,0,0,0,0,0
Besanon,Lyce Victor Hugo (0250007X),1,0,0,0,0,0,0,0
Boulogne-Sur-Mer,Lyce Mariette (0622949U),2,0,2,0,2,0,0,0
Caen,Lyce Malherbe (0140013N),1,0,1,0,1,0,0,0
Casablanca,Lyce El Miza Center (99928411),2,0,0,0,0,0,0,0
Cherbourg-Octeville,Lyce Victor Grignard (0501828R),1,0,0,0,0,0,0,0
Clermont-Ferrand,Lyce Godefroy De Bouillon (0631068U),1,1,0,0,0,0,0,0
Compigne,Lyce Pierre d'Ailly (0600014P),1,0,1,0,1,0,0,0
Corenc,ITEC Boisfleury Europe (0381675P),2,0,2,0,2,0,2,0
Douai,Lyce Albert Chatelet (0590063Y),1,0,0,0,0,0,0,0
Enghien-Les-Bains,Lyce Gustave Monod (0950644J),1,0,0,0,0,0,0,0
Fs,Etablissement Al Cachy (99695011),1,0,0,0,0,0,0,0
Grenoble,Lyce Champollion (0380027Y),1,0,0,0,0,0,0,0
La Rochelle,Lyce Jean Dautet (0170028N),2,0,2,0,2,0,0,0
Lens,Lyce Condorcet (0620108F),1,0,1,0,1,0,0,0
Lille,Lyce Faidherbe (0590119J),4,0,1,0,1,0,0,0
Lyon,Lyce Jean Perrin (0690082P),2,0,0,0,0,0,0,0
Mantes-La-Jolie,Lyce Saint Exupry (0782539L),3,1,2,1,2,1,0,0
Marseille,Lyce Notre Dame de Sion (0131341M),1,0,1,0,1,0,0,0
Marseille,Lyce Thiers (0130040Y),2,0,1,0,1,0,0,0
Melun,Lyce Jacques Amyot (0770933W),2,0,0,0,0,0,0,0
Metz,Lyce Fabert (0570054Z),2,0,1,0,1,0,0,0
Montpellier,Lyce Joffre (0340038G),1,0,0,0,0,0,0,0
Mulhouse,Lyce Albert Schweitzer (0680031P),1,0,1,0,1,0,0,0
Nancy,Lyce Henri Poincar (0540038Y),1,0,0,0,0,0,0,0
Nantes,Lyce Saint Stanislas (0440163N),2,0,0,0,0,0,0,0
Orlans,Lyce Pothier (0450049J),1,0,1,0,1,0,0,0
Orlans,Lyce Saint Charles (0450110A),1,0,1,0,1,0,0,0
Paris,Lyce Jacques Decour (0750668U),4,2,3,1,3,1,0,0
Paris,Lyce Paul Valery (0750679F),3,1,0,0,0,0,0,0
Paris,Lyce Stanislas (0753840S),1,0,0,0,0,0,0,0
Paris 5e,Lyce Louis Le Grand (0750655E),1,1,0,0,0,0,0,0
Paris 6e,Lyce Fnelon (0750660K),2,1,0,0,0,0,0,0
Paris 6e,Lyce Saint-Louis (0750658H),1,1,0,0,0,0,0,0
Paris 8e,Lyce Chaptal (0750663N),1,1,1,1,1,1,0,0
Paris 9e,Lyce Condorcet (0750667T),2,0,1,0,1,0,0,0
Paris 13e,ENCPB (0750685M),3,2,3,2,3,2,0,0
Paris 15e,Lyce Buffon (0750693W),1,0,1,0,1,0,0,0
Paris 16e,Lyce Claude Bernard (0750698B),4,0,1,0,1,0,0,0
Perpignan,Lyce Franois Arago (0660010C),1,0,1,0,1,0,1,0
Poitiers,Lyce Camille Gurin (0860035W),3,1,1,0,1,0,1,0
Pontoise,Lyce Camille Pissarro (0950649P),1,0,0,0,0,0,0,0
Rabat,Lyce Ibn Al Ghazhi (99951011),1,1,0,0,0,0,0,0
Reims,Lyce Clmenceau (0510031G),1,0,0,0,0,0,0,0
Saint-Denis,Lyce Paul Eluard (0930125F),1,0,1,0,1,0,0,0
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),1,0,1,0,1,0,0,0
Saint-Etienne,Lyce Claude Fauriel (0420041S),3,1,1,0,1,0,0,0
Strasbourg,Lyce Kleber (0670080Y),1,0,1,0,1,0,0,0
Tanger,Lyce Al Bayrouni (99901131),1,0,0,0,0,0,0,0
Toulon,Lyce Dumont D'Urville (0830053G),1,0,1,0,1,0,0,0
Toulouse,Lyce Pierre de Fermat (0310036W),1,0,0,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),1,1,0,0,0,0,0,0
Versailles,Lyce Hoche (0782562L),3,2,1,0,1,0,0,0
Versailles,Lyce Sainte Genevive (0783053V),1,0,0,0,0,0,0,0
