ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Agadir,Etablissement Socrate (99698011),3,1,1,1,0,0,0,0
Agadir,Groupe scolaire Al Qalam (99693001),2,1,0,0,0,0,0,0
Agadir,Lyce Reda Slaoui (99926811),32,4,5,0,5,0,3,0
Aix-En-Provence,Lyce Militaire (0131596P),10,0,4,0,2,0,0,0
Aix-En-Provence,Lyce Paul Cezanne (0130002G),4,0,2,0,2,0,2,0
Amiens,Lyce Louis Thuillier (0800009A),43,9,16,4,14,4,3,1
Angers,Lyce Henri Bergson (0491966W),14,2,7,2,5,2,2,0
Angoulme,Lyce Guez De Balzac (0160002R),16,3,3,1,3,1,0,0
Annecy,Lyce Berthollet (0740003B),32,8,16,6,12,5,5,3
Antony,Lyce Sainte Marie (0920904H),29,5,15,3,9,1,0,0
Arras,Lyce Robespierre (0620006V),8,1,1,1,0,0,0,0
Autun,Lyce Militaire National (0711064W),4,1,0,0,0,0,0,0
Beni-Mella,Lyce Technique Mohamed V (99929811),9,2,4,1,3,0,3,0
Besanon,Lyce Victor Hugo (0250007X),67,16,47,10,36,9,15,5
Beyrouth,Ecole Suprieure d'ingnieurs (99926311),7,0,2,0,1,0,1,0
Bizerte,IPEIB (16200011),1,0,0,0,0,0,0,0
Blois,Lyce Dessaignes (0410002E),14,6,4,3,3,2,2,2
Bordeaux,Lyce Camille Jullian (0330023W),24,8,13,3,9,3,4,1
Bordeaux,Lyce Michel Montaigne (0330021U),100,31,75,20,50,15,9,2
Boulogne-Sur-Mer,Lyce Mariette (0622949U),3,0,1,0,1,0,0,0
Bourg-En-Bresse,Lyce Lalande (0010013J),15,3,5,1,3,1,2,1
Bourges,Lyce Alain-Fournier (0180005H),8,3,4,1,3,1,1,0
Bressuire,Lyce Saint Joseph (0790080H),9,2,1,0,1,0,0,0
Brest,Lyce de Kerichen (0290007A),41,12,18,3,14,1,2,0
Brest,Lyce Naval (0290063L),22,7,3,2,0,0,0,0
Brest,Lyce Sainte Anne (0290338K),11,4,2,2,1,1,0,0
Caen,Lyce Malherbe (0140013N),68,16,36,10,30,10,10,5
Casablanca,ECO SUP GALILEE (99927511),3,1,0,0,0,0,0,0
Casablanca,Etablissement Al Bilia (99696011),16,8,0,0,0,0,0,0
Casablanca,Groupe scolaire La Rsidence (3500055H),26,7,1,1,1,1,0,0
Casablanca,Lyce El Miza Center (99928411),13,1,3,1,3,1,2,1
Casablanca,Lyce Mohamed V (99926411),102,29,36,14,13,6,6,3
Chambry,Lyce Vaugelas (0730013T),18,2,4,0,2,0,1,0
Chartres,Lyce Marceau (0280007F),15,2,11,1,8,1,4,1
Cherbourg-Octeville,Lyce Victor Grignard (0501828R),19,3,14,3,8,3,1,0
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),70,16,49,12,45,11,11,3
Clermont-Ferrand,Lyce Godefroy De Bouillon (0631068U),12,1,2,1,2,1,1,1
Clermont-Ferrand,Lyce La Fayette (0630021F),10,2,4,0,4,0,3,0
Compigne,Lyce Pierre d'Ailly (0600014P),7,0,3,0,1,0,0,0
Corenc,ITEC Boisfleury Europe (0381675P),10,5,3,1,3,1,0,0
Dijon,Lyce Carnot (0210015C),63,11,40,7,28,7,4,1
Douai,Lyce Albert Chatelet (0590063Y),19,2,9,1,6,0,2,0
Dunkerque,Lyce Jean Bart (0590071G),13,4,6,2,5,2,1,0
Enghien-Les-Bains,Lyce Gustave Monod (0950644J),12,0,2,0,1,0,1,0
Epinal,Lyce Claude Gellee (0880020U),22,4,11,3,9,3,2,0
