ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Militaire (0131596P),1,0,0,0,0,0,0,0
Amiens,Lyce Louis Thuillier (0800009A),3,0,1,0,1,0,0,0
Angers,Lyce Henri Bergson (0491966W),1,0,0,0,0,0,0,0
Annecy,Lyce Berthollet (0740003B),2,0,0,0,0,0,0,0
Antony,Lyce Sainte Marie (0920904H),5,1,0,0,0,0,0,0
Autun,Lyce Militaire National (0711064W),2,0,0,0,0,0,0,0
Beni-Mella,Lyce Technique Mohamed V (99929811),1,0,0,0,0,0,0,0
Besanon,Lyce Victor Hugo (0250007X),16,1,1,0,0,0,0,0
Bordeaux,Lyce Camille Jullian (0330023W),1,0,0,0,0,0,0,0
Bordeaux,Lyce Michel Montaigne (0330021U),30,9,3,0,2,0,2,0
Brest,Lyce de Kerichen (0290007A),3,1,1,0,1,0,1,0
Brest,Lyce Naval (0290063L),3,2,0,0,0,0,0,0
Caen,Lyce Malherbe (0140013N),6,1,0,0,0,0,0,0
Chartres,Lyce Marceau (0280007F),1,0,0,0,0,0,0,0
Cherbourg-Octeville,Lyce Victor Grignard (0501828R),7,1,2,0,1,0,1,0
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),22,2,6,1,2,0,2,0
Corenc,ITEC Boisfleury Europe (0381675P),1,0,0,0,0,0,0,0
Dijon,Lyce Carnot (0210015C),25,1,0,0,0,0,0,0
Douai,Lyce Albert Chatelet (0590063Y),1,0,0,0,0,0,0,0
Epinal,Lyce Claude Gellee (0880020U),1,1,0,0,0,0,0,0
Evry,Lyce Parc des Loges (0911251R),1,0,0,0,0,0,0,0
Fort-De-France,Lyce Bellevue (9720003W),1,1,0,0,0,0,0,0
Grenoble,Lyce Champollion (0380027Y),17,2,5,0,2,0,2,0
La Flche,Prytane National Militaire (0720896H),24,1,2,0,1,0,1,0
Le Raincy,Lyce Albert Schweitzer (0930830X),5,0,0,0,0,0,0,0
Lille,Lyce Faidherbe (0590119J),28,3,8,1,5,1,1,0
Limoges,Lyce Gay-Lussac (0870015U),1,0,1,0,1,0,0,0
Lyon,Lyce aux Lazaristes (0690522T),34,10,1,0,0,0,0,0
Lyon,Lyce du Parc (0690026D),70,13,22,3,19,3,13,2
Lyon,Lyce La Martinire Monplaisir (0692866R),20,3,3,0,1,0,1,0
Marseille,Lyce Notre Dame de Sion (0131341M),2,0,0,0,0,0,0,0
Marseille,Lyce Thiers (0130040Y),48,6,3,0,3,0,2,0
Metz,Lyce Fabert (0570054Z),14,2,0,0,0,0,0,0
Montpellier,Lyce Joffre (0340038G),18,3,3,1,1,1,1,1
Montpellier,Lyce Notre Dame de La Merci (0340881Y),1,0,0,0,0,0,0,0
Mulhouse,Lyce Albert Schweitzer (0680031P),1,0,0,0,0,0,0,0
Nancy,Lyce Henri Poincar (0540038Y),15,2,4,0,3,0,2,0
Nantes,Lyce Clmenceau (0440021J),35,5,16,2,10,2,6,1
Nantes,Lyce Saint Stanislas (0440163N),3,0,0,0,0,0,0,0
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),42,10,8,2,7,2,6,2
Nice,Lyce Massena (0060030A),38,11,7,0,4,0,3,0
Nimes,Lyce Alphonse Daudet (0300021K),1,0,0,0,0,0,0,0
Nimes,Lyce Emmanuel d'Alzon (0300080Z),2,0,0,0,0,0,0,0
Orlans,Lyce Pothier (0450049J),16,4,3,1,1,0,1,0
Orsay,Lyce Blaise Pascal (0910626L),23,5,7,1,6,1,4,1
Paris,Lyce Jacques Decour (0750668U),3,1,0,0,0,0,0,0
Paris,Lyce Paul Valery (0750679F),3,0,0,0,0,0,0,0
Paris,Lyce Raspail (0750691U),1,0,0,0,0,0,0,0
Paris,Lyce Stanislas (0753840S),43,2,11,0,4,0,3,0
Paris 4e,Lyce Charlemagne (0750652B),48,9,13,0,11,0,7,0
Paris 5e,Lyce Henri IV (0750654D),75,18,26,3,22,3,17,3
Paris 5e,Lyce Louis Le Grand (0750655E),123,22,55,4,48,3,36,3
Paris 6e,Lyce Fnelon (0750660K),21,2,2,0,2,0,2,0
Paris 6e,Lyce Saint-Louis (0750658H),89,16,20,3,19,3,12,3
Paris 8e,Lyce Chaptal (0750663N),20,2,1,0,1,0,0,0
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),8,0,1,0,1,0,1,0
Paris 9e,Lyce Condorcet (0750667T),32,6,9,1,5,1,4,1
Paris 13e,ENCPB (0750685M),2,0,0,0,0,0,0,0
Paris 15e,Lyce Buffon (0750693W),8,1,1,0,0,0,0,0
Paris 16e,Lyce Claude Bernard (0750698B),1,0,0,0,0,0,0,0
Paris 16e,Lyce Janson de Sailly (0750699C),44,10,5,0,2,0,1,0
Perpignan,Lyce Franois Arago (0660010C),2,0,0,0,0,0,0,0
Poitiers,Lyce Camille Gurin (0860035W),8,2,1,0,0,0,0,0
Pontoise,Lyce Camille Pissarro (0950649P),2,0,0,0,0,0,0,0
Reims,Lyce Clmenceau (0510031G),6,1,1,1,1,1,0,0
Rennes,Lyce Chateaubriand (0350710G),27,4,9,2,8,1,3,0
Rouen,Lyce Pierre Corneille (0760090K),40,11,2,1,1,0,1,0
Saint-Cyr-L'Ecole,Lyce Militaire (0780015T),2,0,0,0,0,0,0,0
Saint-Etienne,Lyce Claude Fauriel (0420041S),14,2,2,0,0,0,0,0
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),32,3,3,0,3,0,1,0
Savigny-Sur-Orge,Lyce Jean Baptiste Corot (0910627M),4,1,0,0,0,0,0,0
Sceaux,Lyce Lakanal (0920145H),5,0,0,0,0,0,0,0
Strasbourg,Lyce Kleber (0670080Y),31,5,8,1,4,0,4,0
Toulon,Lyce Dumont D'Urville (0830053G),3,0,0,0,0,0,0,0
Toulouse,Lyce Bellevue (0310038Y),4,0,1,0,0,0,0,0
Toulouse,Lyce Pierre de Fermat (0310036W),54,4,15,0,10,0,5,0
Tours,Lyce Descartes (0370035M),23,1,3,0,1,0,1,0
Valbonne,C.I.V. Valbonne (0061642C),3,1,0,0,0,0,0,0
Valence,Lyce Camille Vernet (0260035X),1,0,0,0,0,0,0,0
Valenciennes,Lyce Henri Wallon (0590221V),14,0,2,0,0,0,0,0
Vanves,Lyce Michelet (0920149M),4,0,0,0,0,0,0,0
Versailles,Lyce Hoche (0782562L),56,18,19,4,18,4,15,4
Versailles,Lyce Sainte Genevive (0783053V),80,13,36,3,30,3,28,3
