ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Militaire (0131596P),18,5,16,5,14,5,12,3
Aix-En-Provence,Lyce Paul Cezanne (0130002G),87,41,79,36,67,31,37,14
Albi,Lyce Laperouse (0810006S),26,12,23,10,18,9,14,6
Amiens,Lyce Louis Thuillier (0800009A),42,11,30,9,22,7,14,7
Angers,Lyce Henri Bergson (0491966W),27,11,22,11,18,9,14,8
Annecy,Lyce Berthollet (0740003B),71,23,60,21,54,20,39,13
Antony,Lyce Sainte Marie (0920904H),28,10,22,8,20,7,4,0
Arras,Lyce Robespierre (0620006V),18,9,12,7,10,6,1,0
Avignon,Lyce Saint Joseph (0840072X),38,10,30,8,22,7,13,4
Balma,Lyce Salige (0312408Z),74,20,59,14,52,13,24,7
Bayonne,Lyce Ren Cassin (0640010N),24,7,18,5,15,5,11,4
Belfort,Lyce Condorcet (0900002N),19,8,15,6,9,1,4,1
Besanon,Lyce Victor Hugo (0250007X),62,26,54,22,50,21,36,15
Bordeaux,Lyce Camille Jullian (0330023W),31,15,30,14,22,9,9,6
Bordeaux,Lyce Michel Montaigne (0330021U),44,24,42,23,36,20,20,11
Bourg-En-Bresse,Lyce Lalande (0010013J),30,7,18,6,14,5,5,2
Bourges,Lyce Alain-Fournier (0180005H),26,7,18,6,17,5,14,4
Brest,Lyce de Kerichen (0290007A),56,17,43,11,35,8,22,5
Brest,Lyce Sainte Anne (0290338K),15,7,8,5,6,4,4,3
Caen,Lyce Priv Sainte-Marie (0141164P),19,6,9,3,5,1,1,0
Caen,Lyce Victor Hugo (0142059M),45,12,31,6,24,5,15,3
Chartres,Lyce Marceau (0280007F),33,10,31,10,28,9,16,3
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),50,20,45,18,41,18,28,13
Compigne,Lyce Pierre d'Ailly (0600014P),24,11,18,8,17,8,10,5
Corenc,ITEC Boisfleury Europe (0381675P),15,7,10,5,9,4,6,3
Dijon,Lyce Carnot (0210015C),54,23,48,22,34,14,15,7
Douai,Lyce Albert Chatelet (0590063Y),20,5,15,4,12,2,4,1
Dunkerque,Lyce Jean Bart (0590071G),25,9,11,6,7,4,0,0
Enghien-Les-Bains,Lyce Gustave Monod (0950644J),21,3,12,0,10,0,2,0
Evreux,Lyce Aristide Briand (0270016W),32,9,27,8,24,7,17,7
Fontainebleau,Lyce Franois 1er (0770927P),40,16,24,10,15,3,8,2
Fort-De-France,Lyce Bellevue (9720003W),22,11,4,3,4,3,3,2
Grenoble,Lyce Champollion (0380027Y),79,30,70,26,64,22,38,14
La Flche,Prytane National Militaire (0720896H),24,1,14,1,10,1,8,0
La Rochelle,Lyce Jean Dautet (0170028N),14,2,7,2,6,2,5,2
La Roche-Sur-Yon,Lyce Pierre Mends-France (0850025R),15,6,5,2,4,2,3,2
La Roche-Sur-Yon,Lyce Saint Joseph (0850083D),9,2,4,1,4,1,2,1
Le Havre,Lyce Franois 1er (0760052U),25,6,13,3,11,3,6,2
Le Mans,Lyce Montesquieu (0720029R),39,14,31,11,26,10,7,3
Le Raincy,Lyce Albert Schweitzer (0930830X),18,9,14,7,10,7,5,3
Lens,Lyce Condorcet (0620108F),7,2,4,1,4,1,2,0
Lille,Lyce Faidherbe (0590119J),73,24,65,21,57,18,26,10
Limoges,Lyce Gay-Lussac (0870015U),40,11,39,10,35,9,22,5
Lorient,Lyce Dupuy De Lme (0560025Y),9,3,4,0,4,0,3,0
Lyon,Institution des Chartreux (0690564N),3,0,1,0,0,0,0,0
Lyon,Lyce aux Lazaristes (0690522T),25,9,25,10,20,9,8,4
Lyon,Lyce du Parc (0690026D),93,36,88,35,75,30,17,5
Lyon,Lyce Jean Perrin (0690082P),25,12,17,9,13,7,8,4
Lyon,Lyce La Martinire Monplaisir (0692866R),54,24,49,22,46,20,26,13
Marseille,Lyce Thiers (0130040Y),73,24,62,20,54,18,21,11
Melun,Lyce Jacques Amyot (0770933W),31,15,23,9,18,6,10,2
Metz,Lyce Fabert (0570054Z),60,23,51,18,43,16,16,7
Monastir,I.P.E.I (99949911),1,0,0,0,0,0,0,0
Montpellier,Lyce Joffre (0340038G),60,31,57,29,56,29,20,11
Mulhouse,Lyce Albert Schweitzer (0680031P),20,7,15,4,15,4,13,4
Nancy,Lyce Henri Poincar (0540038Y),119,33,104,29,90,24,48,18
Nantes,Lyce Clmenceau (0440021J),83,29,82,29,72,28,25,12
Nantes,Lyce Saint Stanislas (0440163N),21,6,12,5,7,2,4,2
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),62,15,62,15,59,15,11,4
Nice,Lyce Massena (0060030A),58,18,53,18,49,17,18,7
Nimes,Lyce Alphonse Daudet (0300021K),22,12,12,8,9,5,3,3
Orlans,Lyce Pothier (0450049J),64,23,54,20,48,18,21,9
Orlans,Lyce Saint Charles (0450110A),1,1,0,0,0,0,0,0
Orsay,Lyce Blaise Pascal (0910626L),33,21,33,21,32,20,11,6
Paris,Lyce Honor De Balzac (0750705J),26,7,14,5,11,3,3,1
Paris,Lyce Jacques Decour (0750668U),32,6,29,6,25,6,11,3
Paris,Lyce Stanislas (0753840S),40,9,37,8,26,5,1,1
Paris 3e,Lyce Turgot (0750647W),35,13,24,10,14,4,7,2
Paris 4e,IPESUP (0753144K),13,1,12,1,12,1,4,1
Paris 4e,Lyce Charlemagne (0750652B),70,35,60,32,53,28,16,9
Paris 5e,Lyce Henri IV (0750654D),15,5,6,2,5,1,0,0
Paris 5e,Lyce Lavoisier (0750656F),38,17,31,16,26,13,13,6
Paris 5e,Lyce Louis Le Grand (0750655E),82,37,59,30,46,25,7,4
Paris 6e,Lyce Fnelon (0750660K),39,16,36,15,35,15,13,6
Paris 6e,Lyce Saint-Louis (0750658H),137,64,119,59,104,56,30,22
Paris 8e,Lyce Chaptal (0750663N),70,30,67,29,66,29,24,12
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),28,7,26,7,21,6,1,1
Paris 9e,Lyce Condorcet (0750667T),36,14,27,13,21,10,8,6
Paris 13e,ENCPB (0750685M),41,22,25,13,19,8,7,4
Paris 15e,Lyce Buffon (0750693W),36,12,30,8,27,7,8,2
Paris 16e,Lyce Janson de Sailly (0750699C),116,40,108,39,91,34,23,13
Paris 17e,Lyce Carnot (0750704H),38,13,28,10,24,10,11,4
Pau,Lyce Louis Barthou (0640055M),56,19,43,15,37,13,21,8
Prigueux,Lyce Bertran de Born (0240024W),32,9,15,6,11,4,8,2
Perpignan,Lyce Franois Arago (0660010C),21,10,13,7,10,5,4,1
Pointe--Pitre,L.G.T.Baimbridge (9710003B),16,9,10,5,10,5,4,4
Poitiers,Lyce Camille Gurin (0860035W),44,19,40,17,33,15,23,12
Quimper,Lyce Auguste Brizeux (0290069T),25,11,20,10,17,9,4,2
Reims,Lyce F. Roosevelt (0510034K),50,17,28,10,25,10,18,8
Rennes,Lyce Chateaubriand (0350710G),80,28,77,27,72,25,39,14
Rennes,Lyce priv Assomption (0350778F),19,7,10,5,6,2,1,1
Rouen,Lyce Pierre Corneille (0760090K),78,18,73,18,65,17,21,7
Saint-Brieuc,Lyce Francois Rabelais (0220056S),16,5,13,4,9,2,8,2
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),27,14,16,11,14,9,9,5
Saint-Etienne,Lyce Claude Fauriel (0420041S),58,19,51,19,45,17,25,14
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),29,15,23,13,20,11,10,5
