ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Militaire (0131596P),2,0,0,0,0,0,0,0
Aix-En-Provence,Lyce Paul Cezanne (0130002G),82,37,35,14,26,11,8,3
Albi,Lyce Laperouse (0810006S),3,0,1,0,1,0,1,0
Amiens,Lyce Louis Thuillier (0800009A),20,7,6,1,6,1,5,0
Angers,Lyce Henri Bergson (0491966W),12,5,0,0,0,0,0,0
Annecy,Lyce Berthollet (0740003B),48,10,18,2,11,1,1,1
Antony,Lyce Sainte Marie (0920904H),18,4,4,2,4,2,1,1
Arras,Lyce Robespierre (0620006V),5,2,0,0,0,0,0,0
Avignon,Lyce Saint Joseph (0840072X),10,3,0,0,0,0,0,0
Balma,Lyce Salige (0312408Z),50,13,14,3,9,1,2,0
Bayonne,Lyce Ren Cassin (0640010N),7,2,2,1,1,1,1,1
Belfort,Lyce Condorcet (0900002N),3,0,2,0,1,0,1,0
Besanon,Lyce Victor Hugo (0250007X),22,5,16,5,13,3,3,1
Bordeaux,Lyce Camille Jullian (0330023W),13,7,5,2,3,2,3,2
Bordeaux,Lyce Michel Montaigne (0330021U),42,24,24,12,17,10,4,3
Bourg-En-Bresse,Lyce Lalande (0010013J),6,2,0,0,0,0,0,0
Bourges,Lyce Alain-Fournier (0180005H),8,1,2,0,0,0,0,0
Brest,Lyce de Kerichen (0290007A),29,7,15,3,11,3,3,0
Brest,Lyce Sainte Anne (0290338K),6,4,1,0,0,0,0,0
Caen,Lyce Priv Sainte-Marie (0141164P),4,0,0,0,0,0,0,0
Caen,Lyce Victor Hugo (0142059M),34,10,14,3,12,2,5,1
Chartres,Lyce Marceau (0280007F),6,3,3,1,2,1,1,1
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),38,13,15,5,10,3,4,2
Compigne,Lyce Pierre d'Ailly (0600014P),12,5,2,0,1,0,0,0
Corenc,ITEC Boisfleury Europe (0381675P),2,2,0,0,0,0,0,0
Dijon,Lyce Carnot (0210015C),34,10,21,7,13,3,5,2
Douai,Lyce Albert Chatelet (0590063Y),10,2,0,0,0,0,0,0
Dunkerque,Lyce Jean Bart (0590071G),13,6,3,0,3,0,1,0
Enghien-Les-Bains,Lyce Gustave Monod (0950644J),3,0,0,0,0,0,0,0
Evreux,Lyce Aristide Briand (0270016W),20,6,5,2,4,1,0,0
Fontainebleau,Lyce Franois 1er (0770927P),14,9,2,0,2,0,1,0
Fort-De-France,Lyce Bellevue (9720003W),3,2,0,0,0,0,0,0
Grenoble,Lyce Champollion (0380027Y),60,23,23,9,16,6,6,2
La Flche,Prytane National Militaire (0720896H),3,1,2,1,0,0,0,0
La Rochelle,Lyce Jean Dautet (0170028N),3,0,0,0,0,0,0,0
La Roche-Sur-Yon,Lyce Pierre Mends-France (0850025R),4,1,0,0,0,0,0,0
Le Havre,Lyce Franois 1er (0760052U),6,3,0,0,0,0,0,0
Le Mans,Lyce Montesquieu (0720029R),37,13,9,1,7,1,2,0
Le Raincy,Lyce Albert Schweitzer (0930830X),17,7,2,1,1,0,0,0
Lille,Lyce Catholique Saint Pierre (0593117T),1,0,0,0,0,0,0,0
Lille,Lyce Faidherbe (0590119J),63,22,29,9,25,9,12,2
Limoges,Lyce Gay-Lussac (0870015U),10,3,4,0,2,0,1,0
Lorient,Lyce Dupuy De Lme (0560025Y),2,1,0,0,0,0,0,0
Lyon,Lyce aux Lazaristes (0690522T),39,11,30,9,28,8,6,2
Lyon,Lyce du Parc (0690026D),101,35,75,25,57,18,14,6
Lyon,Lyce Jean Perrin (0690082P),11,5,1,0,1,0,0,0
Lyon,Lyce La Martinire Monplaisir (0692866R),49,20,16,7,13,6,5,2
Marseille,Lyce Thiers (0130040Y),73,19,45,9,36,8,13,3
Melun,Lyce Jacques Amyot (0770933W),12,6,1,0,0,0,0,0
Metz,Lyce Fabert (0570054Z),33,11,15,5,13,4,2,1
Montpellier,Lyce Joffre (0340038G),49,20,20,6,14,5,4,0
Mulhouse,Lyce Albert Schweitzer (0680031P),4,2,0,0,0,0,0,0
Nancy,Lyce Henri Poincar (0540038Y),85,15,48,7,43,6,12,1
Nantes,Lyce Clmenceau (0440021J),60,17,34,10,28,7,15,3
Nantes,Lyce Saint Stanislas (0440163N),9,0,3,0,1,0,1,0
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),65,16,48,14,40,12,13,5
Nice,Lyce Massena (0060030A),45,11,23,6,18,3,6,2
Nimes,Lyce Alphonse Daudet (0300021K),3,1,0,0,0,0,0,0
Orlans,Lyce Pothier (0450049J),41,11,18,5,17,5,7,1
Orsay,Lyce Blaise Pascal (0910626L),32,19,17,12,14,10,7,6
Paris,Lyce Honor De Balzac (0750705J),12,4,2,0,2,0,0,0
Paris,Lyce Jacques Decour (0750668U),28,5,11,1,5,0,1,0
Paris,Lyce Stanislas (0753840S),42,10,34,8,30,6,14,1
Paris 3e,Lyce Turgot (0750647W),24,8,6,2,5,2,4,1
Paris 4e,IPESUP (0753144K),14,1,11,0,9,0,4,0
Paris 4e,Lyce Charlemagne (0750652B),67,34,31,13,21,6,9,3
Paris 5e,Lyce Henri IV (0750654D),33,10,31,8,28,8,7,3
Paris 5e,Lyce Lavoisier (0750656F),31,15,6,3,5,3,3,2
Paris 5e,Lyce Louis Le Grand (0750655E),127,48,110,37,97,31,26,6
Paris 6e,Lyce Fnelon (0750660K),38,15,22,8,19,7,4,1
Paris 6e,Lyce Saint-Louis (0750658H),141,64,94,42,72,30,32,15
Paris 8e,Lyce Chaptal (0750663N),58,24,28,11,18,7,7,3
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),28,7,14,2,11,1,4,0
Paris 9e,Lyce Condorcet (0750667T),27,11,4,0,3,0,1,0
Paris 13e,ENCPB (0750685M),12,6,1,0,1,0,1,0
Paris 15e,Lyce Buffon (0750693W),34,10,17,5,11,4,5,1
Paris 16e,Lyce Janson de Sailly (0750699C),113,37,73,25,59,19,18,7
Paris 17e,Lyce Carnot (0750704H),13,2,4,0,3,0,0,0
Pau,Lyce Louis Barthou (0640055M),35,8,8,1,3,1,2,1
Prigueux,Lyce Bertran de Born (0240024W),19,4,3,1,2,1,0,0
Perpignan,Lyce Franois Arago (0660010C),1,0,1,0,1,0,0,0
Pointe--Pitre,L.G.T.Baimbridge (9710003B),8,3,2,0,2,0,0,0
