ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Militaire (0131596P),7,2,6,1,4,1,0,0
Aix-En-Provence,Lyce Paul Cezanne (0130002G),51,27,47,24,41,20,7,3
Albi,Lyce Laperouse (0810006S),25,12,21,9,19,9,6,3
Amiens,Lyce Louis Thuillier (0800009A),30,6,24,3,20,2,7,0
Angers,Lyce Henri Bergson (0491966W),24,9,22,9,19,8,7,1
Annecy,Lyce Berthollet (0740003B),37,17,30,14,28,13,6,3
Antony,Lyce Sainte Marie (0920904H),28,10,25,10,22,8,10,3
Arras,Lyce Robespierre (0620006V),17,9,15,8,12,7,8,5
Avignon,Lyce Saint Joseph (0840072X),38,10,34,10,27,9,10,6
Balma,Lyce Salige (0312408Z),44,15,35,11,29,9,5,1
Bayonne,Lyce Ren Cassin (0640010N),16,5,14,4,13,4,2,1
Belfort,Lyce Condorcet (0900002N),18,7,12,3,9,2,2,1
Besanon,Lyce Victor Hugo (0250007X),30,17,26,16,23,15,6,4
Bordeaux,Lyce Camille Jullian (0330023W),23,10,21,9,17,7,7,2
Bordeaux,Lyce Michel Montaigne (0330021U),12,8,8,6,6,4,0,0
Bourg-En-Bresse,Lyce Lalande (0010013J),28,6,24,4,22,3,12,1
Bourges,Lyce Alain-Fournier (0180005H),23,7,15,4,14,3,4,0
Brest,Lyce de Kerichen (0290007A),37,10,32,9,24,5,9,2
Brest,Lyce Sainte Anne (0290338K),14,7,12,7,11,7,2,0
Caen,Lyce Priv Sainte-Marie (0141164P),19,6,13,4,10,3,5,0
Caen,Lyce Victor Hugo (0142059M),26,8,21,7,18,5,5,3
Chartres,Lyce Marceau (0280007F),26,7,24,7,22,7,5,1
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),30,14,28,14,26,14,4,3
Compigne,Lyce Pierre d'Ailly (0600014P),22,11,19,11,17,11,6,4
Corenc,ITEC Boisfleury Europe (0381675P),15,7,13,6,12,6,0,0
Dijon,Lyce Carnot (0210015C),27,15,26,14,22,11,9,5
Douai,Lyce Albert Chatelet (0590063Y),17,5,16,5,14,5,3,0
Dunkerque,Lyce Jean Bart (0590071G),19,7,13,7,10,6,8,5
Enghien-Les-Bains,Lyce Gustave Monod (0950644J),20,3,18,3,15,2,11,2
Evreux,Lyce Aristide Briand (0270016W),26,8,19,5,17,5,4,0
Fontainebleau,Lyce Franois 1er (0770927P),36,14,31,13,24,8,10,3
Fort-De-France,Lyce Bellevue (9720003W),22,11,15,8,13,7,7,3
Grenoble,Lyce Champollion (0380027Y),41,16,34,15,30,13,5,3
La Flche,Prytane National Militaire (0720896H),10,1,8,1,8,1,0,0
La Rochelle,Lyce Jean Dautet (0170028N),12,2,7,2,6,2,1,0
La Roche-Sur-Yon,Lyce Pierre Mends-France (0850025R),15,5,12,5,10,5,5,2
La Roche-Sur-Yon,Lyce Saint Joseph (0850083D),10,3,7,2,7,2,4,1
Le Havre,Lyce Franois 1er (0760052U),21,4,16,4,16,4,9,2
Le Mans,Lyce Montesquieu (0720029R),21,7,19,7,19,7,7,4
Le Raincy,Lyce Albert Schweitzer (0930830X),16,8,15,8,11,7,6,4
Lens,Lyce Condorcet (0620108F),8,2,7,2,6,1,1,0
Lille,Lyce Faidherbe (0590119J),36,11,32,11,28,9,13,4
Limoges,Lyce Gay-Lussac (0870015U),27,7,25,6,21,6,7,3
Lorient,Lyce Dupuy De Lme (0560025Y),9,3,9,3,7,2,4,2
Lyon,Institution des Chartreux (0690564N),1,0,1,0,1,0,1,0
Lyon,Lyce aux Lazaristes (0690522T),7,2,7,2,7,2,1,0
Lyon,Lyce du Parc (0690026D),25,6,19,5,18,5,4,0
Lyon,Lyce Jean Perrin (0690082P),25,12,23,11,21,10,10,6
Lyon,Lyce La Martinire Monplaisir (0692866R),29,12,28,12,27,12,7,3
Marseille,Lyce Thiers (0130040Y),40,15,32,13,29,12,6,1
Melun,Lyce Jacques Amyot (0770933W),28,14,26,13,23,10,10,6
Metz,Lyce Fabert (0570054Z),24,11,20,9,16,6,1,0
Monastir,I.P.E.I (99949911),2,0,1,0,1,0,1,0
Montpellier,Lyce Joffre (0340038G),32,22,30,21,26,18,5,4
Mulhouse,Lyce Albert Schweitzer (0680031P),9,3,7,1,7,1,1,0
Nancy,Lyce Henri Poincar (0540038Y),59,25,53,23,44,17,19,4
Nantes,Lyce Clmenceau (0440021J),41,15,37,14,35,14,10,3
Nantes,Lyce Saint Stanislas (0440163N),19,6,16,6,11,5,7,2
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),30,7,25,6,24,6,8,2
Nice,Lyce Massena (0060030A),33,12,31,12,30,12,5,0
Nimes,Lyce Alphonse Daudet (0300021K),22,13,19,11,15,9,10,5
Orlans,Lyce Pothier (0450049J),34,14,29,12,24,9,9,2
Orlans,Lyce Saint Charles (0450110A),1,1,1,1,1,1,1,1
Orsay,Lyce Blaise Pascal (0910626L),16,8,16,8,15,8,2,2
Paris,Lyce Honor De Balzac (0750705J),25,7,23,7,18,6,6,3
Paris,Lyce Jacques Decour (0750668U),20,5,17,5,17,5,8,2
Paris,Lyce Stanislas (0753840S),16,8,8,5,7,4,2,1
Paris 3e,Lyce Turgot (0750647W),30,11,28,11,25,10,9,4
Paris 4e,IPESUP (0753144K),5,0,2,0,2,0,2,0
Paris 4e,Lyce Charlemagne (0750652B),44,26,38,25,34,24,9,6
Paris 5e,Lyce Henri IV (0750654D),1,0,1,0,1,0,1,0
Paris 5e,Lyce Lavoisier (0750656F),33,17,27,16,24,16,4,3
Paris 5e,Lyce Louis Le Grand (0750655E),7,6,3,3,3,3,1,1
Paris 6e,Lyce Fnelon (0750660K),12,7,9,5,9,5,2,1
Paris 6e,Lyce Saint-Louis (0750658H),62,33,49,26,48,26,15,4
Paris 8e,Lyce Chaptal (0750663N),55,25,50,23,49,22,19,6
