ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Paul Cezanne (0130002G),1,1,0,0,0,0,0,0
Albi,Lyce Laperouse (0810006S),1,0,0,0,0,0,0,0
Antony,Lyce Sainte Marie (0920904H),1,1,0,0,0,0,0,0
Balma,Lyce Salige (0312408Z),2,0,1,0,1,0,0,0
Compigne,Lyce Pierre d'Ailly (0600014P),1,1,0,0,0,0,0,0
Dijon,Lyce Carnot (0210015C),1,0,0,0,0,0,0,0
La Flche,Prytane National Militaire (0720896H),1,0,0,0,0,0,0,0
Lille,Lyce Faidherbe (0590119J),2,1,1,0,1,0,0,0
Lyon,Lyce du Parc (0690026D),2,0,0,0,0,0,0,0
Lyon,Lyce La Martinire Monplaisir (0692866R),1,0,0,0,0,0,0,0
Nancy,Lyce Henri Poincar (0540038Y),1,0,0,0,0,0,0,0
Nantes,Lyce Saint Stanislas (0440163N),3,0,0,0,0,0,0,0
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),1,0,0,0,0,0,0,0
Paris,Lyce Honor De Balzac (0750705J),5,0,1,0,1,0,0,0
Paris,Lyce Jacques Decour (0750668U),1,0,0,0,0,0,0,0
Paris 3e,Lyce Turgot (0750647W),2,0,2,0,2,0,0,0
Paris 4e,Lyce Charlemagne (0750652B),2,2,1,1,1,1,0,0
Paris 5e,Lyce Lavoisier (0750656F),2,1,1,0,1,0,0,0
Paris 6e,Lyce Saint-Louis (0750658H),1,0,0,0,0,0,0,0
Paris 9e,Lyce Condorcet (0750667T),1,1,1,1,1,1,0,0
Paris 13e,ENCPB (0750685M),2,1,0,0,0,0,0,0
Paris 16e,Lyce Janson de Sailly (0750699C),1,0,0,0,0,0,0,0
Pau,Lyce Louis Barthou (0640055M),1,1,0,0,0,0,0,0
Poitiers,Lyce Camille Gurin (0860035W),1,0,0,0,0,0,0,0
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),1,0,0,0,0,0,0,0
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),1,1,0,0,0,0,0,0
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),1,0,1,0,1,0,0,0
Strasbourg,Lyce Kleber (0670080Y),4,0,2,0,2,0,0,0
Toulouse,Lyce Pierre de Fermat (0310036W),1,0,0,0,0,0,0,0
