ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Militaire (0131596P),8,1,2,0,2,0,0,0
Aix-En-Provence,Lyce Paul Cezanne (0130002G),57,27,37,14,28,10,9,3
Albi,Lyce Laperouse (0810006S),16,6,4,1,1,0,0,0
Amiens,Lyce Louis Thuillier (0800009A),23,7,5,1,5,1,1,1
Angers,Lyce Henri Bergson (0491966W),10,3,0,0,0,0,0,0
Annecy,Lyce Berthollet (0740003B),43,13,20,2,17,1,6,1
Antony,Lyce Sainte Marie (0920904H),12,3,6,0,2,0,0,0
Arras,Lyce Robespierre (0620006V),9,4,1,1,1,1,1,1
Avignon,Lyce Saint Joseph (0840072X),17,3,1,0,1,0,0,0
Balma,Lyce Salige (0312408Z),69,17,42,8,25,6,10,2
Bayonne,Lyce Ren Cassin (0640010N),19,5,5,1,2,0,1,0
Belfort,Lyce Condorcet (0900002N),12,6,2,0,2,0,1,0
Besanon,Lyce Victor Hugo (0250007X),47,20,21,6,17,6,5,2
Bordeaux,Lyce Camille Jullian (0330023W),24,10,14,4,11,4,2,0
Bordeaux,Lyce Michel Montaigne (0330021U),25,14,12,7,11,7,2,2
Bourg-En-Bresse,Lyce Lalande (0010013J),30,7,2,1,2,1,0,0
Bourges,Lyce Alain-Fournier (0180005H),6,1,0,0,0,0,0,0
Brest,Lyce de Kerichen (0290007A),34,8,15,2,10,1,2,0
Brest,Lyce Sainte Anne (0290338K),12,6,0,0,0,0,0,0
Caen,Lyce Priv Sainte-Marie (0141164P),7,0,0,0,0,0,0,0
Caen,Lyce Victor Hugo (0142059M),27,5,13,2,12,1,1,0
Chartres,Lyce Marceau (0280007F),23,7,10,5,7,4,3,2
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),32,7,19,4,14,3,2,0
Compigne,Lyce Pierre d'Ailly (0600014P),6,2,2,0,2,0,1,0
Corenc,ITEC Boisfleury Europe (0381675P),14,6,7,4,4,3,2,1
Dijon,Lyce Carnot (0210015C),38,11,18,3,14,3,6,2
Douai,Lyce Albert Chatelet (0590063Y),15,3,2,1,1,1,0,0
Dunkerque,Lyce Jean Bart (0590071G),6,3,1,0,1,0,1,0
Enghien-Les-Bains,Lyce Gustave Monod (0950644J),4,0,1,0,1,0,1,0
Evreux,Lyce Aristide Briand (0270016W),13,3,5,2,3,1,1,0
Fontainebleau,Lyce Franois 1er (0770927P),20,9,3,0,2,0,1,0
Fort-De-France,Lyce Bellevue (9720003W),2,1,0,0,0,0,0,0
Grenoble,Lyce Champollion (0380027Y),71,26,37,12,24,9,6,1
La Flche,Prytane National Militaire (0720896H),10,0,3,0,2,0,1,0
La Rochelle,Lyce Jean Dautet (0170028N),1,0,0,0,0,0,0,0
La Roche-Sur-Yon,Lyce Pierre Mends-France (0850025R),3,1,0,0,0,0,0,0
La Roche-Sur-Yon,Lyce Saint Joseph (0850083D),2,1,0,0,0,0,0,0
Le Havre,Lyce Franois 1er (0760052U),8,0,2,0,1,0,1,0
Le Mans,Lyce Montesquieu (0720029R),29,9,16,5,10,2,3,1
Le Raincy,Lyce Albert Schweitzer (0930830X),13,6,4,1,2,0,0,0
Lens,Lyce Condorcet (0620108F),4,1,0,0,0,0,0,0
Lille,Lyce Catholique Saint Pierre (0593117T),1,0,0,0,0,0,0,0
Lille,Lyce Faidherbe (0590119J),59,19,33,12,24,9,5,3
Limoges,Lyce Gay-Lussac (0870015U),38,10,12,3,9,2,1,0
Lorient,Lyce Dupuy De Lme (0560025Y),1,0,1,0,0,0,0,0
Lyon,Lyce aux Lazaristes (0690522T),33,9,26,6,25,5,2,1
Lyon,Lyce du Parc (0690026D),104,39,89,32,70,25,25,9
Lyon,Lyce Jean Perrin (0690082P),6,2,1,0,1,0,0,0
Lyon,Lyce La Martinire Monplaisir (0692866R),34,15,19,8,8,3,4,1
Marseille,Lyce Thiers (0130040Y),77,22,54,12,44,9,13,1
Melun,Lyce Jacques Amyot (0770933W),13,3,3,1,2,1,1,1
Metz,Lyce Fabert (0570054Z),41,13,17,4,9,1,3,0
Montpellier,Lyce Joffre (0340038G),51,26,24,13,20,12,4,3
Mulhouse,Lyce Albert Schweitzer (0680031P),16,6,0,0,0,0,0,0
Nancy,Lyce Henri Poincar (0540038Y),99,20,59,8,44,6,10,2
Nantes,Lyce Clmenceau (0440021J),69,24,52,17,46,16,9,3
Nantes,Lyce Saint Stanislas (0440163N),18,6,3,0,0,0,0,0
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),60,16,51,15,35,7,7,0
Nice,Lyce Massena (0060030A),55,16,33,8,27,8,8,3
Nimes,Lyce Alphonse Daudet (0300021K),7,3,1,0,0,0,0,0
Orlans,Lyce Pothier (0450049J),43,10,27,8,24,7,6,3
Orsay,Lyce Blaise Pascal (0910626L),28,18,17,12,13,8,3,2
Paris,Lyce Honor De Balzac (0750705J),16,2,4,0,3,0,2,0
Paris,Lyce Jacques Decour (0750668U),27,4,17,3,9,2,0,0
Paris,Lyce Stanislas (0753840S),42,10,35,9,31,7,1,1
Paris 3e,Lyce Turgot (0750647W),8,4,3,2,1,0,0,0
Paris 4e,IPESUP (0753144K),14,1,13,1,11,1,3,0
Paris 4e,Lyce Charlemagne (0750652B),65,32,39,18,27,12,11,7
Paris 5e,Lyce Henri IV (0750654D),37,10,35,9,30,8,1,0
Paris 5e,Lyce Lavoisier (0750656F),27,12,12,7,8,6,3,2
Paris 5e,Lyce Louis Le Grand (0750655E),129,48,116,44,96,34,13,6
Paris 6e,Lyce Fnelon (0750660K),39,16,27,11,23,9,6,2
Paris 6e,Lyce Saint-Louis (0750658H),143,66,108,46,76,36,20,11
Paris 8e,Lyce Chaptal (0750663N),53,18,28,8,23,7,3,1
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),28,7,19,3,9,2,1,0
Paris 9e,Lyce Condorcet (0750667T),26,11,9,4,7,2,3,1
Paris 13e,ENCPB (0750685M),22,11,2,1,0,0,0,0
Paris 15e,Lyce Buffon (0750693W),35,12,22,5,16,4,6,1
Paris 16e,Lyce Janson de Sailly (0750699C),109,37,76,24,55,16,16,4
Paris 17e,Lyce Carnot (0750704H),30,11,8,1,6,0,3,0
Pau,Lyce Louis Barthou (0640055M),33,9,15,5,10,4,2,0
