ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Agadir,Lyce Reda Slaoui (99926811),0,0,1,0,1,0,1,0
Aix-En-Provence,Lyce Paul Cezanne (0130002G),24,10,6,2,3,1,2,0
Amiens,Lyce Louis Thuillier (0800009A),5,1,3,1,2,0,1,0
Angers,Lyce Henri Bergson (0491966W),1,0,0,0,0,0,0,0
Annecy,Lyce Berthollet (0740003B),18,2,6,0,4,0,2,0
Avignon,Lyce Saint Joseph (0840072X),1,0,0,0,0,0,0,0
Balma,Lyce Salige (0312408Z),17,1,5,0,3,0,1,0
Bayonne,Lyce Ren Cassin (0640010N),3,2,1,0,1,0,0,0
Belfort,Lyce Condorcet (0900002N),1,0,0,0,0,0,0,0
Besanon,Lyce Victor Hugo (0250007X),10,1,2,0,1,0,1,0
Bordeaux,Lyce Camille Jullian (0330023W),2,0,0,0,0,0,0,0
Bordeaux,Lyce Michel Montaigne (0330021U),20,10,4,1,1,0,0,0
Brest,Lyce de Kerichen (0290007A),1,0,0,0,0,0,0,0
Caen,Lyce Malherbe (0140013N),0,0,1,1,0,0,0,0
Caen,Lyce Victor Hugo (0142059M),6,1,2,1,2,1,1,0
Chartres,Lyce Marceau (0280007F),2,0,0,0,0,0,0,0
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),7,1,1,0,1,0,0,0
Dijon,Lyce Carnot (0210015C),20,4,5,1,3,0,1,0
Douai,Lyce Albert Chatelet (0590063Y),1,0,1,0,1,0,1,0
Dunkerque,Lyce Jean Bart (0590071G),3,0,0,0,0,0,0,0
Evreux,Lyce Aristide Briand (0270016W),4,1,0,0,0,0,0,0
Fs,Lyce Moulay Idriss (99926711),0,0,4,0,2,0,2,0
Grenoble,Lyce Champollion (0380027Y),26,12,5,3,5,3,2,2
La Flche,Prytane National Militaire (0720896H),3,0,0,0,0,0,0,0
Le Havre,Lyce Franois 1er (0760052U),1,1,0,0,0,0,0,0
Le Mans,Lyce Montesquieu (0720029R),12,5,3,0,3,0,1,0
Le Raincy,Lyce Albert Schweitzer (0930830X),3,1,1,0,1,0,0,0
Lille,Lyce Faidherbe (0590119J),23,8,9,3,5,2,3,1
Limoges,Lyce Gay-Lussac (0870015U),4,1,1,0,1,0,0,0
Lyon,Lyce aux Lazaristes (0690522T),21,4,12,1,10,1,7,0
