ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Militaire (0131596P),37,2,34,2,20,1,10,0
Aix-En-Provence,Lyce Vauvenargues (0130003H),45,9,38,8,34,6,12,2
Ajaccio,Lyce Laetitia Bonaparte (6200002H),8,0,4,0,2,0,0,0
Amiens,Lyce Louis Thuillier (0800009A),29,4,18,2,17,2,10,0
Angers,Lyce Henri Bergson (0491966W),27,2,22,2,16,2,7,2
Angers,Lyce Saint-Martin (0490824E),17,2,13,2,12,2,5,2
Annecy,Lyce Berthollet (0740003B),30,11,28,9,24,7,11,2
Arras,Lyce Robespierre (0620006V),23,3,13,2,9,1,4,0
Auxerre,Lyce Jacques Amyot (0890003V),20,3,8,2,5,1,1,0
Avignon,Lyce Frdric Mistral (0840003X),43,7,27,5,20,4,10,2
Balma,Lyce Salige (0312408Z),45,11,36,9,31,7,14,3
Belfort,Lyce Condorcet (0900002N),19,2,11,2,11,2,5,1
Besanon,Lyce Victor Hugo (0250007X),45,10,38,7,36,7,22,5
Bordeaux,Lyce Gustave Eiffel (0330028B),77,12,57,7,48,5,25,4
Bordeaux,Lyce Michel Montaigne (0330021U),76,17,70,17,59,17,20,6
Brest,Lyce Naval (0290063L),28,7,28,7,25,6,15,2
Brest,Lyce Sainte Anne (0290338K),23,5,13,2,9,2,6,1
Brest,Lyce Vauban (0290012F),47,9,39,5,36,5,15,1
Caen,Lyce Victor Hugo (0142059M),49,10,37,9,33,7,14,2
Cannes,Lyce Stanislas (0060673Z),22,2,19,1,12,1,6,0
Casablanca,Etablissement Al Bilia (99696011),9,0,1,0,0,0,0,0
Casablanca,Groupe scolaire La Rsidence (3500055H),17,3,1,0,1,0,0,0
Casablanca,Lyce El Miza Center (99928411),10,4,0,0,0,0,0,0
Casablanca,Lyce Mohamed V (99926411),16,9,2,1,0,0,0,0
Chambry,Lyce Vaugelas (0730013T),39,10,13,5,9,3,3,1
Champagne-Sur-Seine,Lyce La Fayette (0770920G),22,1,11,1,9,1,2,0
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),44,4,42,4,40,4,13,1
Clermont-Ferrand,Lyce La Fayette (0630021F),30,4,19,2,19,2,8,0
Dijon,Lyce Carnot (0210015C),40,12,37,12,35,11,15,6
Dijon,Lyce Gustave Eiffel (0211033J),28,7,16,2,14,2,5,0
Douai,Lyce Albert Chatelet (0590063Y),34,9,30,9,26,9,7,1
Dunkerque,Lyce Jean Bart (0590071G),17,2,9,0,9,0,5,0
Epinay-Sur-Seine,Lyce Jacques Feyder (0930120A),2,1,0,0,0,0,0,0
Evreux,Lyce Aristide Briand (0270016W),30,5,17,2,13,2,4,1
Fort-De-France,Lyce Bellevue (9720003W),27,9,6,3,3,0,2,0
Grenoble,Lyce Champollion (0380027Y),90,18,76,14,69,14,29,8
La Flche,Prytane National Militaire (0720896H),31,5,17,2,13,2,9,1
La Rochelle,Lyce Jean Dautet (0170028N),31,5,14,1,11,1,4,0
Le Mans,Lyce Montesquieu (0720029R),43,6,34,6,32,6,18,4
Le Raincy,Lyce Albert Schweitzer (0930830X),35,4,23,2,21,2,7,0
Lille,Lyce Csar Baggio (0590121L),55,6,26,1,20,1,5,0
Lille,Lyce Faidherbe (0590119J),39,8,39,8,27,7,5,2
Limoges,Lyce Gay-Lussac (0870015U),45,14,27,8,22,6,8,3
Lorient,Lyce Dupuy De Lme (0560025Y),34,9,27,6,23,5,10,3
Lyon,Institution des Chartreux (0690564N),3,0,1,0,1,0,0,0
Lyon,Lyce aux Lazaristes (0690522T),30,4,30,4,21,4,7,1
Lyon,Lyce du Parc (0690026D),35,6,30,5,22,4,0,0
Lyon,Lyce Jean Perrin (0690082P),42,10,27,3,25,2,16,1
Lyon,Lyce La Martinire Monplaisir (0692866R),83,9,71,7,63,7,28,7
Marrakech,CPGE prive Koutoubia-Prpas (99697011),3,0,0,0,0,0,0,0
Marrakech,Lyce Ibnou Taimiya (99926511),12,2,1,0,0,0,0,0
Marseille,Lyce Jean Perrin (0130053M),43,7,39,7,36,6,14,2
Marseille,Lyce Thiers (0130040Y),29,9,28,8,22,7,4,2
Meaux,Lyce Henri Moissan (0770930T),24,3,10,1,8,1,4,0
Metz,Lyce Fabert (0570054Z),38,6,37,6,30,5,10,2
Metz,Lyce Louis De Cormontaigne (0573227Y),11,2,7,0,6,0,3,0
Montpellier,Lyce Joffre (0340038G),71,16,61,14,53,12,15,4
Mulhouse,Lyce Albert Schweitzer (0680031P),33,9,22,3,18,3,10,2
Nancy,Lyce Henri Loritz (0540042C),78,12,61,9,47,7,23,5
Nantes,Lyce Clmenceau (0440021J),104,20,100,19,90,19,22,4
Nantes,Lyce Saint Stanislas (0440163N),25,4,14,2,12,2,6,1
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),32,6,29,6,27,6,5,2
Nice,Lyce Les Eucalyptus (0060075Z),28,6,10,3,9,3,1,0
Nice,Lyce Massena (0060030A),45,6,41,6,34,4,13,0
Nimes,Lyce Alphonse Daudet (0300021K),46,8,33,6,26,4,8,2
Nouma,Lyce Jules Garnier (9830003L),13,5,13,5,12,4,3,1
Ollioules,Lyce Saint Joseph (0830098F),2,0,0,0,0,0,0,0
Orlans,Lyce Pothier (0450049J),87,13,65,10,62,10,28,5
Orsay,Lyce Blaise Pascal (0910626L),41,8,40,8,36,6,10,0
Paris,Lyce Jacques Decour (0750668U),73,12,55,10,46,10,12,3
Paris,Lyce Paul Valery (0750679F),38,7,18,5,14,3,5,0
Paris,Lyce Raspail (0750691U),32,3,23,3,20,3,10,2
Paris,Lyce Stanislas (0753840S),64,8,60,8,46,5,7,0
Paris 5e,Lyce Louis Le Grand (0750655E),38,10,35,10,14,5,2,1
Paris 6e,Lyce Saint-Louis (0750658H),180,43,163,43,125,40,23,8
Paris 8e,Lyce Chaptal (0750663N),83,24,79,21,69,18,18,4
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),37,7,36,6,29,6,3,2
Paris 9e,Lyce Condorcet (0750667T),35,10,35,10,22,7,1,0
Paris 13e,ENCPB (0750685M),39,8,30,5,23,4,8,1
Paris 15e,Lyce Buffon (0750693W),38,9,26,6,22,5,9,3
Paris 16e,Lyce Claude Bernard (0750698B),34,10,18,7,15,7,4,3
Paris 16e,Lyce Janson de Sailly (0750699C),82,29,70,26,59,24,16,8
Paris 16e,Lyce Jean-Baptiste Say (0750700D),43,5,38,3,27,2,6,2
Pau,Lyce Louis Barthou (0640055M),30,6,22,4,21,3,11,2
Perpignan,Lyce Franois Arago (0660010C),33,6,25,4,22,4,6,0
Pointe--Pitre,L.G.T.Baimbridge (9710003B),23,8,6,2,5,1,1,0
Poitiers,Lyce Camille Gurin (0860035W),34,7,25,5,23,5,8,1
Quimper,Lyce Auguste Brizeux (0290069T),24,7,20,6,17,5,8,3
Reims,Lyce F. Roosevelt (0510034K),70,7,43,5,35,4,13,2
Rennes,Lyce Chateaubriand (0350710G),68,15,63,12,55,12,26,8
Rennes,Lyce Joliot-Curie (0350029S),37,12,34,11,26,9,13,5
Rennes,Lyce priv Assomption (0350778F),18,1,5,0,4,0,3,0
Rouen,Lyce Pierre Corneille (0760090K),43,9,43,9,39,9,18,5
Saint-Brieuc,Lyce Francois Rabelais (0220056S),27,8,17,5,13,4,9,2
Saint-Cyr-L'Ecole,Lyce Militaire (0780015T),32,4,17,3,12,2,9,1
Saint-Denis,Lyce Paul Eluard (0930125F),14,4,7,1,5,1,1,0
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),27,5,19,5,18,4,5,2
Saint-Etienne,Lyce Etienne Mimard (0420046X),44,10,33,7,29,5,19,3
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),38,10,33,7,32,7,12,2
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),26,3,20,3,19,3,15,2
Saint-Maur-Des-Fosses,Lyce D'Arsonval (0940121W),33,4,23,4,16,4,4,0
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),85,21,80,20,55,15,6,3
Sceaux,Lyce Lakanal (0920145H),32,5,31,5,23,3,2,0
Strasbourg,Lyce Kleber (0670080Y),70,11,64,9,50,8,23,5
Strasbourg,Lyce Louis Couffignal (0670085D),35,4,17,1,10,1,3,0
Strasbourg,Lyce Ort (0671636P),16,3,14,3,12,3,5,1
Tanger,Centre Pdagogique Rgional (99926911),10,4,2,0,1,0,0,0
Toulon,Lyce Dumont D'Urville (0830053G),34,7,31,6,28,6,16,3
Toulouse,Lyce Bellevue (0310038Y),49,16,40,13,38,11,20,5
Toulouse,Lyce Dodat de Sverac (0310044E),48,11,38,6,37,5,12,1
Toulouse,Lyce Pierre de Fermat (0310036W),46,4,44,4,29,2,4,0
Tours,Lyce Descartes (0370035M),82,21,76,20,66,17,22,6
Tours,Lyce J. de Vaucanson (0371418R),36,6,25,4,18,3,7,1
Troyes,Lyce Chrestien De Troyes (0100022V),18,4,10,1,7,1,4,1
Tunis,IPEST (99926211),18,10,17,10,17,10,15,9
Valbonne,C.I.V. Valbonne (0061642C),30,3,25,2,22,1,5,0
Valenciennes,Lyce Henri Wallon (0590221V),46,5,39,4,35,3,11,1
Vanves,Lyce Michelet (0920149M),36,10,33,9,33,9,7,2
Versailles,Lyce Hoche (0782562L),20,9,15,6,9,4,0,0
Versailles,Lyce Jules Ferry (0782565P),34,6,32,4,24,3,9,0
Versailles,Lyce Sainte Genevive (0783053V),34,4,29,4,14,0,1,0
