ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Militaire (0131596P),2,0,0,0,0,0,0,0
Aix-En-Provence,Lyce Vauvenargues (0130003H),26,3,6,1,5,1,2,0
Ajaccio,Lyce Laetitia Bonaparte (6200002H),5,0,3,0,1,0,0,0
Amiens,Lyce Louis Thuillier (0800009A),3,0,0,0,0,0,0,0
Angers,Lyce Gnral Mongazon (0490823D),1,1,0,0,0,0,0,0
Angers,Lyce Henri Bergson (0491966W),10,0,6,0,3,0,2,0
Angers,Lyce Saint-Martin (0490824E),6,0,1,0,1,0,0,0
Annecy,Lyce Berthollet (0740003B),25,8,7,2,5,2,1,1
Arras,Lyce Robespierre (0620006V),3,1,2,1,0,0,0,0
Auxerre,Lyce Jacques Amyot (0890003V),7,1,1,0,0,0,0,0
Avignon,Lyce Frdric Mistral (0840003X),16,1,3,0,1,0,0,0
Balma,Lyce Salige (0312408Z),28,7,7,3,4,2,0,0
Belfort,Lyce Condorcet (0900002N),5,0,1,0,1,0,1,0
Besanon,Lyce Victor Hugo (0250007X),24,6,8,1,8,1,1,0
Bitche,Lyce Saint Augustin (0570194B),1,0,0,0,0,0,0,0
Bordeaux,Lyce Gustave Eiffel (0330028B),39,3,17,1,12,1,3,0
Bordeaux,Lyce Michel Montaigne (0330021U),73,16,42,9,26,4,11,2
Brest,Lyce Naval (0290063L),3,1,1,0,1,0,0,0
Brest,Lyce Sainte Anne (0290338K),7,1,2,1,1,1,0,0
Brest,Lyce Vauban (0290012F),12,2,5,0,4,0,1,0
Caen,Lyce Victor Hugo (0142059M),33,7,10,0,7,0,3,0
Cannes,Lyce Stanislas (0060673Z),13,1,5,1,3,1,2,0
Casablanca,Etablissement Al Bilia (99696011),1,0,0,0,0,0,0,0
Casablanca,Groupe scolaire La Rsidence (3500055H),4,1,0,0,0,0,0,0
Casablanca,Lyce El Miza Center (99928411),1,0,0,0,0,0,0,0
Chambry,Lyce Vaugelas (0730013T),12,4,1,0,1,0,0,0
Champagne-Sur-Seine,Lyce La Fayette (0770920G),7,0,0,0,0,0,0,0
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),32,4,18,2,15,2,6,1
Clermont-Ferrand,Lyce La Fayette (0630021F),21,2,4,0,3,0,2,0
Dijon,Lyce Carnot (0210015C),35,11,10,1,9,1,3,0
Dijon,Lyce Gustave Eiffel (0211033J),16,3,3,0,2,0,0,0
Douai,Lyce Albert Chatelet (0590063Y),33,9,20,8,17,7,4,0
Dunkerque,Lyce Jean Bart (0590071G),5,0,2,0,2,0,0,0
Epinay-Sur-Seine,Lyce Jacques Feyder (0930120A),1,1,0,0,0,0,0,0
Evreux,Lyce Aristide Briand (0270016W),15,1,4,0,4,0,2,0
Fort-De-France,Lyce Bellevue (9720003W),6,2,1,1,0,0,0,0
Grenoble,Lyce Champollion (0380027Y),76,14,35,4,29,3,13,1
La Flche,Prytane National Militaire (0720896H),5,0,1,0,0,0,0,0
La Rochelle,Lyce Jean Dautet (0170028N),8,1,1,0,0,0,0,0
Le Mans,Lyce Montesquieu (0720029R),17,4,5,2,1,1,0,0
Le Raincy,Lyce Albert Schweitzer (0930830X),21,1,7,1,2,1,2,1
Lille,Lyce Csar Baggio (0590121L),37,5,4,0,4,0,2,0
Lille,Lyce Faidherbe (0590119J),34,7,27,5,25,5,12,2
Limoges,Lyce Gay-Lussac (0870015U),18,3,3,1,1,0,0,0
Lorient,Lyce Dupuy De Lme (0560025Y),10,2,2,0,1,0,1,0
Lyon,Lyce aux Lazaristes (0690522T),34,6,22,3,22,3,7,1
Lyon,Lyce du Parc (0690026D),39,7,32,6,26,5,7,3
Lyon,Lyce Jean Perrin (0690082P),19,4,2,0,1,0,0,0
Lyon,Lyce La Martinire Monplaisir (0692866R),58,4,31,0,25,0,8,0
Marseille,Lyce Jean Perrin (0130053M),41,6,18,3,14,2,2,0
Marseille,Lyce Thiers (0130040Y),41,10,32,6,25,5,9,3
Meaux,Lyce Henri Moissan (0770930T),10,1,5,0,5,0,2,0
Metz,Lyce Fabert (0570054Z),35,4,28,3,23,3,9,2
Metz,Lyce Louis De Cormontaigne (0573227Y),7,0,2,0,2,0,1,0
Montpellier,Lyce Joffre (0340038G),48,6,25,4,18,4,7,1
Mulhouse,Lyce Albert Schweitzer (0680031P),5,0,2,0,2,0,1,0
Nancy,Lyce Henri Loritz (0540042C),37,3,11,0,3,0,2,0
Nantes,Lyce Clmenceau (0440021J),118,17,78,10,67,10,28,5
Nantes,Lyce Saint Stanislas (0440163N),14,2,2,0,1,0,0,0
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),33,6,27,5,26,5,13,2
Nice,Lyce Les Eucalyptus (0060075Z),1,1,1,1,1,1,0,0
Nice,Lyce Massena (0060030A),39,5,20,2,20,2,10,1
Nimes,Lyce Alphonse Daudet (0300021K),18,4,4,0,2,0,1,0
Nouma,Lyce Jules Garnier (9830003L),11,4,4,0,4,0,4,0
Ollioules,Lyce Saint Joseph (0830098F),2,0,0,0,0,0,0,0
Orlans,Lyce Pothier (0450049J),59,8,25,2,20,1,7,1
Orsay,Lyce Blaise Pascal (0910626L),40,7,24,5,22,5,10,3
Paris,Lyce Jacques Decour (0750668U),63,10,30,6,21,5,5,1
Paris,Lyce Paul Valery (0750679F),19,2,3,0,1,0,0,0
Paris,Lyce Raspail (0750691U),18,2,8,1,7,1,2,0
Paris,Lyce Stanislas (0753840S),75,8,51,5,45,3,18,0
Paris 5e,Lyce Louis Le Grand (0750655E),39,10,37,9,34,9,16,6
Paris 6e,Lyce Saint-Louis (0750658H),182,37,145,24,117,20,48,10
Paris 8e,Lyce Chaptal (0750663N),83,23,49,10,42,10,15,3
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),36,6,29,3,22,3,8,0
Paris 9e,Lyce Condorcet (0750667T),37,10,33,8,30,7,14,4
Paris 13e,ENCPB (0750685M),17,1,1,0,1,0,1,0
Paris 15e,Lyce Buffon (0750693W),31,7,7,2,6,1,3,0
Paris 16e,Lyce Claude Bernard (0750698B),19,8,4,2,4,2,1,1
Paris 16e,Lyce Janson de Sailly (0750699C),83,30,54,18,42,13,15,5
Paris 16e,Lyce Jean-Baptiste Say (0750700D),44,5,18,3,15,3,3,0
Pau,Lyce Louis Barthou (0640055M),16,4,1,0,0,0,0,0
Perpignan,Lyce Franois Arago (0660010C),20,3,10,3,8,2,1,0
Pointe--Pitre,L.G.T.Baimbridge (9710003B),11,3,0,0,0,0,0,0
Poitiers,Lyce Camille Gurin (0860035W),18,2,5,0,4,0,2,0
Quimper,Lyce Auguste Brizeux (0290069T),8,1,5,1,5,1,2,0
Reims,Lyce F. Roosevelt (0510034K),32,3,11,1,6,0,2,0
Rennes,Lyce Chateaubriand (0350710G),61,13,37,9,34,8,14,2
Rennes,Lyce Joliot-Curie (0350029S),18,7,10,3,7,2,4,1
Rennes,Lyce priv Assomption (0350778F),7,0,0,0,0,0,0,0
Rouen,Lyce Pierre Corneille (0760090K),39,9,24,3,18,3,6,2
Saint-Brieuc,Lyce Francois Rabelais (0220056S),6,2,0,0,0,0,0,0
Saint-Cyr-L'Ecole,Lyce Militaire (0780015T),3,0,0,0,0,0,0,0
Saint-Denis,Lyce Paul Eluard (0930125F),10,2,2,0,1,0,1,0
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),15,2,2,0,2,0,0,0
Saint-Etienne,Lyce Etienne Mimard (0420046X),17,4,7,3,5,2,1,1
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),19,4,12,3,11,2,2,0
Saint-Maur-Des-Fosses,Lyce D'Arsonval (0940121W),24,3,8,0,5,0,2,0
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),85,20,56,10,48,10,26,5
Sceaux,Lyce Lakanal (0920145H),40,5,32,4,31,3,15,2
Strasbourg,Lyce Kleber (0670080Y),55,7,32,6,23,4,5,1
Strasbourg,Lyce Louis Couffignal (0670085D),7,1,0,0,0,0,0,0
Strasbourg,Lyce Ort (0671636P),13,3,7,2,4,2,1,1
Tanger,Centre Pdagogique Rgional (99926911),1,0,0,0,0,0,0,0
Toulon,Lyce Dumont D'Urville (0830053G),19,4,8,1,7,1,1,1
Toulouse,Lyce Bellevue (0310038Y),31,12,5,1,4,1,1,0
Toulouse,Lyce Dodat de Sverac (0310044E),30,3,11,2,8,1,3,1
Toulouse,Lyce Pierre de Fermat (0310036W),49,4,47,4,43,3,14,1
Tours,Lyce Descartes (0370035M),50,13,18,6,10,4,4,3
Tours,Lyce J. de Vaucanson (0371418R),15,1,0,0,0,0,0,0
Valbonne,C.I.V. Valbonne (0061642C),29,2,8,0,7,0,3,0
Valenciennes,Lyce Henri Wallon (0590221V),32,3,11,1,8,1,3,0
Vanves,Lyce Michelet (0920149M),34,8,15,3,3,0,3,0
Versailles,Lyce Hoche (0782562L),41,15,38,15,36,15,21,11
Versailles,Lyce Jules Ferry (0782565P),31,6,17,2,16,2,5,1
Versailles,Lyce Sainte Genevive (0783053V),47,6,44,6,41,6,17,2
