ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Militaire (0131596P),26,1,20,1,12,1,6,1
Aix-En-Provence,Lyce Vauvenargues (0130003H),44,9,44,9,38,7,15,2
Ajaccio,Lyce Laetitia Bonaparte (6200002H),8,0,8,0,7,0,4,0
Amiens,Lyce Louis Thuillier (0800009A),28,5,26,4,22,4,10,1
Angers,Lyce Henri Bergson (0491966W),26,2,23,2,20,2,9,0
Angers,Lyce Saint-Martin (0490824E),16,2,13,2,11,2,5,0
Annecy,Lyce Berthollet (0740003B),19,9,11,6,11,6,4,1
Arras,Lyce Robespierre (0620006V),31,5,25,5,14,2,6,2
Auxerre,Lyce Jacques Amyot (0890003V),19,3,17,3,11,2,5,0
Avignon,Lyce Frdric Mistral (0840003X),42,7,33,5,26,4,13,2
Balma,Lyce Salige (0312408Z),37,6,36,6,31,6,8,2
Belfort,Lyce Condorcet (0900002N),18,2,14,2,12,2,3,0
Besanon,Lyce Victor Hugo (0250007X),39,10,36,8,30,6,10,3
Bitche,Lyce Saint Augustin (0570194B),1,0,0,0,0,0,0,0
Bordeaux,Lyce Gustave Eiffel (0330028B),58,11,50,11,41,10,15,4
Bordeaux,Lyce Michel Montaigne (0330021U),60,14,51,14,48,14,15,1
Brest,Lyce Naval (0290063L),15,2,13,1,12,1,1,0
Brest,Lyce Sainte Anne (0290338K),23,5,21,4,16,3,6,2
Brest,Lyce Vauban (0290012F),44,9,38,7,33,7,9,3
Caen,Lyce Victor Hugo (0142059M),46,8,42,8,36,6,13,2
Cannes,Lyce Stanislas (0060673Z),24,3,21,2,13,1,3,1
Casablanca,Etablissement Al Bilia (99696011),14,3,6,1,1,0,1,0
Casablanca,Groupe scolaire La Rsidence (3500055H),16,2,7,1,4,0,3,0
Casablanca,Lyce El Miza Center (99928411),12,3,6,0,6,0,4,0
Casablanca,Lyce Mohamed V (99926411),3,0,0,0,0,0,0,0
Chambry,Lyce Vaugelas (0730013T),38,9,28,7,22,5,9,1
Champagne-Sur-Seine,Lyce La Fayette (0770920G),22,1,13,1,11,1,5,1
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),40,3,33,3,31,3,11,0
Clermont-Ferrand,Lyce La Fayette (0630021F),27,3,23,2,20,1,8,1
Dijon,Lyce Carnot (0210015C),33,9,26,8,21,7,4,0
Dijon,Lyce Gustave Eiffel (0211033J),27,7,24,6,22,6,15,4
Douai,Lyce Albert Chatelet (0590063Y),32,9,30,9,27,9,2,1
Dunkerque,Lyce Jean Bart (0590071G),15,1,15,1,12,0,6,0
Epinay-Sur-Seine,Lyce Jacques Feyder (0930120A),3,1,0,0,0,0,0,0
Evreux,Lyce Aristide Briand (0270016W),29,5,22,4,18,3,8,1
Fort-De-France,Lyce Bellevue (9720003W),27,9,25,8,23,7,13,4
Grenoble,Lyce Champollion (0380027Y),68,15,48,12,44,11,14,4
La Flche,Prytane National Militaire (0720896H),12,3,10,3,6,2,2,1
La Rochelle,Lyce Jean Dautet (0170028N),32,5,20,1,16,1,4,1
Le Mans,Lyce Montesquieu (0720029R),40,6,37,5,31,5,11,2
Le Raincy,Lyce Albert Schweitzer (0930830X),31,3,28,3,26,3,13,1
Lille,Lyce Csar Baggio (0590121L),57,8,41,6,33,5,16,2
Lille,Lyce Faidherbe (0590119J),16,4,12,4,9,3,4,1
Limoges,Lyce Gay-Lussac (0870015U),42,15,40,15,31,11,12,5
Lorient,Lyce Dupuy De Lme (0560025Y),33,9,29,7,25,7,7,2
Lyon,Institution des Chartreux (0690564N),4,0,2,0,2,0,1,0
Lyon,Lyce aux Lazaristes (0690522T),19,1,14,0,14,0,2,0
Lyon,Lyce du Parc (0690026D),28,6,20,4,20,4,4,1
Lyon,Lyce Jean Perrin (0690082P),39,10,36,9,32,7,14,4
Lyon,Lyce La Martinire Monplaisir (0692866R),48,7,38,6,36,6,14,0
Marrakech,CPGE prive Koutoubia-Prpas (99697011),2,0,0,0,0,0,0,0
Marrakech,Lyce Ibnou Taimiya (99926511),2,1,1,1,0,0,0,0
Marrakech,Marrakech Prpas (99926814),1,0,0,0,0,0,0,0
Marseille,Lyce Jean Perrin (0130053M),41,6,38,6,36,5,13,2
Marseille,Lyce Thiers (0130040Y),30,6,26,6,22,4,6,1
Meaux,Lyce Henri Moissan (0770930T),24,3,22,3,16,3,9,2
Metz,Lyce Fabert (0570054Z),29,5,23,2,21,1,5,1
Metz,Lyce Louis De Cormontaigne (0573227Y),11,2,9,2,6,1,3,1
Mohammedia,Omar El Khayyam (99928911),1,0,0,0,0,0,0,0
Montpellier,Lyce Joffre (0340038G),68,15,56,13,45,12,18,4
