ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Angers,Lyce Saint-Martin (0490824E),1,0,1,0,1,0,1,0
Arras,Lyce Robespierre (0620006V),1,1,0,0,0,0,0,0
Avignon,Lyce Frdric Mistral (0840003X),3,0,2,0,2,0,0,0
Casablanca,Groupe scolaire La Rsidence (3500055H),1,0,1,0,1,0,1,0
Casablanca,Lyce El Miza Center (99928411),1,0,0,0,0,0,0,0
Chambry,Lyce Vaugelas (0730013T),2,1,1,0,1,0,1,0
Champagne-Sur-Seine,Lyce La Fayette (0770920G),1,0,1,0,1,0,0,0
Douai,Lyce Albert Chatelet (0590063Y),1,0,0,0,0,0,0,0
La Rochelle,Lyce Jean Dautet (0170028N),1,0,0,0,0,0,0,0
Le Raincy,Lyce Albert Schweitzer (0930830X),1,0,1,0,1,0,0,0
Lille,Lyce Csar Baggio (0590121L),3,0,2,0,2,0,0,0
Limoges,Lyce Gay-Lussac (0870015U),1,0,1,0,1,0,0,0
Lyon,Lyce Jean Perrin (0690082P),1,0,0,0,0,0,0,0
Lyon,Lyce La Martinire Monplaisir (0692866R),2,0,1,0,1,0,0,0
Meaux,Lyce Henri Moissan (0770930T),2,0,2,0,2,0,0,0
Montpellier,Lyce Joffre (0340038G),1,0,1,0,1,0,0,0
Nantes,Lyce Clmenceau (0440021J),4,1,2,0,2,0,1,0
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),1,0,1,0,1,0,0,0
Nice,Lyce Les Eucalyptus (0060075Z),1,0,1,0,1,0,0,0
Nice,Lyce Massena (0060030A),1,0,0,0,0,0,0,0
Nimes,Lyce Alphonse Daudet (0300021K),2,0,2,0,2,0,1,0
Orlans,Lyce Pothier (0450049J),4,0,1,0,1,0,0,0
Orsay,Lyce Blaise Pascal (0910626L),1,1,0,0,0,0,0,0
Paris,Lyce Jacques Decour (0750668U),2,0,1,0,1,0,0,0
Paris,Lyce Raspail (0750691U),1,0,0,0,0,0,0,0
Paris 6e,Lyce Saint-Louis (0750658H),3,3,0,0,0,0,0,0
Paris 8e,Lyce Chaptal (0750663N),3,1,0,0,0,0,0,0
Paris 13e,ENCPB (0750685M),2,1,2,1,2,1,0,0
Paris 16e,Lyce Claude Bernard (0750698B),4,2,2,1,2,1,0,0
Paris 16e,Lyce Jean-Baptiste Say (0750700D),2,0,1,0,1,0,0,0
Saint-Denis,Lyce Paul Eluard (0930125F),4,0,2,0,2,0,0,0
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),1,0,0,0,0,0,0,0
Saint-Maur-Des-Fosses,Lyce D'Arsonval (0940121W),1,0,1,0,1,0,0,0
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),1,0,0,0,0,0,0,0
Sceaux,Lyce Lakanal (0920145H),1,0,0,0,0,0,0,0
Strasbourg,Lyce Kleber (0670080Y),2,0,1,0,1,0,0,0
Strasbourg,Lyce Louis Couffignal (0670085D),1,0,1,0,1,0,0,0
Toulouse,Lyce Bellevue (0310038Y),1,1,0,0,0,0,0,0
Tours,Lyce J. de Vaucanson (0371418R),1,0,1,0,1,0,0,0
Valenciennes,Lyce Henri Wallon (0590221V),1,0,0,0,0,0,0,0
Vanves,Lyce Michelet (0920149M),1,0,1,0,1,0,1,0
Versailles,Lyce Jules Ferry (0782565P),1,0,0,0,0,0,0,0
