ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Aix-En-Provence,Lyce Militaire (0131596P),12,1,7,0,3,0,0,0
Aix-En-Provence,Lyce Vauvenargues (0130003H),15,2,9,1,4,1,0,0
Ajaccio,Lyce Laetitia Bonaparte (6200002H),3,0,2,0,1,0,0,0
Amiens,Lyce Louis Thuillier (0800009A),18,3,2,1,2,1,1,1
Angers,Lyce Henri Bergson (0491966W),1,0,0,0,0,0,0,0
Angers,Lyce Saint-Martin (0490824E),16,2,7,0,6,0,0,0
Annecy,Lyce Berthollet (0740003B),28,10,9,2,6,2,5,2
Arras,Lyce Robespierre (0620006V),8,2,3,0,1,0,0,0
Auxerre,Lyce Jacques Amyot (0890003V),8,1,0,0,0,0,0,0
Avignon,Lyce Frdric Mistral (0840003X),25,3,10,0,9,0,3,0
Balma,Lyce Salige (0312408Z),37,10,20,7,11,5,3,1
Belfort,Lyce Condorcet (0900002N),5,0,0,0,0,0,0,0
Besanon,Lyce Victor Hugo (0250007X),36,4,20,3,15,2,2,0
Bitche,Lyce Saint Augustin (0570194B),1,0,0,0,0,0,0,0
Bordeaux,Lyce Gustave Eiffel (0330028B),61,8,27,4,18,4,8,2
Bordeaux,Lyce Michel Montaigne (0330021U),73,17,54,13,40,13,11,5
Brest,Lyce La Croix Rouge (0290335G),1,0,0,0,0,0,0,0
Brest,Lyce Naval (0290063L),26,6,11,2,6,2,1,0
Brest,Lyce Sainte Anne (0290338K),17,4,8,1,6,1,1,0
Brest,Lyce Vauban (0290012F),29,5,9,1,7,1,1,0
Caen,Lyce Victor Hugo (0142059M),33,6,15,2,13,2,4,1
Cannes,Lyce Stanislas (0060673Z),16,1,11,1,5,1,2,0
Casablanca,Etablissement Al Bilia (99696011),8,1,0,0,0,0,0,0
Casablanca,Groupe scolaire La Rsidence (3500055H),5,1,0,0,0,0,0,0
Casablanca,Lyce El Miza Center (99928411),3,1,0,0,0,0,0,0
Casablanca,Lyce Mohamed V (99926411),9,5,0,0,0,0,0,0
Chambry,Lyce Vaugelas (0730013T),20,5,6,2,5,2,4,1
Champagne-Sur-Seine,Lyce La Fayette (0770920G),15,1,2,0,1,0,1,0
Clermont-Ferrand,Lyce Blaise Pascal (0630018C),36,4,20,3,14,2,4,1
Clermont-Ferrand,Lyce La Fayette (0630021F),10,2,4,0,3,0,1,0
Dijon,Lyce Carnot (0210015C),36,11,21,7,17,6,8,3
Dijon,Lyce Gustave Eiffel (0211033J),8,1,3,0,1,0,0,0
Douai,Lyce Albert Chatelet (0590063Y),28,9,18,7,16,7,5,3
Dunkerque,Lyce Jean Bart (0590071G),10,1,1,0,0,0,0,0
Epinay-Sur-Seine,Lyce Jacques Feyder (0930120A),2,1,0,0,0,0,0,0
Evreux,Lyce Aristide Briand (0270016W),5,0,4,0,2,0,1,0
Fort-De-France,Lyce Bellevue (9720003W),17,4,5,1,4,0,1,0
Grenoble,Lyce Champollion (0380027Y),71,12,47,6,39,6,13,1
La Flche,Prytane National Militaire (0720896H),18,1,4,0,1,0,1,0
La Rochelle,Lyce Jean Dautet (0170028N),15,3,1,0,1,0,1,0
Le Mans,Lyce Montesquieu (0720029R),37,6,15,4,9,2,1,0
Le Raincy,Lyce Albert Schweitzer (0930830X),28,4,14,1,10,1,2,0
Lille,Lyce Csar Baggio (0590121L),37,6,7,0,4,0,2,0
Lille,Lyce Faidherbe (0590119J),37,7,28,3,26,3,8,2
Limoges,Lyce Gay-Lussac (0870015U),33,7,10,1,5,1,4,0
Lorient,Lyce Dupuy De Lme (0560025Y),21,4,8,1,6,1,1,0
Lyon,Institution des Chartreux (0690564N),2,0,0,0,0,0,0,0
Lyon,Lyce aux Lazaristes (0690522T),36,6,30,5,24,4,11,3
Lyon,Lyce du Parc (0690026D),39,7,35,6,33,6,17,3
Lyon,Lyce Jean Perrin (0690082P),17,5,5,1,3,1,1,1
Lyon,Lyce La Martinire Monplaisir (0692866R),70,7,45,1,35,0,13,0
Marrakech,Lyce Ibnou Taimiya (99926511),3,0,0,0,0,0,0,0
Marseille,Lyce Jean Perrin (0130053M),38,7,29,5,23,5,5,1
Marseille,Lyce Thiers (0130040Y),42,10,39,8,30,7,8,1
Meaux,Lyce Henri Moissan (0770930T),12,1,4,1,2,1,0,0
Metz,Lyce Fabert (0570054Z),34,5,27,4,18,3,4,0
Metz,Lyce Louis De Cormontaigne (0573227Y),9,1,3,0,0,0,0,0
Montpellier,Lyce Joffre (0340038G),63,14,43,5,31,4,10,1
Mulhouse,Lyce Albert Schweitzer (0680031P),14,6,3,0,3,0,0,0
Nancy,Lyce Henri Loritz (0540042C),56,9,26,6,18,3,8,1
Nantes,Lyce Clmenceau (0440021J),119,18,91,13,73,10,19,2
Nantes,Lyce Saint Stanislas (0440163N),12,2,5,0,3,0,0,0
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),33,6,28,6,19,3,5,0
Nice,Lyce Les Eucalyptus (0060075Z),14,4,2,0,2,0,2,0
Nice,Lyce Massena (0060030A),42,6,31,4,15,1,1,1
Nimes,Lyce Alphonse Daudet (0300021K),31,5,8,0,8,0,3,0
Nouma,Lyce Jules Garnier (9830003L),13,5,10,3,9,2,2,1
Ollioules,Lyce Saint Joseph (0830098F),3,0,0,0,0,0,0,0
Orlans,Lyce Pothier (0450049J),75,12,38,8,23,6,4,1
Orsay,Lyce Blaise Pascal (0910626L),42,7,27,5,20,3,7,1
Paris,Lyce Jacques Decour (0750668U),67,11,41,8,28,8,10,5
Paris,Lyce Paul Valery (0750679F),22,4,7,3,4,2,1,1
Paris,Lyce Raspail (0750691U),23,2,8,1,4,1,1,1
Paris,Lyce Stanislas (0753840S),74,7,63,7,55,6,8,0
Paris 5e,Lyce Louis Le Grand (0750655E),39,10,37,9,36,9,7,2
Paris 6e,Lyce Saint-Louis (0750658H),187,42,157,28,120,22,33,8
Paris 8e,Lyce Chaptal (0750663N),80,22,61,15,41,12,9,2
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),37,7,32,4,23,3,3,1
Paris 9e,Lyce Condorcet (0750667T),36,10,30,9,28,7,6,0
Paris 13e,ENCPB (0750685M),32,8,10,0,3,0,0,0
Paris 15e,Lyce Buffon (0750693W),25,5,7,2,4,2,1,1
Paris 16e,Lyce Claude Bernard (0750698B),24,9,7,2,2,1,1,0
Paris 16e,Lyce Janson de Sailly (0750699C),83,31,61,21,45,17,12,3
Paris 16e,Lyce Jean-Baptiste Say (0750700D),43,5,24,2,14,1,2,0
Pau,Lyce Louis Barthou (0640055M),8,0,3,0,2,0,1,0
Perpignan,Lyce Franois Arago (0660010C),26,6,13,3,7,2,0,0
Pointe--Pitre,L.G.T.Baimbridge (9710003B),21,6,2,1,2,1,0,0
Poitiers,Lyce Camille Gurin (0860035W),21,5,9,1,4,1,2,1
Quimper,Lyce Auguste Brizeux (0290069T),16,3,6,1,5,1,2,1
Reims,Lyce F. Roosevelt (0510034K),45,5,16,0,14,0,5,0
Rennes,Lyce Chateaubriand (0350710G),63,15,47,10,40,8,11,2
Rennes,Lyce Joliot-Curie (0350029S),30,10,13,3,7,3,1,1
Rennes,Lyce priv Assomption (0350778F),17,2,1,0,1,0,0,0
Rouen,Lyce Pierre Corneille (0760090K),40,8,27,4,18,3,2,0
Saint-Brieuc,Lyce Francois Rabelais (0220056S),27,8,1,0,0,0,0,0
Saint-Cyr-L'Ecole,Lyce Militaire (0780015T),11,2,6,0,5,0,0,0
Saint-Denis,Lyce Paul Eluard (0930125F),7,2,2,0,2,0,0,0
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),25,5,12,3,9,2,3,1
Saint-Etienne,Lyce Etienne Mimard (0420046X),39,8,17,2,15,2,4,0
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),33,6,18,3,13,3,5,2
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),21,3,10,1,5,1,0,0
Saint-Maur-Des-Fosses,Lyce D'Arsonval (0940121W),28,4,14,1,7,1,0,0
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),86,21,63,14,47,9,10,1
Sceaux,Lyce Lakanal (0920145H),40,5,34,5,29,4,6,1
Strasbourg,Lyce Kleber (0670080Y),74,11,48,4,37,4,16,2
Strasbourg,Lyce Louis Couffignal (0670085D),26,3,5,0,2,0,1,0
Strasbourg,Lyce Ort (0671636P),16,3,9,2,6,2,1,0
Tanger,Centre Pdagogique Rgional (99926911),4,1,0,0,0,0,0,0
Toulon,Lyce Dumont D'Urville (0830053G),19,3,9,0,8,0,2,0
Toulouse,Lyce Bellevue (0310038Y),37,11,13,6,9,5,3,2
Toulouse,Lyce Dodat de Sverac (0310044E),42,7,16,1,13,1,5,0
Toulouse,Lyce Pierre de Fermat (0310036W),49,4,48,4,41,3,12,1
Tours,Lyce Descartes (0370035M),54,14,29,5,25,4,9,0
Tours,Lyce J. de Vaucanson (0371418R),17,6,3,1,2,0,1,0
Troyes,Lyce Chrestien De Troyes (0100022V),1,0,1,0,0,0,0,0
Tunis,IPEST (99926211),13,7,15,9,12,7,2,1
Valbonne,C.I.V. Valbonne (0061642C),24,2,13,1,9,1,6,1
Valenciennes,Lyce Henri Wallon (0590221V),33,3,21,1,20,1,7,1
Vanves,Lyce Michelet (0920149M),30,7,15,2,6,0,1,0
Versailles,Lyce Hoche (0782562L),41,15,39,14,35,12,12,4
Versailles,Lyce Jules Ferry (0782565P),30,5,22,3,18,3,2,1
Versailles,Lyce Sainte Genevive (0783053V),47,6,47,6,47,6,20,2
